time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,9.49,9.78,9.37,9.61,3776650,0.030010718113612,1.3969033827,6.0714678924,8.1605233501,0.0966923689,9.08059023836547,19.083023543990073,8.098987626546661,398828.1473398005,594417.3910688302,344693.07566184166,0.028093552592919974,-0.07092383904927509,61.9602086042741,2.2379187603487747,-2.0811654526534773
2020-04-17,9.7,9.86,9.53,9.57,1757170,-0.004162330905306932,1.3969033827,6.0714678924,8.1605233501,0.0966923689,11.279069767441863,15.024038461538458,12.323943661971848,416432.4763293016,515753.09632474027,377545.1706627138,0.02848013464210829,-0.1336306354600762,61.21525794174115,1.7185755858869431,2.1943573667711602
2020-04-20,9.57,9.98,9.33,9.86,3293370,0.030303030303030276,1.3969033827,6.0714678924,8.1605233501,0.0966923689,14.651162790697668,12.943871706758303,15.18691588785046,516231.5672383924,513360.6728107539,473571.44467039616,0.026462540257463217,-0.22940699578335955,64.54362812754007,1.4455157960624831,-2.0283975659229125
2020-04-21,9.7,9.82,9.21,9.25,3644030,-0.06186612576064898,1.3969033827,6.0714678924,8.1605233501,0.0966923689,5.95647193585338,7.558139534883734,16.060225846925967,270255.29316886124,310452.7324475017,477345.8049194917,0.034748095480033755,-0.13647397170443004,54.03871937159964,0.8681821358375464,6.162162162162166
2020-04-22,9.13,9.66,9.05,9.66,2463540,0.044324324324324316,1.3969033827,6.0714678924,8.1605233501,0.0966923689,3.536977491961424,11.16225546605294,18.38235294117647,89577.87416635368,405392.21095158724,538568.5307901553,0.03662923261952346,-0.170116889422383,58.88269806671259,1.2090515655888092,0.8281573498964745
2020-04-23,9.74,10.06,9.66,10.06,3677570,0.04140786749482395,1.3969033827,6.0714678924,8.1605233501,0.0966923689,4.68262226847036,14.188422247446075,17.523364485981308,128518.22686552061,527346.374205321,598971.4110727026,0.037863040727684226,-0.1767729692700755,62.9817787615595,1.4783630878832836,-1.5904572564612307
2020-04-24,10.14,10.42,9.94,10.34,4389580,0.027833001988071482,1.3969033827,6.0714678924,8.1605233501,0.0966923689,8.045977011494255,20.232558139534884,23.684210526315795,258007.33872919763,674439.815058499,764968.5625563243,0.03558244877972606,-0.37278273788695176,65.56933608344393,1.9825192872464914,-0.7736943907156735
2020-04-27,10.5,10.62,10.22,10.26,2548000,-0.007736943907156735,1.3969033827,6.0714678924,8.1605233501,0.0966923689,4.056795131845847,19.30232558139535,24.514563106796118,138494.5147446714,654726.0819830637,775100.8103421326,0.03612554860464442,-0.3977373213484057,64.18879201453343,1.803541251222409,-1.1695906432748426
2020-04-28,10.14,10.26,10.02,10.06,2371800,-0.019493177387914118,1.3969033827,6.0714678924,8.1605233501,0.0966923689,8.756756756756756,15.234822451317287,28.316326530612244,317702.6148715944,587957.9080404555,778988.2514367789,0.03807964990914059,-0.33148975966198874,60.745391682833116,1.368405402589754,0.0
2020-04-29,10.1,10.34,9.94,9.98,3141090,-0.007952286282306154,1.3969033827,6.0714678924,8.1605233501,0.0966923689,3.31262939958592,6.9667738478027985,31.488801054018456,183529.02200715948,273106.89617351297,812580.5142121675,0.03348732885810863,-0.3553652763461401,59.373358531334844,0.5706821261484739,-0.40080160320642433
