time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,6.43,6.43,6.24,6.24,8880,-0.03554868624420393,0.834998365,55.4542919444,21.43056182,0.013362779,-3.554868624420393,-4.44104134762634,-7.0044709388971675,-1511.4620681515678,-1581.5300861483393,-2038.6890851456426,0.0235292832344735,-0.16706094499967633,42.84260154498857,-0.6058527735358434,-4.9679487179487225
2020-04-17,6.55,6.55,6.32,6.38,5740,0.022435897435897356,0.834998365,55.4542919444,21.43056182,0.013362779,-2.5954198473282397,-3.625377643504535,-3.7707390648567096,-1401.7217479359774,-1468.59795829661,-1897.1499548770046,0.024409992079309148,-0.2959343340056782,46.33318250163315,-0.5296316946312126,-5.799373040752354
2020-04-20,6.82,6.82,6.33,6.33,17560,-0.00783699059561127,0.834998365,55.4542919444,21.43056182,0.013362779,1.4423076923076872,-4.524886877828049,-4.524886877828049,-156.88128752773795,-1622.6203469924023,-2034.7675097359383,0.024379413861867656,-0.260907878478267,45.26986942371484,-0.5990906906817636,-2.843601895734593
2020-04-21,6.33,6.47,6.33,6.36,23930,0.004739336492890933,0.834998365,55.4542919444,21.43056182,0.013362779,-0.46948356807510194,-1.7001545595053957,2.912621359223322,-167.02665756054978,-1406.8852494535706,-1756.423060764226,0.02346873315733948,-0.27758998237651206,46.06959074232649,-0.3297904712996514,-3.1446540880503138
2020-04-22,6.16,6.4,6.16,6.38,1720,0.0031446540880502027,0.834998365,55.4542919444,21.43056182,0.013362779,-1.391035548686237,-1.391035548686237,-1.391035548686237,-205.68671011908765,-1401.4764444221241,-1939.6550324318089,0.023511522661048098,-0.25115180064896087,46.629486267689465,-0.2942751162861522,-3.6050156739811823
2020-04-23,6.62,6.62,6.32,6.32,29870,-0.00940438871473348,0.834998365,55.4542919444,21.43056182,0.013362779,1.2820512820512775,-2.3183925811437356,-4.097116843702575,-170.9234671796458,-1682.3855353312133,-2281.39874467011,0.02364822647201068,-0.12559195915135696,45.11623155288941,-0.36343663928409875,-2.689873417721522
2020-04-24,6.24,6.24,6.17,6.2,9000,-0.01898734177215189,0.834998365,55.4542919444,21.43056182,0.013362779,-2.821316614420055,-5.343511450381677,-6.344410876132933,-470.5915944110636,-1872.3133423470408,-2470.903940498081,0.023597516172948432,-0.012107660461158843,42.16871374182497,-0.6213313011048057,-0.8064516129032251
2020-04-27,6.16,6.24,6.09,6.09,21570,-0.01774193548387104,0.834998365,55.4542919444,21.43056182,0.013362779,-3.791469194312802,-2.4038461538461564,-1.774193548387104,-715.667587939228,-872.5488754669658,-2788.884497948623,0.019171473998766266,0.22510705243499463,39.61385523082175,-0.3120216922649332,-0.16420361247947435
2020-04-28,6.24,6.24,6.09,6.24,11690,0.024630541871921263,0.834998365,55.4542919444,21.43056182,0.013362779,-1.8867924528301883,-2.3474178403755763,-5.740181268882171,-541.1488757313485,-708.1755332918981,-2501.6308828207025,0.01926242961103292,-0.4250457136402603,44.54763573345894,-0.2749946465399656,-1.4423076923076872
2020-04-29,6.23,6.24,6.12,6.24,6340,0.0,0.834998365,55.4542919444,21.43056182,0.013362779,-2.1943573667711602,-3.554868624420393,0.0,-546.5576807627949,-752.2443908818823,-1919.57650215605,0.01859434722045634,-0.2060838387538848,44.54763573345893,-0.3736708725073121,-1.4423076923076872
