time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,28.76,28.76,28.76,28.76,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20673453406432,-0.38681144344600826,-34.10987482614743
2020-04-17,28.76,28.76,28.76,28.76,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20673453406432,-0.38681144344600826,-34.10987482614743
2020-04-20,28.76,28.76,28.76,28.76,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20673453406432,-0.38681144344600826,-40.40333796940195
2020-04-21,28.76,28.76,28.76,28.76,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20673453406432,-0.38681144344600826,-46.34909596662031
2020-04-22,28.76,28.76,28.76,28.76,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.20673453406434,-0.38681144344600826,-51.63421418636995
2020-04-23,25.91,25.91,25.91,25.91,200,-0.09909596662030606,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-9.909596662030607,-9.909596662030607,-9.909596662030607,-19.819193324061214,-19.819193324061214,-19.819193324061214,0.031336896145618534,-4.472135954999577,0.2744088826981397,-7.102014475185212,-51.485912774990354
2020-04-24,25.91,25.91,25.91,25.91,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-9.909596662030607,-9.909596662030607,-9.909596662030607,-19.819193324061214,-19.819193324061214,-19.819193324061214,0.031336896145618534,-4.472135954999577,0.2744088826981397,-5.1628403923327,-56.271709764569664
2020-04-27,25.91,25.91,25.91,25.91,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-9.909596662030607,-9.909596662030607,-9.909596662030607,-19.819193324061214,-19.819193324061214,-19.819193324061214,0.031336896145618534,-4.472135954999577,0.2744088826981397,-4.23293173619829,-54.419143187958305
2020-04-28,23.33,23.33,23.33,23.33,100,-0.09957545349286001,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-18.880389429763568,-18.880389429763568,-18.880389429763568,-29.776738673347214,-29.776738673347214,-29.776738673347214,0.04188376538010791,-2.8879741100153025,0.12906659780263396,-5.548153631948818,-54.264894984997845
2020-04-29,21.05,21.05,21.05,21.05,100,-0.0977282468924131,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-26.808066759388037,-26.808066759388037,-26.808066759388037,-39.54956336258853,-39.54956336258853,-39.54956336258853,0.04772701950710493,-2.123394767806158,0.08581137832031516,-5.466312183210561,-54.299287410926375
2020-05-04,18.95,18.95,18.95,18.95,200,-0.09976247030878871,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-26.86221536086454,-34.10987482614743,-34.10987482614743,-39.68286410028505,-59.50205742434626,-59.50205742434626,0.05114706286489439,-1.6247918343421848,0.06440240375530948,-5.119299769492659,-48.23218997361477
2020-05-05,18.95,18.95,18.95,18.95,0,0.0,0.2384952103,118.0930152341,1050.418491041,0.0230487365,-26.86221536086454,-34.10987482614743,-34.10987482614743,-39.68286410028505,-59.50205742434626,-59.50205742434626,0.05114706286489439,-1.6247918343421848,0.06440240375530948,-4.200971811605324,-43.21899736147758
