time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,9.47,9.59,9.31,9.59,99400,0.012671594508975703,0.784485264,61.0438700906,20.6467038772,0.0250824801,6.319290465631933,9.7254004576659,11.901983663943994,8154.87999916103,11803.033252909192,18069.091220984687,0.007821443530380624,-1.8237982001489537,79.73483639863096,2.8514601042040457,4.066736183524511
2020-04-17,9.53,9.7,9.53,9.7,110700,0.011470281543274119,0.784485264,61.0438700906,20.6467038772,0.0250824801,6.8281938325991165,10.98398169336383,10.98398169336383,8466.70225025869,13072.793419749636,17424.357805561434,0.007105974009571568,-2.017970713891228,81.58729920339195,2.950956556426756,2.3711340206185705
2020-04-20,9.7,9.76,9.59,9.76,148100,0.006185567010309256,0.784485264,61.0438700906,20.6467038772,0.0250824801,6.202393906420034,12.313003452243954,10.90909090909089,7501.09419585114,15904.779784136632,17217.190851870597,0.004664389580658686,-2.010076379750623,82.52560577969793,3.0289550843236843,2.86885245901638
2020-04-21,9.81,9.81,9.53,9.64,116177,-0.012295081967213073,0.784485264,61.0438700906,20.6467038772,0.0250824801,2.991452991453003,10.297482837528605,13.145539906103298,3323.831004392144,13702.496025718232,17529.23965962024,0.008839635114424397,-0.4452611757817058,74.36350768059052,2.3279435013148726,4.771784232365128
2020-04-22,9.42,9.76,9.42,9.76,223200,0.012448132780082943,0.784485264,61.0438700906,20.6467038772,0.0250824801,3.062302006335793,10.282485875706215,14.553990610328649,4795.41663406903,14875.598896100033,20307.662896134752,0.008835066156644684,-0.6546250193435507,76.83125291217095,2.1869778144192735,3.4836065573770503
2020-04-23,9.64,9.93,9.53,9.93,98100,0.01741803278688514,0.784485264,61.0438700906,20.6467038772,0.0250824801,3.5453597497393075,10.088691796008863,15.869311551925325,5244.569156270278,13399.44915543131,21538.085527551655,0.008640744751222808,-0.6899753579065673,79.7980471696061,2.0273163113946073,1.7119838872104776
2020-04-24,9.64,10.04,9.64,10.04,144300,0.011077542799597051,0.784485264,61.0438700906,20.6467038772,0.0250824801,3.5051546391752675,10.572687224669597,17.152858809801618,5573.2984154116875,14040.000665670377,23136.57495353351,0.008580889852457956,-0.9068423816574664,81.45300482813371,2.027830980226626,0.0
2020-04-27,10.04,10.1,9.59,10.04,94400,0.0,0.784485264,61.0438700906,20.6467038772,0.0250824801,2.86885245901638,9.249183895538614,17.152858809801618,4657.215941184887,12158.310137036027,23136.57495353351,0.009109134332327937,-0.9068423816574664,81.45300482813371,1.6519018604779496,-0.5976095617529764
2020-04-28,10.04,10.1,9.87,9.98,177625,-0.005976095617529764,0.784485264,61.0438700906,20.6467038772,0.0250824801,3.526970954356834,6.623931623931645,15.643105446118177,5024.117694826075,8347.94869921822,19943.915776937672,0.009528703016875384,-0.7288078846481748,77.43984952474806,1.03240872713691,0.0
2020-04-29,9.98,10.04,9.76,9.98,46280,0.0,0.784485264,61.0438700906,20.6467038772,0.0250824801,2.254098360655754,5.385427666314668,15.643105446118177,2245.6944583115624,7041.111092380594,19943.915776937672,0.009530283733290689,-0.7288078846481748,77.43984952474806,0.7355999000538138,-0.5010020040080221
2020-05-04,9.93,10.04,9.93,9.98,138100,0.0,0.784485264,61.0438700906,20.6467038772,0.0250824801,0.503524672708977,4.066736183524511,14.187643020594965,536.9854419181302,5781.554598188408,17584.587851097596,0.009280381755209307,-0.5221612095076398,77.43984952474806,0.4291399503907661,0.0
2020-05-05,9.81,9.93,9.76,9.93,99000,-0.005010020040080221,0.784485264,61.0438700906,20.6467038772,0.0250824801,-1.0956175298804771,2.3711340206185705,13.61556064073226,-1557.4959680316663,4015.8024473800215,17088.595867129658,0.009276176466609238,-0.48750320659372853,73.66240947220781,0.050086401125847405,0.503524672708977
2020-05-06,9.93,10.04,9.76,10.04,107900,0.011077542799597051,0.784485264,61.0438700906,20.6467038772,0.0250824801,0.0,2.86885245901638,15.535097813578824,-362.2290999551444,4294.986841229742,20199.766625366374,0.009621456215065705,-0.7146727490492812,76.39088550354356,0.15183212093175077,-0.5976095617529764
2020-05-07,9.98,10.1,9.93,10.1,148400,0.005976095617529875,0.784485264,61.0438700906,20.6467038772,0.0250824801,1.2024048096192397,4.771784232365128,15.56064073226544,1586.1274737500135,6610.24516857609,20312.741194294318,0.008022814261648002,-0.7193210164531118,77.74517506941226,0.5588326171519714,-1.6831683168316847
2020-05-08,9.93,10.1,9.93,10.1,198675,0.0,0.784485264,61.0438700906,20.6467038772,0.0250824801,1.2024048096192397,3.4836065573770503,14.124293785310726,1586.1274737500135,3831.821932061576,18707.42082816161,0.0076440153559138285,-0.512309195174782,77.74517506941226,0.27100947716030876,-1.188118811881178
2020-05-11,10.1,10.1,9.98,10.1,192200,0.0,0.784485264,61.0438700906,20.6467038772,0.0250824801,1.2024048096192397,1.7119838872104776,11.97339246119733,1586.1274737500135,2123.1129156681436,15522.562071099454,0.005893087477082329,-0.4371754091836017,77.74517506941226,-0.11669286672332269,-1.188118811881178
