time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,4.89,4.89,4.89,4.89,90,-0.03359683794466406,0.3026060871,11.7561802956,9.8195432158,0.032973672,-9.444444444444455,-6.857142857142861,-9.276437847866415,-3.6533450446493965,-3.3433130476608204,-441.42349973175874,0.03413707023028117,0.05082915205848076,33.12309010336736,-0.6909174674021727,16.359918200409005
2020-04-17,4.89,4.89,4.89,4.89,0,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,-3.359683794466406,-3.359683794466406,-10.275229357798176,-3.0237154150197654,-2.981408285756058,-448.65912125309467,0.032526630755286105,0.09751426790324548,33.12309010336736,-0.09379825788811576,22.699386503067487
2020-04-20,4.89,4.89,4.89,4.89,30,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,-3.359683794466406,-9.444444444444455,-10.275229357798176,-3.0237154150197654,-3.653345044649339,-448.65912125309467,0.021501169761003493,0.09751426790324548,33.12309010336736,-1.0751801938709995,22.49488752556239
2020-04-21,4.89,4.89,4.89,4.89,0,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,-3.359683794466406,-9.444444444444455,-10.275229357798176,-3.0237154150197654,-3.653345044649339,-448.65912125309467,0.021501169761003493,0.09751426790324548,33.12309010336736,-1.0437136823738593,22.49488752556239
2020-04-22,4.89,5.22,4.89,5.22,1060,0.06748466257668717,0.3026060871,11.7561802956,9.8195432158,0.032973672,3.1620553359683834,-3.3333333333333437,-4.220183486238538,68.51002691626864,67.88039728663907,-377.12537892180626,0.032596396428556454,0.12983908494781554,46.553779360756494,-0.035001251703219466,14.750957854406144
2020-04-23,5.22,5.22,5.22,5.22,0,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,6.748466257668717,-3.3333333333333437,-4.220183486238538,71.53374233128841,67.88039728663907,-377.12537892180626,0.032596396428556454,0.12983908494781554,46.553779360756494,-0.033847471182383355,6.896551724137945
2020-04-24,5.58,5.58,5.32,5.32,50,0.019157088122605526,0.3026060871,11.7561802956,9.8195432158,0.032973672,8.79345603271986,5.138339920948631,-6.0070671378091856,72.49159673741869,69.46788132239898,-416.2409190110887,0.025316979263797543,0.16760140482082742,50.07729072215025,1.3179024812858167,8.08270676691729
2020-04-27,5.32,5.32,5.32,5.32,0,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,8.79345603271986,5.138339920948631,-12.06611570247933,72.49159673741869,69.46788132239898,-416.92996494748445,0.025316979263797543,0.08974999007404291,50.07729072215025,1.3034144762246649,8.08270676691729
2020-04-28,5.32,5.32,5.32,5.32,0,0.0,0.3026060871,11.7561802956,9.8195432158,0.032973672,8.79345603271986,5.138339920948631,-12.06611570247933,72.49159673741869,69.46788132239898,-416.92996494748445,0.025316979263797543,0.08974999007404291,50.07729072215025,1.2651795238755987,8.08270676691729
2020-04-29,5.69,5.69,5.69,5.69,20,0.06954887218045114,0.3026060871,11.7561802956,9.8195432158,0.032973672,9.00383141762453,12.45059288537551,0.8865248226950451,2.348831849739299,70.858858766008,-345.7373346113134,0.03229042382882868,0.24666927088557453,61.7350606382523,2.2742932342171103,1.0544815465729274
