time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,2.58,2.65,2.44,2.53,2964770,0.020161290322580516,0.0526017087,4.4931508818,7.8029326409,0.0650729479,8.119658119658112,17.129629629629605,-8.992805755395683,181079.59218427486,349183.3891931267,-253134.29914524796,0.03281083557516945,0.11466878094553708,52.66382038588843,0.8493450302429143,7.509881422924924
2020-04-17,2.57,2.67,2.53,2.67,1536090,0.055335968379446765,0.0526017087,4.4931508818,7.8029326409,0.0650729479,15.58441558441559,19.730941704035864,3.0888030888030826,292564.4660061053,354303.07426851836,37958.63499755657,0.034794373130834035,-0.04444253689345932,57.96555649600312,0.9762338012963658,5.617977528089879
2020-04-20,2.68,2.7,2.61,2.61,2510070,-0.022471910112359605,0.0526017087,4.4931508818,7.8029326409,0.0650729479,12.017167381974247,9.205020920502083,6.0975609756097615,227502.64101461731,180837.2759110839,66153.45561271414,0.031427173925572746,-0.06628736486727742,55.11641659278112,0.33571810877366265,13.026819923371669
2020-04-21,2.55,2.6,2.43,2.43,3185820,-0.06896551724137923,0.0526017087,4.4931508818,7.8029326409,0.0650729479,4.74137931034484,3.8461538461538547,6.113537117903944,12580.273099862621,-20207.29341513125,55051.08106827925,0.039254518661026555,-0.06540418595191237,47.56336762960684,0.014045508122589942,19.34156378600822
2020-04-22,2.31,2.53,2.31,2.49,1204930,0.024691358024691468,0.0526017087,4.4931508818,7.8029326409,0.0650729479,0.40322580645162365,5.063291139240511,1.6326530612244872,-101591.81715130823,-6736.320005824611,-91414.85348344885,0.0397118183578359,-0.11333982484853324,50.02194621611095,0.08856161974968686,16.465863453815246
2020-04-23,2.52,2.55,2.45,2.5,741410,0.00401606425702794,0.0526017087,4.4931508818,7.8029326409,0.0650729479,-1.1857707509881354,6.8376068376068355,0.0,-158387.8556601822,22691.73652409254,-112737.09920101313,0.03920400310779674,-0.055427130328755556,50.43902926501443,0.1988981380870487,15.999999999999993
2020-04-24,2.48,2.54,2.43,2.49,884340,-0.0039999999999998925,0.0526017087,4.4931508818,7.8029326409,0.0650729479,-6.741573033707859,7.792207792207795,6.866952789699576,-246926.24332816646,45638.22267793869,-849.8992010131324,0.038797434612646564,-0.021443408118337597,49.989757718216275,0.267679158149994,17.269076305220878
2020-04-27,2.66,2.66,2.66,2.66,352950,0.06827309236947787,0.0526017087,4.4931508818,7.8029326409,0.0650729479,1.9157088122605526,14.163090128755362,19.282511210762344,-166423.18796062877,61079.4530539884,80825.20033877704,0.04320385738288514,-0.14692614052615033,57.00154386907058,0.6697617453121703,11.2781954887218
2020-04-28,2.85,2.85,2.85,2.85,481960,0.0714285714285714,0.0526017087,4.4931508818,7.8029326409,0.0650729479,17.28395061728394,22.844827586206918,36.363636363636374,87714.25046301624,100294.52356287873,258679.9729204556,0.04614384930487433,-0.11282553485567028,63.21006406554806,1.1952687372925768,4.912280701754401
2020-04-29,3.04,3.04,2.86,2.87,5572600,0.007017543859649145,0.0526017087,4.4931508818,7.8029326409,0.0650729479,15.261044176706818,15.7258064516129,38.6473429951691,97068.85735060557,-4522.959800702789,308802.4928566599,0.043161796617319996,-0.17179881205613837,63.80254496121108,0.7625350714521575,0.0
2020-05-04,2.79,2.86,2.72,2.72,3183560,-0.05226480836236935,0.0526017087,4.4931508818,7.8029326409,0.0650729479,8.800000000000008,7.509881422924924,25.92592592592593,-72296.84616030208,-230684.7018204844,118498.68737264219,0.048096315788223994,-0.05944284988656805,56.45872033960844,0.268783915109197,4.044117647058809
2020-05-05,2.74,2.87,2.72,2.82,3135510,0.03676470588235281,0.0526017087,4.4931508818,7.8029326409,0.0650729479,13.253012048192758,5.617977528089879,26.457399103139,46516.6167808739,-200409.62654729272,153893.4477212256,0.04640748564384866,-0.07111831927669607,59.782221232330706,0.17022285323241002,0.35460992907803135
2020-05-06,2.84,3.0,2.82,2.95,4737840,0.04609929078014208,0.0526017087,4.4931508818,7.8029326409,0.0650729479,10.902255639097746,13.026819923371669,23.43096234309623,240830.692658855,74407.50469822608,255244.7806093099,0.04672428634906157,-0.13968963258062014,63.66504172141392,0.6542150133624137,-3.7288135593220417
