time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2022-04-28,11.05,11.05,11.05,11.05,1000,-0.028144239226033263,,5.8836333709,5.0090387288,,3.658536585365857,-10.88709677419355,-16.72946495855312,-1980.6706703393943,-4402.065446700349,-5357.284080404846,0.06218270206884041,0.16567989541626432,42.69093712532332,-0.5584030973187227,-28.50678733031674
2022-04-29,11.05,11.05,11.05,11.05,2000,0.0,,5.8836333709,5.0090387288,,-4.163052905463993,-9.128289473684204,-16.22441243366186,-2576.4492819716643,-4129.162220893897,-5295.791992989623,0.06215045309125531,0.14313456077188116,42.69093712532332,-0.49292514698876877,-22.8054298642534
2022-05-04,10.98,10.98,10.98,10.98,600,-0.0063348416289592535,,5.8836333709,5.0090387288,,4.571428571428582,-0.6334841628959254,-14.151681000781856,340.91199865373557,-3128.8512837660105,-4517.181980605362,0.05484464175745521,0.06360880327871563,42.127150254743796,0.1249681271594059,-24.499089253187623
2022-05-05,10.98,10.98,10.98,10.98,0,0.0,,5.8836333709,5.0090387288,,-3.430079155672816,-3.430079155672816,-15.212355212355199,-31.94514420340677,-3389.484767928905,-4637.275803904814,0.05394488711043352,0.10710979163317501,42.1271502547438,-0.17032568122299033,-28.779599271402546
2022-05-06,10.98,10.98,10.98,10.98,0,0.0,,5.8836333709,5.0090387288,,-3.430079155672816,3.0018761726078758,-13.611329661683714,-31.94514420340677,-1984.4715753167707,-4589.090475719486,0.049635581446478456,0.03867195526084852,42.127150254743796,0.3846436152403605,-23.770491803278702
2022-05-09,10.27,10.27,9.95,9.95,18400,-0.0938069216757742,,5.8836333709,5.0090387288,,-9.954751131221728,-6.660412757973743,-21.21931908155187,-1729.8482638116188,-3710.518934151016,-6263.524931327925,0.058552739491086046,-0.01573414882287627,33.89965283137181,-0.5655585684679061,-19.79899497487436
2022-05-10,9.32,9.48,9.0,9.16,8800,-0.079396984924623,,5.8836333709,5.0090387288,,-17.104072398190052,-20.555073720728533,-27.930763178599527,-2428.541731148301,-5004.991013119968,-7004.023624317814,0.0539495920368265,0.12027322788094993,29.190696334663784,-1.865401214515541,-12.882096069868986
2022-05-11,9.16,10.03,8.84,9.08,16000,-0.008733624454148492,,5.8836333709,5.0090387288,,-17.30418943533698,-13.523809523809527,-29.884169884169875,-2564.4788174373016,-2223.566818783569,-7206.074754844615,0.048412139582594,0.19881726024390875,28.7550924194734,-1.1561813258251212,-10.462555066079283
2022-05-12,8.37,9.08,8.29,8.29,34100,-0.08700440528634368,,5.8836333709,5.0090387288,,-24.499089253187623,-27.08883025505717,-33.57371794871796,-5531.329037701621,-5563.274181905031,-9991.457793641754,0.03996590151783544,0.19365108229505104,24.8167457767033,-2.287082622514471,-3.739445114595885
2022-05-13,8.29,8.29,7.5,8.21,21700,-0.009650180940892428,,5.8836333709,5.0090387288,,-25.22768670309653,-27.792436235707996,-33.3603896103896,-5740.737964118986,-5772.683108322396,-10079.071848264248,0.03926216641830866,0.18347776439328195,24.451527299285715,-2.2106090938500547,-1.948842874543244
