time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,5.35,5.35,4.66,4.66,271970,-0.06799999999999995,0.0327536277,1.803515256,1.106463099,0.179930316,21.67101827676241,69.45454545454545,26.630434782608692,20420.233318382343,73531.21847251145,43106.67591679626,0.04323687264059293,-0.42204654365525907,64.1849358258641,3.225844891667709,-10.300429184549365
2020-04-17,4.34,4.96,4.34,4.5,463160,-0.03433476394849788,0.0327536277,1.803515256,1.106463099,0.179930316,10.02444987775062,53.06122448979591,22.615803814713907,-12760.376056442547,46713.747383943366,27378.452950757808,0.05114283621131103,-0.34565144393519004,60.57418985395691,2.347578775878681,-7.333333333333336
2020-04-20,4.5,4.71,4.4,4.59,94630,0.020000000000000018,0.0327536277,1.803515256,1.106463099,0.179930316,4.794520547945202,46.17834394904457,25.068119891008166,-27618.99855033006,45781.17731591615,29271.05295075781,0.05096064183137417,-0.4000422016895963,61.87345701822169,1.9593701973081814,-10.02178649237473
2020-04-21,4.51,4.51,4.27,4.27,195180,-0.06971677559912859,0.0327536277,1.803515256,1.106463099,0.179930316,-8.760683760683763,27.462686567164173,25.219941348973585,-44063.99004464469,18485.736035369937,20010.76266207193,0.06035691025075042,-0.39874447447049904,54.94072553978818,1.172151637208382,-2.810304449648693
2020-04-22,3.97,4.25,3.97,4.21,208930,-0.014051522248243464,0.0327536277,1.803515256,1.106463099,0.179930316,-15.800000000000002,17.59776536312849,23.46041055718475,-49046.95407514968,4769.473880104141,17074.978118746425,0.05955553320262216,-0.36059103431597256,53.72520025884311,0.7630983278383995,1.9002375296912177
2020-04-23,4.36,4.44,4.22,4.36,56940,0.03562945368171033,0.0327536277,1.803515256,1.106463099,0.179930316,-6.4377682403433445,13.838120104438655,27.859237536656888,-28524.252982513117,-8104.019664130772,19103.71921138301,0.057178847222407556,-0.450760692652506,56.32662378995683,0.6034844411626157,-1.6055045871559703
2020-04-24,4.25,4.42,4.09,4.29,35700,-0.016055045871559703,0.0327536277,1.803515256,1.106463099,0.179930316,-4.666666666666663,4.88997555012225,35.33123028391167,-13194.928849741518,-25955.30490618406,24709.322402214082,0.054576085672892384,-0.5068181387358867,54.77897683730447,0.25113318095137765,6.759906759906764
2020-04-27,4.32,4.36,4.22,4.34,228530,0.011655011655011593,0.0327536277,1.803515256,1.106463099,0.179930316,-5.446623093681913,-0.91324200913242,45.63758389261745,-12424.009036221722,-40043.00758655177,30769.466821412112,0.04976613310918888,-0.649661461204689,55.71496808162751,0.028571711057067614,3.9170506912442393
2020-04-28,4.44,4.44,4.25,4.29,71040,-0.011520737327188946,0.0327536277,1.803515256,1.106463099,0.179930316,0.4683840749414525,-8.333333333333325,54.316546762589944,364.8780454926946,-43699.111999151995,41150.36250074901,0.043618472491860495,-0.7010936321654934,54.500143062799,-0.25718022272675045,1.631701631701632
2020-04-29,4.29,4.36,4.21,4.29,54100,0.0,0.0327536277,1.803515256,1.106463099,0.179930316,1.9002375296912177,-14.200000000000001,65.63706563706563,3300.6625888182016,-45746.29148633148,52447.844515137505,0.03482241903353632,-0.7497079752417306,54.50014306279899,-0.4811753772469019,-1.3986013986013845
