time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,4.3,4.4,4.3,4.4,2000,-0.04347826086956508,0.0082671064,77.9574916313,16.0051427761,0.0068773525,-10.204081632653061,-39.72602739726027,-39.72602739726027,-896.7586243984068,-15317.929695843459,-15317.929695843457,0.059891094853141445,0.008343635311278292,17.366834697639035,-2.698412686876897,11.363636363636353
2020-04-17,4.3,4.8,4.3,4.8,156400,0.09090909090909083,0.0082671064,77.9574916313,16.0051427761,0.0068773525,6.666666666666665,-34.24657534246576,-34.24657534246576,30341.831357048723,-1099.7478776616535,-1099.7478776616517,0.07333485701726361,0.2752563217944352,28.132497928323716,-2.154645908769726,-2.083333333333326
2020-04-20,4.7,4.9,4.7,4.9,10600,0.02083333333333348,0.0082671064,77.9574916313,16.0051427761,0.0068773525,11.363636363636353,-25.757575757575747,-32.87671232876712,31629.331357048723,13504.647099507307,-878.9145443283169,0.0724975794248578,0.22358214209020522,30.56790391706926,-1.4851852785474775,4.081632653061207
2020-04-21,4.8,4.8,4.7,4.7,10100,-0.04081632653061229,0.0082671064,77.9574916313,16.0051427761,0.0068773525,-2.083333333333326,-21.666666666666668,-35.61643835616438,13889.813731816826,13101.493110639032,-1291.159442287501,0.06924768636654191,0.3409019187511051,28.488570397038316,-1.1582623284581945,17.021276595744684
2020-04-22,4.7,4.7,4.7,4.7,1200,0.0,0.0082671064,77.9574916313,16.0051427761,0.0068773525,2.1739130434782705,-12.962962962962965,-35.61643835616438,13939.813731816826,13111.493110639032,-1291.159442287501,0.06372887252511217,0.3409019187511051,28.488570397038316,-0.534301922320445,17.021276595744684
2020-04-23,4.8,4.9,4.8,4.9,200,0.042553191489361764,0.0082671064,77.9574916313,16.0051427761,0.0068773525,11.363636363636353,0.0,-32.87671232876712,14035.280891853829,13138.522267455422,-1282.6488039896285,0.05887860078118804,0.264543594915506,33.71765565052269,0.35848333752356876,18.36734693877551
2020-04-24,4.9,5.0,4.9,4.9,3300,0.0,0.0082671064,77.9574916313,16.0051427761,0.0068773525,2.083333333333348,8.888888888888902,-32.87671232876712,-182.90092632797686,30158.93043072075,-1282.6488039896285,0.05122790639327717,0.264543594915506,33.71765565052269,0.9500936320550565,18.36734693877551
2020-04-27,4.9,5.1,4.9,5.1,3600,0.04081632653061207,0.0082671064,77.9574916313,16.0051427761,0.0068773525,4.081632653061207,15.909090909090896,-30.136986301369863,-256.7954841511083,31372.535872897617,-1135.710028479425,0.05073923478280358,0.18822892808582525,38.89928035259261,1.3846700211022394,13.725490196078427
2020-04-28,5.5,5.5,4.6,4.9,4400,-0.039215686274509665,0.0082671064,77.9574916313,16.0051427761,0.0068773525,4.255319148936176,2.083333333333348,-32.87671232876712,-17.09960579976675,13872.714126017061,-1308.2590480872677,0.045845076812946986,0.29518687294012874,35.87870588418275,0.427792691033468,18.36734693877551
2020-04-29,4.7,4.9,4.7,4.9,700,0.0,0.0082671064,77.9574916313,16.0051427761,0.0068773525,4.255319148936176,6.521739130434789,-32.87671232876712,-17.09960579976675,13922.714126017061,-1308.2590480872677,0.04314930029083878,0.2951868729401289,35.87870588418275,0.709514812491326,18.36734693877551
2020-05-04,4.9,4.9,4.9,4.9,0,0.0,0.0082671064,77.9574916313,16.0051427761,0.0068773525,0.0,11.363636363636353,-32.87671232876712,-25.610244097639104,14009.670647756191,-1308.2590480872677,0.03951756395737096,0.2951868729401289,35.87870588418275,1.0152857442187901,18.36734693877551
2020-05-05,4.6,4.7,4.6,4.7,1000,-0.04081632653061229,0.0082671064,77.9574916313,16.0051427761,0.0068773525,-4.081632653061229,-2.083333333333326,-35.61643835616438,-66.4265706282514,-249.3274969562264,-1349.07537461788,0.0311856132090713,0.4064586344846767,32.70666821674773,0.10983668607002697,27.65957446808509
