time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,7.18,7.18,7.18,7.18,4700,-0.060209424083769614,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.0,0.9845288326300938,-2.7100271002710064,626.1243419037748,849.6123869108062,1494.0232954494331,0.029454087772856737,0.3631781201695918,48.11276805420207,0.5696073679263367,-1.810584958217265
2020-04-17,7.18,7.18,6.85,6.85,5500,-0.04596100278551529,0.7533978135,7.7780844298,6.0115071279,0.1030717416,-4.596100278551529,-4.596100278551529,-4.596100278551529,373.33882658344066,373.3388265834408,1360.4789725410233,0.032770038821513185,0.13924334999988996,38.9121269866915,-0.5176553545611607,2.9197080291970767
2020-04-20,6.85,6.92,6.85,6.85,6500,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,-4.596100278551529,-4.596100278551529,-2.8368794326241176,373.33882658344066,373.3388265834408,1545.1586382791843,0.032770038821513185,0.03647619824352811,38.9121269866915,-0.4951428339108779,2.9197080291970767
2020-04-21,6.85,6.85,6.72,6.85,4300,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,-4.596100278551529,-4.596100278551529,-1.8624641833810962,373.33882658344066,373.3388265834408,1608.704737569964,0.032770038821513185,-0.029099650427093962,38.9121269866915,-0.47142805079530326,2.9197080291970767
2020-04-22,6.85,6.92,6.85,6.92,5100,0.010218978102189746,0.7533978135,7.7780844298,6.0115071279,0.1030717416,-9.424083769633507,-3.6211699164345412,-3.6211699164345412,-483.65302019288356,425.4556149046085,600.6496061203602,0.03307384811557683,-0.011808753729240349,41.857818202934524,-0.24774628163423817,2.7456647398844014
2020-04-23,6.92,6.92,6.92,6.92,6700,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,-3.6211699164345412,-3.6211699164345412,-3.6211699164345412,-200.66872699916638,425.4556149046085,600.6496061203602,0.03307384811557683,-0.011808753729240307,41.857818202934524,-0.22242171833331972,3.7572254335260125
2020-04-24,6.92,6.92,6.92,6.92,3700,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,1.0218978102189746,-3.6211699164345412,-3.6211699164345412,52.116788321167704,425.4556149046085,600.6496061203602,0.03307384811557683,-0.011808753729240307,41.857818202934524,-0.19854321727252758,2.7456647398844014
2020-04-27,6.92,7.05,6.92,7.05,3600,0.01878612716762995,0.7533978135,7.7780844298,6.0115071279,0.1030717416,2.9197080291970767,-1.810584958217265,-0.8438818565400963,119.74684612463552,493.08567270807634,717.0261820296774,0.033800623261252806,-0.17320514696419884,47.706757932422875,0.2082270812382719,0.8510638297872353
2020-04-28,7.05,7.05,7.05,7.05,3000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,2.9197080291970767,-1.810584958217265,0.0,119.74684612463552,493.08567270807634,770.1907389917035,0.033800623261252806,-0.23235930732107138,47.70675793242288,0.21846888538082648,4.680851063829783
2020-04-29,7.05,7.05,7.05,7.05,1500,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,1.8786127167629951,-7.7225130890052345,0.0,67.63005780346782,-416.0229623894156,770.1907389917035,0.024943237621104328,-0.23235930732107138,47.706757932422875,-1.0445918990530965,7.375886524822706
2020-05-04,7.05,7.05,7.05,7.05,1600,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,1.8786127167629951,-1.810584958217265,-0.8438818565400963,67.63005780346782,-133.03866919569845,716.5737177151077,0.016802809349779263,-0.1766801909994512,47.706757932422875,0.25884961714009175,11.063829787234036
2020-05-05,7.05,7.05,7.05,7.05,2000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,1.8786127167629951,2.9197080291970767,-1.810584958217265,67.63005780346782,119.74684612463564,493.08567270807634,0.00643960380285814,-0.11352373090495911,47.706757932422875,1.2744302463271506,11.063829787234036
2020-05-06,7.05,7.05,7.05,7.05,2000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.0,2.9197080291970767,-1.810584958217265,0.0,119.74684612463564,493.08567270807634,0.00643960380285814,-0.11352373090495911,47.706757932422875,1.2510964014016699,11.063829787234036
2020-05-07,7.05,7.05,7.05,7.05,2000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.0,2.9197080291970767,-1.810584958217265,0.0,119.74684612463564,493.08567270807634,0.00643960380285814,-0.11352373090495911,47.706757932422875,1.2164113423726803,12.056737588652489
2020-05-08,7.05,7.11,7.05,7.11,2000,0.008510638297872353,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.8510638297872353,2.7456647398844014,-0.974930362116988,17.021276595744705,84.65133439921264,510.106949303821,0.006243558437904101,-0.16940359419406234,51.49043354969407,1.1417364378887145,14.767932489451475
2020-05-11,7.05,7.18,7.05,7.18,2100,0.009845288326300938,0.7533978135,7.7780844298,6.0115071279,0.1030717416,1.8439716312056653,3.7572254335260125,0.0,37.696382080976676,105.32643988444461,530.7820547890531,0.006534744953250129,-0.2323593073210715,55.53283331249273,1.3066581364588015,16.29526462395543
2020-05-12,7.18,7.18,7.11,7.11,7000,-0.00974930362116988,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.8510638297872353,2.7456647398844014,-0.974930362116988,-30.548743267212487,37.08131453625545,462.53692944086384,0.007762387128041473,-0.16477098621117936,50.95960771096571,1.0596874165922963,17.44022503516174
2020-05-13,7.11,7.11,7.11,7.11,3000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,0.8510638297872353,0.8510638297872353,-0.974930362116988,-30.548743267212487,-30.548743267212373,462.5369294408639,0.0053437626320722124,-0.16477098621117936,50.95960771096571,0.638719553678662,18.424753867791832
2020-05-14,7.11,7.38,7.11,7.38,4000,0.03797468354430378,0.7533978135,7.7780844298,6.0115071279,0.1030717416,4.680851063829783,4.680851063829783,2.785515320334264,121.34999091000263,121.34999091000275,614.435663618079,0.012864699184147987,-0.18315223425171287,64.16197816471536,1.3945917049998435,15.85365853658538
2020-05-15,7.38,7.57,7.18,7.57,9000,0.0257452574525745,0.7533978135,7.7780844298,6.0115071279,0.1030717416,6.469760900140642,7.375886524822706,-0.9162303664921434,336.0360313874284,353.05730798317325,-62.965654406242464,0.014322442657705756,-1.3995162520625166,70.2346927411062,1.8719881973053107,12.945838837516522
2020-05-18,7.57,7.83,7.57,7.83,9000,0.034346103038308984,0.7533978135,7.7780844298,6.0115071279,0.1030717416,9.052924791086348,11.063829787234036,9.052924791086348,624.4758532469773,662.1722353279541,529.1335661322556,0.016367493067277496,-0.6178774019458899,76.18230885310489,2.4672766108200133,10.089399744572148
2020-05-19,7.83,7.83,7.7,7.83,8600,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,10.126582278481,11.063829787234036,14.30656934306571,692.7209785951665,662.1722353279541,781.9190814525897,0.016367493067277496,1.458921269670319,76.18230885310489,2.3347643712756723,10.089399744572148
2020-05-20,7.83,7.83,7.83,7.83,5000,0.0,0.7533978135,7.7780844298,6.0115071279,0.1030717416,10.126582278481,11.063829787234036,14.30656934306571,692.7209785951665,662.1722353279541,781.9190814525897,0.016367493067277496,1.458921269670319,76.18230885310489,2.2264410977701856,10.85568326947637
2020-05-21,7.83,7.9,7.83,7.9,8500,0.008939974457215838,0.7533978135,7.7780844298,6.0115071279,0.1030717416,7.046070460704623,12.056737588652489,15.328467153284686,616.8120273042861,738.1620182142888,857.9088643389243,0.015959163543284097,1.3831686205470675,77.68188593449868,2.2856249752217934,9.873417721518972
2020-05-22,7.9,8.16,7.9,8.16,9700,0.032911392405063244,0.7533978135,7.7780844298,6.0115071279,0.1030717416,7.79392338177014,14.767932489451475,17.919075144508678,704.345216560229,1040.3812479476576,1125.0325823468702,0.017253779255417354,1.1411411032481056,82.17178839555277,2.5864088475960703,6.372549019607843
