time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,7.21,7.21,6.88,7.13,49520,-0.01109570041608876,0.7849919723,6.084714316,5.9813221624,0.1310519637,17.85123966942148,24.650349650349646,8.85496183206107,31089.18307544246,45713.07777339518,37830.82718626039,0.04526703908786707,0.35748786409825994,60.878843219790426,1.9573359297494866,-5.890603085553991
2020-04-17,6.96,7.29,6.71,6.96,97790,-0.02384291725105192,0.7849919723,6.084714316,5.9813221624,0.1310519637,4.977375565610864,19.999999999999996,10.476190476190483,14895.104858619117,42490.905468841396,37024.22830828002,0.047638910148715026,0.36283927552511414,57.67770481391568,1.5603226529848264,3.5919540229885083
2020-04-20,6.88,6.96,6.71,6.8,51410,-0.02298850574712641,0.7849919723,6.084714316,5.9813221624,0.1310519637,-5.68654646324549,12.396694214876035,7.9365079365079305,-3342.7583545706457,35330.18707803679,35842.389227820255,0.04855975439601366,0.4228937173939403,54.7592607017809,1.0010231927287023,8.529411764705873
2020-04-21,6.71,6.71,6.22,6.3,59378,-0.07352941176470584,0.7849919723,6.084714316,5.9813221624,0.1310519637,-11.640953716690039,0.0,8.62068965517242,-7232.427156071826,21108.78576544562,36548.26457796031,0.05430264120919318,0.5110094013874514,46.791362020427655,0.11916428600930208,15.714285714285726
2020-04-22,6.22,6.88,5.88,6.88,264070,0.09206349206349218,0.7849919723,6.084714316,5.9813221624,0.1310519637,-4.576976421636614,7.836990595611293,18.620689655172406,15882.279894396825,45318.4048130647,60859.470927166694,0.06147929926888672,0.44405767941435015,54.97557742553171,0.663800119486465,8.430232558139528
2020-04-23,7.38,7.54,6.46,7.29,151635,0.05959302325581395,0.7849919723,6.084714316,5.9813221624,0.1310519637,2.244039270687237,20.495867768595044,22.1105527638191,25468.127060396888,56557.31013583936,69765.42797407928,0.059252719039615584,0.3703680383452102,59.69505365535969,1.5145399293198003,3.429355281207136
2020-04-24,7.21,7.62,7.21,7.54,37666,0.03429355281207136,0.7849919723,6.084714316,5.9813221624,0.1310519637,8.333333333333325,13.725490196078427,28.2312925170068,29091.426898596736,43986.53175721586,71320.34501470077,0.053450338936146105,0.21574309889087,62.29064093686337,1.0326448625859257,0.0
2020-04-27,7.71,7.96,6.96,6.96,82635,-0.07692307692307698,0.7849919723,6.084714316,5.9813221624,0.1310519637,2.35294117647058,-3.4674063800277377,21.678321678321687,23916.727517518037,20573.969162947396,66030.47321982897,0.05369266806800678,0.03222644624577908,53.65730202110069,-0.14089773899724042,9.482758620689658
2020-04-28,7.46,7.46,6.71,6.8,28264,-0.02298850574712641,0.7849919723,6.084714316,5.9813221624,0.1310519637,7.9365079365079305,-4.628330995792429,22.522522522522515,27633.009802845958,20400.58264677414,67184.24182765793,0.054041426975995115,0.02349761502558857,51.53533905168537,-0.21675751872709623,15.735294117647069
2020-04-29,6.71,6.88,6.3,6.8,85592,0.0,0.7849919723,6.084714316,5.9813221624,0.1310519637,-1.1627906976744207,-5.68654646324549,20.567375886524818,3321.8034536395794,19204.08334803641,66666.6202060363,0.053819718664014304,0.07651206534599621,51.53533905168537,-0.29539369121922343,9.705882352941186
