time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,9.18,10.37,9.18,9.37,9750,-0.03302373581011353,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-1.3684210526315854,2.0697167755991286,4.692737430167604,-228.95737144865535,-94.03563121092958,-387.7156537009654,0.035628509347735295,0.22427563115255478,45.311964374380246,0.39420387547086616,1.067235859124871
2020-04-17,10.01,10.01,9.4,9.4,520,0.0032017075773747017,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-1.673640167364021,2.3965141612200425,7.674684994272618,-229.25037824526262,-92.37074327069473,-385.5591456489987,0.03561667481996534,0.13314838925004358,45.77987330751068,0.40986720261026705,7.553191489361688
2020-04-20,10.05,10.05,9.5,9.5,580,0.010638297872340496,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-6.953966699314407,2.0408163265306145,1.7130620985010614,-304.6701236383009,-216.48375490560895,-384.9788526997651,0.03551068204010479,0.026762105460943257,47.395551680641496,0.3514077423752372,-0.3157894736842026
2020-04-21,10.11,10.14,9.56,10.14,3460,0.06736842105263174,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,6.736842105263174,8.56531049250535,12.791991101223577,-29.85158660030862,12.486384729192935,116.79896765411763,0.04100538497161139,-0.007976980370214075,56.358633858148266,1.1066333020387324,-0.2958579881656931
2020-04-22,10.21,10.21,9.53,9.53,110,-0.06015779092702178,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-1.6511867905056765,2.0342612419700146,6.006674082313679,-87.66894360228105,5.869027727220539,110.18161065214524,0.04651627892816838,-0.05804813533668495,47.96921194547468,0.30213398081063053,9.758656873032546
2020-04-23,10.17,10.17,9.56,9.66,15820,0.01364113326337879,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,3.09498399146213,1.6842105263157992,0.6250000000000089,450.11520877297835,221.15783732432268,323.27021207123374,0.046411405821302106,-0.17513226843427407,49.68807284515369,0.24453926920042496,2.69151138716357
2020-04-24,10.21,10.33,9.85,9.85,1560,0.019668737060041463,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,4.78723404255319,3.03347280334727,2.604166666666674,479.1335506464082,249.88317240114526,353.95344188489844,0.04671986025028656,-0.25558372526223394,52.174821329497426,0.40075879012655397,6.1928934010152314
2020-04-27,9.85,10.53,9.85,10.53,860,0.06903553299492393,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,10.842105263157897,3.134182174338873,9.687500000000004,532.3338962560853,227.6637726177841,413.324000260533,0.046879674371830195,-0.18586699871712042,59.82774105036552,0.40490205597831747,-6.457739791073125
2020-04-28,10.4,11.17,10.01,10.01,1390,-0.04938271604938271,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-1.2820512820512886,5.368421052631578,9.758771929824572,230.5971841053375,200.74559750502857,394.6820249518911,0.043686992249315014,-0.1833926948189655,52.86163244055163,0.6543799633906803,-0.5994005994006013
2020-04-29,10.01,10.01,10.01,10.01,20,0.0,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,5.0367261280168,3.302373581011353,7.173447537473243,237.2145411073099,149.54559750502852,248.49781442557523,0.04343697602307417,-0.08838661897985994,52.86163244055163,0.39678176673012344,-0.5994005994006013
2020-05-04,10.5,10.5,9.47,9.47,50,-0.053946053946053896,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-1.9668737060041352,1.067235859124871,3.1590413943355156,18.71451018335474,468.8297189563328,374.7940877454033,0.045860043950379036,-0.09338975409076378,46.36041444590518,0.12409948578073515,12.14361140443505
2020-05-05,9.63,10.11,9.63,10.11,1770,0.0675818373812036,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,2.639593908629445,7.553191489361688,10.130718954248351,107.65113253442044,586.7846831808283,494.4139399101337,0.050346002495987266,-0.13163042021626928,53.63799853240776,0.9043225336223375,6.627101879327402
2020-05-06,9.47,9.47,9.47,9.47,370,-0.06330365974282881,3.0802109947,9.8306708917,-4.4282310334,0.1152709221,-10.066476733143393,-0.3157894736842026,1.7185821697099923,24.858220053939185,557.1921163100242,340.7083614044153,0.055185303545479375,-0.0321684196989648,46.799953955745806,-0.01857454621378352,7.814149947201687
