time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-17,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-20,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-21,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-22,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-23,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-24,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-27,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,20.000000000000018,0.0,0.0,39.16846169477755,0.0,2.9039062425225994,100.0,-0.4561454859941876,0.0
2020-04-28,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,10.038610038610063,0.0,0.0,30.11583011583019,0.0,4.472135954999578,100.0,-0.4561454859941876,0.0
2020-04-29,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-04,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-05,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-06,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-07,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-08,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-11,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-12,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-13,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-14,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-15,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-18,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-19,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-20,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-21,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-22,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-25,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-26,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-27,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-28,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-05-29,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-01,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-02,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-03,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-04,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-05,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-08,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-09,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-10,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-11,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-12,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-15,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,0.0
2020-06-16,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-7.192982456140362
2020-06-17,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-7.192982456140362
2020-06-18,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-5.2631578947368585
2020-06-19,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-5.2631578947368585
2020-06-22,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-5.2631578947368585
2020-06-23,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-16.491228070175445
2020-06-24,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4561454859941876,-16.491228070175445
2020-06-25,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.4370342258331709,-16.491228070175445
2020-06-26,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.40999954530229293,-16.491228070175445
2020-06-29,17.1,17.1,17.1,17.1,0,0.0,0.6730311587,8.6507761921,9.1050772788,0.1643959389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.38220570894211087,-16.491228070175445
2020-06-30,15.87,15.87,15.87,15.87,100,-0.07192982456140362,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,0.02274620773103575,-4.472135954999579,2.21557258444966,-1.4796512644245725,-10.018903591682415
2020-07-01,15.87,15.87,15.87,15.87,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,-7.192982456140362,0.02274620773103575,-4.472135954999579,2.21557258444966,-1.4900909394338377,-10.018903591682415
2020-07-02,16.2,16.2,16.2,16.2,0,0.020793950850661602,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-5.2631578947368585,-5.2631578947368585,-5.2631578947368585,-7.192982456140362,-7.192982456140362,-7.192982456140362,0.024369380367351565,-3.8350600755630824,25.027012868730807,-1.1820122218690232,-11.851851851851848
2020-07-03,16.2,16.2,16.2,16.2,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-5.2631578947368585,-5.2631578947368585,-5.2631578947368585,-7.192982456140362,-7.192982456140362,-7.192982456140362,0.024369380367351565,-3.8350600755630824,25.02701286873082,-1.2236705547173186,-11.851851851851848
2020-07-06,16.2,16.2,16.2,16.2,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-5.2631578947368585,-5.2631578947368585,-5.2631578947368585,-7.192982456140362,-7.192982456140362,-7.192982456140362,0.024369380367351565,-3.8350600755630824,25.02701286873082,-1.3070629296832286,-11.851851851851848
2020-07-07,14.28,14.28,14.28,14.28,1400,-0.11851851851851847,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-10.018903591682415,-16.491228070175445,-16.491228070175445,-165.92592592592587,-173.11890838206622,-173.11890838206622,0.043172349696652505,-3.058383381591501,9.285726272273152,-4.030730203045332,0.0
2020-07-08,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-10.018903591682415,-16.491228070175445,-16.491228070175445,-165.92592592592587,-173.11890838206622,-173.11890838206622,0.043172349696652505,-3.058383381591501,9.285726272273152,-4.2804395852129025,0.0
2020-07-09,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-11.851851851851848,-16.491228070175445,-16.491228070175445,-165.92592592592587,-173.11890838206622,-173.11890838206622,0.043172349696652505,-3.058383381591501,9.285726272273152,-3.8895713644004792,0.0
2020-07-10,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-11.851851851851848,-16.491228070175445,-16.491228070175445,-165.92592592592587,-173.11890838206622,-173.11890838206622,0.043172349696652505,-3.058383381591501,9.285726272273152,-3.416700339213082,0.0
2020-07-13,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,-11.851851851851848,-16.491228070175445,-16.491228070175445,-165.92592592592587,-173.11890838206622,-173.11890838206622,0.043172349696652505,-3.058383381591501,9.285726272273152,-3.0722975796589385,0.0
2020-07-14,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,-10.018903591682415,-16.491228070175445,0.0,-165.92592592592587,-173.11890838206622,0.038764271223235655,-3.058383381591501,9.285726272273152,-1.6394287552340099,0.0
2020-07-15,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,-10.018903591682415,-16.491228070175445,0.0,-165.92592592592587,-173.11890838206622,0.038764271223235655,-3.058383381591501,9.285726272273152,-1.5729005612765443,0.0
2020-07-16,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,-11.851851851851848,-16.491228070175445,0.0,-165.92592592592587,-173.11890838206622,0.037478846342736336,-3.058383381591501,9.285726272273152,-1.8486456656567738,9.733893557422979
2020-07-17,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,-11.851851851851848,-16.491228070175445,0.0,-165.92592592592587,-173.11890838206622,0.037478846342736336,-3.058383381591501,9.285726272273152,-1.7641440701156361,9.733893557422979
2020-07-20,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,-11.851851851851848,-16.491228070175445,0.0,-165.92592592592587,-173.11890838206622,0.037478846342736336,-3.058383381591501,9.285726272273152,-1.687167080240139,9.733893557422979
2020-07-21,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,0.0,-16.491228070175445,0.0,0.0,-173.11890838206622,0.0,-3.058383381591501,9.285726272273152,0.5228049629430229,9.733893557422979
2020-07-22,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,0.0,-16.491228070175445,0.0,0.0,-173.11890838206622,0.0,-3.058383381591501,9.285726272273152,0.5228049629430229,9.733893557422979
2020-07-23,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,0.0,-16.491228070175445,0.0,0.0,-173.11890838206622,0.0,-3.058383381591501,9.285726272273152,0.5228049629430229,9.733893557422979
2020-07-24,14.28,14.28,14.28,14.28,0,0.0,0.8398547825,31.7934498287,47.3289896761,0.0463659603,0.0,0.0,-16.491228070175445,0.0,0.0,-173.11890838206622,0.0,-3.058383381591501,9.285726272273152,0.5228049629430229,9.733893557422979
