time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,10.73,10.73,10.73,10.73,4,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-12.479608482871118,-14.570063694267521,16.75734494015235,-35.14374531782757,-98.3921529611398,62545.290508787235,0.02779559184491829,0.6575290669595241,45.01419410796029,-1.4497185341764913,7.362534948741839
2020-04-17,10.11,11.71,9.68,11.71,3320,0.09133271202236726,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-4.486133768352351,-4.486133768352351,27.421109902067474,268.08085859643177,268.08085859643177,62848.5151127015,0.04335087876522969,0.5103011226595492,58.78541631171731,-0.7088020100143047,-1.6225448334756698
2020-04-20,12.81,12.81,12.81,12.81,100,0.09393680614859101,3.1071338527,12.4937793653,-2.8973178602,0.069127387,9.957081545064383,4.486133768352363,39.3906420021763,302.35219010851756,277.47453921129085,62857.908793316354,0.05328946809325177,0.351713307811511,68.36321199725091,-0.03233678554707793,-10.070257611241228
2020-04-21,12.81,12.81,12.81,12.81,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,9.957081545064383,4.486133768352363,38.48648648648649,302.35219010851756,277.47453921129085,62833.09921769067,0.05328946809325177,0.3693773591569426,68.36321199725091,-0.03730963370477234,-11.007025761124122
2020-04-22,11.58,11.58,11.58,11.58,255,-0.09601873536299765,3.1071338527,12.4937793653,-2.8973178602,0.069127387,7.921714818266534,-5.546492659053836,25.1891891891892,288.133507011554,252.98976169372645,62808.61444017311,0.06230873501052072,0.06405682204779395,52.53182590889099,-0.8018526448716089,-1.5544041450777146
2020-04-23,10.54,10.54,10.54,10.54,500,-0.08981001727115723,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-1.7707362534948867,-14.029363784665582,13.945945945945937,243.2284983759754,208.08475305814784,62763.70943153753,0.06789830691231846,0.014670971293913607,43.38363307652902,-1.4138951400907989,8.159392789373832
2020-04-24,10.54,10.54,10.54,10.54,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-9.99146029035014,-14.029363784665582,3.6381514257620484,-59.99610553828391,208.08475305814784,9947.75267478072,0.06789830691231846,0.06710517385633352,43.38363307652902,-1.3759150123616473,8.159392789373832
2020-04-27,10.54,11.52,10.54,11.52,200,0.09297912713472489,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-10.070257611241228,-1.1158798283261828,3.318385650224198,-50.79396072619803,251.55822938231955,3635.3750488802357,0.07402289938868956,0.05043470849358752,52.43584482734619,-0.4115603167062357,-3.211805555555547
2020-04-28,11.65,11.65,11.65,11.65,100,0.011284722222222321,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-9.055425448868071,0.0,0.0,-49.66548850397581,252.68670160454178,3156.234462806495,0.07408610711555245,0.1288553561614037,53.497996008415114,-0.32920831075803064,-4.29184549356223
2020-04-29,11.65,11.65,11.65,11.65,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,0.6044905008635526,8.57409133271203,-7.245222929936301,-25.180710986411402,262.9527960251426,164.56064306400282,0.06843344122499655,0.21880833438122696,53.497996008415114,0.29934069300410937,-4.29184549356223
2020-05-04,11.52,11.52,11.52,11.52,500,-0.011158798283261828,3.1071338527,12.4937793653,-2.8973178602,0.069127387,9.297912713472488,7.362534948741839,-8.280254777070073,14.144898507536295,257.3733968835117,158.9812439223719,0.06871174376253784,0.25353573605889834,52.14745118669654,0.19910406142838286,-4.7743055555555465
2020-05-05,11.52,11.52,11.52,11.52,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,9.297912713472488,-1.6225448334756698,-6.0358890701468155,14.144898507536295,-45.85120703074762,222.22965156568415,0.06236665325812551,0.18449329897741204,52.14745118669654,-0.4709407559843797,-5.295138888888884
2020-05-06,11.52,11.52,11.52,11.52,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,0.0,-10.070257611241228,-6.0358890701468155,-4.450926919408682,-55.24488764560672,222.22965156568415,0.0530436403951627,0.18449329897741204,52.14745118669654,-1.0806717364827378,0.0
2020-05-07,10.73,11.4,10.73,11.4,389,-0.01041666666666663,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-2.145922746781115,-11.007025761124122,-7.014681892332786,-9.631482474964233,-59.29697097894004,218.17756823235084,0.052943504426984395,0.21705118194784945,50.67263821802102,-1.1261752517381716,-1.0526315789473717
2020-05-08,10.3,11.4,10.3,11.4,620,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-2.145922746781115,-1.5544041450777146,-7.014681892332786,-9.631482474964233,-34.812193461375635,218.17756823235084,0.04354596064787874,0.21705118194784945,50.67263821802102,-0.4318010875342799,-2.7192982456140435
2020-05-11,11.4,11.4,11.4,11.4,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-1.041666666666663,8.159392789373832,-7.014681892332786,-4.052083333333319,10.092815174202975,218.17756823235084,0.030407878859040498,0.21705118194784945,50.67263821802102,0.2694847942317241,-2.7192982456140435
2020-05-12,11.4,11.4,11.4,11.4,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-1.041666666666663,8.159392789373832,-7.014681892332786,-4.052083333333319,10.092815174202975,218.17756823235084,0.030407878859040498,0.21705118194784945,50.67263821802102,0.25960438632679317,-2.7192982456140435
2020-05-13,10.54,11.15,10.54,11.15,2249,-0.021929824561403466,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-3.211805555555547,-3.211805555555547,-4.29184549356223,-53.372258771929715,-57.823185691338395,193.73504369098112,0.00905214148300111,0.1819854216195312,46.951698251830344,-0.5695375517175578,-0.5381165919282505
2020-05-14,11.15,11.15,11.15,11.15,10,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-2.1929824561403466,-4.29184549356223,-4.29184549356223,-49.320175438596394,-58.951657913560624,193.73504369098112,0.007635239262193212,0.1819854216195312,46.951698251830344,-0.6417111446485209,-0.5381165919282505
2020-05-15,11.15,11.15,11.15,11.15,10,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-2.1929824561403466,-4.29184549356223,3.914259086672889,-49.320175438596394,-58.951657913560624,204.00113811158198,0.007635239262193212,0.19983242780335572,46.951698251830344,-0.6348624710519357,-0.5381165919282505
2020-05-18,11.15,11.15,10.48,10.97,2339,-0.016143497757847514,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-3.771929824561404,-4.7743055555555465,2.236719478098781,-87.07981669420172,-91.13190002753504,166.24149685597666,0.008265784673450018,0.2496857067451175,44.04335232623033,-0.6622873843549938,0.0
2020-05-19,10.97,10.97,10.91,10.91,617,-0.005469462169553352,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-4.29824561403509,-5.295138888888884,-6.83176771989753,-90.45447485281615,-94.50655818614946,-140.3577652168971,0.00808832800412093,0.20800806051135132,43.08530415185472,-0.6798609615734295,1.6498625114573784
2020-05-20,11.52,11.52,11.52,11.52,120,0.05591200733272217,3.1071338527,12.4937793653,-2.8973178602,0.069127387,3.318385650224198,0.0,-10.070257611241228,-34.42485853429309,-87.7971173062228,-143.04200495182954,0.021096927112818093,-0.2259808631045412,54.032871445708494,-0.285097543644477,-3.211805555555547
2020-05-21,11.03,11.28,11.03,11.28,200,-0.02083333333333337,3.1071338527,12.4937793653,-2.8973178602,0.069127387,1.1659192825111964,-1.0526315789473717,-11.943793911007038,-38.591525200959765,-87.91170063955616,-147.2086716184962,0.021920211289254886,-0.1401795264945568,49.96103157034207,-0.34892275559206737,-1.1524822695035408
2020-05-22,11.09,11.09,11.09,11.09,125,-0.016843971631205656,3.1071338527,12.4937793653,-2.8973178602,0.069127387,-0.5381165919282505,-2.7192982456140435,-4.231433506044901,-40.69702165486047,-90.01719709345687,-124.8293905548325,0.022487761020851493,0.5018383438143084,46.944914214103356,-0.4550096330438157,0.5410279531109063
2020-05-25,11.09,11.09,11.09,11.09,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,1.0938924339106482,-2.7192982456140435,5.218216318785585,-2.9373803992551384,-90.01719709345687,-79.92438191925389,0.022487761020851493,2.58303923833692,46.944914214103356,-0.440354303885463,0.5410279531109063
2020-05-26,11.09,11.09,11.09,11.09,0,0.0,3.1071338527,12.4937793653,-2.8973178602,0.069127387,1.6498625114573784,-2.7192982456140435,5.218216318785585,0.4372777593592798,-90.01719709345687,-79.92438191925389,0.022487761020851493,2.58303923833692,46.944914214103356,-0.4322974356021283,-4.9594229035166855
