time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,-15.972222222222232,0.0,0.0,-476.0221225504515,0.0,-2.7936546559335134,24.45941776769139,0.05506045535158459,0.0
2020-04-17,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,-7.208588957055206,0.0,0.0,-400.46656699489586,0.0,-4.185817378045028,24.45941776769139,0.05506045535158459,0.0
2020-04-20,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,1.680672268907557,0.0,0.0,1.680672268907557,0.0,4.472135954999508,24.45941776769139,0.05506045535158459,0.0
2020-04-21,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,1.680672268907557,0.0,0.0,1.680672268907557,0.0,4.472135954999508,24.45941776769139,0.05506045535158459,0.0
2020-04-22,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,1.680672268907557,0.0,0.0,1.680672268907557,0.0,4.472135954999508,24.45941776769139,0.05506045535158459,0.0
2020-04-23,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,1.680672268907557,0.0,0.0,1.680672268907557,0.0,4.472135954999508,24.45941776769139,0.05506045535158459,0.0
2020-04-24,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.05506045535158459,0.0
2020-04-27,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.05506045535158459,0.0
2020-04-28,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.05506045535158459,0.0
2020-04-29,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.05506045535158459,0.0
2020-05-04,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.05506045535158459,0.0
2020-05-05,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.05506045535158459,0.0
2020-05-06,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.05506045535158459,0.0
2020-05-07,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.05506045535158459,0.0
2020-05-08,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.05506045535158459,0.0
2020-05-11,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.0664822594604401,0.0
2020-05-12,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.07801871431169587,0.0
2020-05-13,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.459417767691406,0.0896767839833629,0.0
2020-05-14,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.10146378569788451,0.0
2020-05-15,6.05,6.05,6.05,6.05,0,0.0,2.0775650904,-31.6040949509,32.1013542157,-0.0323566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.45941776769139,0.113387419638875,0.0
