time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,2.67,2.67,2.58,2.58,1743869,-0.0337078651685393,1.1654783484,10.6110473764,6.6365049023,0.0907201666,18.34862385321101,45.76271186440679,30.96446700507616,688279.9310759972,1134948.2917503766,968601.2323640166,0.04714921775128128,-0.22912481579798097,68.34132027967743,2.392883666345565,-11.240310077519378
2020-04-17,2.61,2.67,2.58,2.58,2352910,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,8.40336134453783,36.50793650793651,32.30769230769231,330597.3622686582,1052150.054462241,983752.9074909202,0.04748003565473147,-0.2569427706298343,68.34132027967743,1.7997218884486728,-11.240310077519378
2020-04-20,2.58,2.73,2.55,2.58,3708333,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-1.1494252873563093,29.000000000000004,32.30769230769231,44373.66899134694,956428.8110759975,983752.9074909202,0.04755839028221829,-0.2569427706298343,68.34132027967743,1.3515408238392705,-8.914728682170537
2020-04-21,2.58,2.58,2.35,2.35,3438266,-0.08914728682170536,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-11.985018726591756,17.500000000000004,32.768361581920914,-365294.18639491306,649916.7258046799,847320.6068349872,0.0598897086974382,-0.2366966760233548,55.39905813358718,0.7297895344892131,6.382978723404253
2020-04-22,2.21,2.53,2.18,2.44,2436013,0.038297872340425476,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-8.614232209737827,21.999999999999996,37.85310734463276,-272000.0715012962,743210.8406982968,940614.7217286042,0.05984581974976071,-0.342486213760213,58.69534628874833,0.9367026332281265,4.508196721311464
2020-04-23,2.5,2.53,2.35,2.35,1365187,-0.03688524590163933,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-8.914728682170537,7.7981651376146655,22.39583333333335,-263573.228574422,424706.70250157523,797744.8025149336,0.0571414504745747,-0.15262280622034893,54.368115089581856,0.19658855834217606,8.51063829787233
2020-04-24,2.35,2.41,2.29,2.35,883765,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-8.914728682170537,-1.2605042016806678,26.344086021505376,-263573.228574422,67024.13369423615,824366.9587649336,0.04919110001274491,-0.2270195745236582,54.368115089581856,-0.27270205958018784,7.659574468085095
2020-04-27,2.35,2.38,2.26,2.26,1320424,-0.0382978723404257,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-12.40310077519381,-13.409961685823756,25.555555555555532,-314142.65836165624,-269768.98937030934,795591.9160744735,0.03656926112748524,-0.22004529173471232,50.08569287417579,-0.892481450717979,18.141592920354
2020-04-28,2.29,2.29,2.18,2.26,956681,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-3.82978723404257,-15.355805243445698,38.65030674846626,-7630.573090338636,-372924.75948525174,911621.6382966959,0.034682263906077995,-0.03795006833202963,50.08569287417578,-0.9855916212066814,19.469026548672574
2020-04-29,2.29,2.32,2.24,2.32,614600,0.026548672566371723,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-4.918032786885251,-13.108614232209737,40.6060606060606,-84607.87382466346,-356607.94532595965,916436.0475480126,0.03698087010610434,-0.08533807067381756,52.95101574503809,-0.8703825316650748,12.5
2020-05-04,2.32,2.35,2.26,2.29,647090,-0.012931034482758563,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-2.553191489361706,-11.240310077519378,29.378531073446325,-42620.158731390424,-306193.38730581244,828754.9044445643,0.03628520815650397,0.1048906248713076,51.36335895829207,-0.7752940234303051,13.973799126637543
2020-05-05,2.29,2.32,2.26,2.29,737510,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,-2.553191489361706,-11.240310077519378,21.164021164021165,-42620.158731390424,-306193.38730581244,745956.6671564287,0.03628520815650397,0.26790926625229805,51.36335895829207,-0.767892577356837,11.353711790392996
2020-05-06,2.32,2.35,2.26,2.35,1323172,0.026200873362445476,1.1654783484,10.6110473764,6.6365049023,0.0907201666,3.9823008849557695,-8.914728682170537,17.500000000000004,42617.53306457755,-271525.12529707875,684903.6857789187,0.038088286112382616,0.34239514307882574,54.52596558955938,-0.6446781479635285,8.51063829787233
2020-05-07,2.32,2.5,2.32,2.5,1644398,0.06382978723404253,1.1654783484,10.6110473764,6.6365049023,0.0907201666,10.619469026548689,6.382978723404253,25.0,147579.10753266263,139948.53444232396,789865.2602470038,0.03245683640763918,0.17600184125594795,61.30092741831718,0.12841906281558416,1.200000000000001
2020-05-08,2.47,2.61,2.47,2.55,1830317,0.020000000000000018,1.1654783484,10.6110473764,6.6365049023,0.0907201666,9.913793103448265,4.508196721311464,27.499999999999993,167868.6333733706,83260.75954870711,826471.6002470038,0.03095719659764569,0.1073014594526379,63.26555517640597,0.02489545422285683,0.0
2020-05-11,2.55,2.61,2.53,2.55,1322730,0.0,1.1654783484,10.6110473764,6.6365049023,0.0907201666,11.353711790392996,8.51063829787233,16.972477064220158,176236.17647681883,133616.0177454284,558322.7202470036,0.02742875350450058,0.16085157415797302,63.265555176405975,0.2209225852461047,2.35294117647058
2020-05-12,2.55,2.55,2.47,2.53,1098197,-0.007843137254901933,1.1654783484,10.6110473764,6.6365049023,0.0907201666,10.480349344978146,7.659574468085095,6.302521008403361,167622.8666728973,125002.70794150686,192026.84163574298,0.0278094208913384,0.08691940284683658,61.80987180999035,0.16950127245917793,6.719367588932812
2020-05-13,2.55,2.73,2.47,2.67,2838012,0.055335968379446765,1.1654783484,10.6110473764,6.6365049023,0.0907201666,13.617021276595743,18.141592920354,2.298850574712641,289998.74695665407,332616.2800212316,62847.29065092222,0.026304682174130272,-0.5997253079314093,67.45492010116618,0.6913250046278059,-2.2471910112359605
