time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,21.16,21.6,21.16,21.6,13150,-0.01279707495429605,6.037580241,12.5213926792,13.191956602,0.257967365,-3.0955585464333635,15.384615384615397,9.811896288764622,-1275.6371188275066,5417.624990092789,-1628.50241767118,0.044349252436230675,0.23627698781607753,56.341975040812294,1.9129274777883183,0.0
2020-04-17,21.48,22.43,21.48,21.48,55040,-0.005555555555555647,6.037580241,12.5213926792,13.191956602,0.257967365,-1.9625741670470043,12.993161493950556,8.869741510390261,-1279.6652330790453,4952.285246503039,-2004.4377958556715,0.0448341692314869,0.2688875672781526,55.50856795973156,1.5961271427642627,3.2122905027933024
2020-04-20,21.74,23.04,21.74,23.04,45550,0.07262569832402233,6.037580241,12.5213926792,13.191956602,0.257967365,8.270676691729317,14.28571428571428,16.954314720812192,2868.7707888389555,7339.659871443163,1324.493984293663,0.046394175424580957,0.15636340737184093,63.1414915022557,1.6537161714554676,0.0
2020-04-21,22.75,22.75,21.02,21.88,26270,-0.05034722222222221,6.037580241,12.5213926792,13.191956602,0.257967365,4.240114340161982,11.74668028600614,21.962095875139333,1803.9876069258412,6347.891518268561,8348.918141795066,0.04904953499931382,0.7314994886999568,55.51471968483801,1.3528622238309582,4.753199268738584
2020-04-22,21.6,21.77,21.16,21.77,9710,-0.005027422303473417,6.037580241,12.5213926792,13.191956602,0.257967365,-0.5027422303473417,7.986111111111116,16.292735042735053,1462.6034468879377,5404.488935137988,6869.232306010948,0.048907071563847715,0.9362581125209971,54.838279935121626,0.957322949984841,5.144694533762073
2020-04-23,22.17,22.17,21.6,21.6,10720,-0.0078089113458887915,6.037580241,12.5213926792,13.191956602,0.257967365,0.0,-3.0955585464333635,11.975116640746508,1547.173452909003,271.5363340814917,6217.804430229173,0.03515668931414901,1.1003592170430065,53.748280031033765,-0.11791721481960502,2.6388888888888795
2020-04-24,21.63,21.71,20.44,21.6,9710,0.0,6.037580241,12.5213926792,13.191956602,0.257967365,0.5586592178770999,-1.414879050661788,12.441436751691825,1852.951230686786,573.2859976077358,6377.887374760013,0.03478933352834373,1.0875503791462364,53.748280031033765,0.04184825939815444,3.3333333333333215
2020-04-27,21.74,24.42,21.48,24.16,76405,0.11851851851851847,6.037580241,12.5213926792,13.191956602,0.257967365,4.861111111111116,13.533834586466153,26.35983263598325,7600.258079434972,10469.028868273923,15514.908525009687,0.04967169099414456,1.0438499216567407,65.66669816599868,1.4394547182992412,-6.9122516556291425
2020-04-28,24.48,24.62,23.04,23.18,61440,-0.04056291390728484,6.037580241,12.5213926792,13.191956602,0.257967365,5.94149908592323,10.433539780848022,25.773195876288657,6430.69417674917,8234.681783675007,13614.564098730207,0.052002176804139925,1.0218781420463878,59.360612089996486,1.1044543995626677,-3.71009490940466
2020-04-29,23.61,23.76,22.46,22.75,15100,-0.0185504745470233,6.037580241,12.5213926792,13.191956602,0.257967365,4.5016077170418,3.9762340036563204,23.4400434074878,6199.398281655845,7662.001728543777,13334.451933070155,0.0515011938094021,1.0429402186987176,56.78389375733738,0.45360161751253686,-3.824175824175824
