time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,10.38,12.3,10.38,12.3,2700,0.08465608465608465,24.254288425,11.3705341799,19.5207048009,0.0408369165,-0.7263922518159771,-2.766798418972327,-4.056162246489858,214.1694915254237,212.90784298672025,218.45850660919047,0.05936238132266405,-0.25350005176727847,44.59320782844467,0.2394611162464827,-7.804878048780495
2020-04-17,11.34,11.34,11.17,11.17,3200,-0.09186991869918704,24.254288425,11.3705341799,19.5207048009,0.0408369165,-9.84665052461663,-11.699604743083004,-12.870514820592827,-79.81424831197481,-81.07589685067825,-75.52523322820804,0.06590495382449611,-0.21384939261826721,36.86430975017816,-0.36204454341100323,-6.266786034019689
2020-04-20,11.17,11.17,11.17,11.17,0,0.0,24.254288425,11.3705341799,19.5207048009,0.0408369165,-9.84665052461663,-18.467153284671532,-12.870514820592827,-79.81424831197481,-89.37629210759525,-75.52523322820804,0.05753136200451048,-0.21384939261826721,36.86430975017816,-0.8036726730885801,-13.339301700984784
2020-04-21,11.34,11.34,11.34,11.34,200,0.015219337511190645,24.254288425,11.3705341799,19.5207048009,0.0408369165,0.8000000000000007,-17.226277372262764,-11.544461778471138,-58.36844376373182,-86.33242460535712,-72.48136572596991,0.05827703205580299,-0.2563585304970802,38.71752144506606,-0.6972319311379594,-13.84479717813052
2020-04-22,11.34,11.34,11.34,11.34,0,0.0,24.254288425,11.3705341799,19.5207048009,0.0408369165,0.0,-17.226277372262764,-11.544461778471138,-62.368443763731825,-86.33242460535712,-72.48136572596991,0.05827703205580299,-0.2563585304970802,38.71752144506606,-0.6762637614397221,-15.343915343915349
2020-04-23,11.34,11.34,11.34,11.34,100,0.0,24.254288425,11.3705341799,19.5207048009,0.0408369165,-7.804878048780495,-8.474576271186452,-11.544461778471138,-290.9398723351604,-76.77038080973668,-72.48136572596991,0.05141387780331836,-0.2563585304970802,38.71752144506606,-0.06911996784798081,-15.343915343915349
2020-04-24,10.38,11.25,10.38,11.25,441,-0.007936507936507908,24.254288425,11.3705341799,19.5207048009,0.0408369165,0.71620411817368,-9.200968523002429,-12.246489859594389,-0.4561324977618586,-80.27038080973666,-75.9813657259699,0.05134472737294921,-0.23124208536770163,37.98036965447325,-0.10856890975628114,-8.533333333333337
2020-04-27,10.38,10.38,10.38,10.38,276,-0.07733333333333325,24.254288425,11.3705341799,19.5207048009,0.0408369165,-7.0725156669650735,-16.222760290556902,-19.03276131045242,-21.800132497761837,-101.61438080973664,-97.32536572596987,0.055588414653981004,-0.10029783120551307,31.697768460404617,-0.5713247911088327,-0.8670520231214063
2020-04-28,11.25,11.34,11.25,11.34,3300,0.09248554913294793,24.254288425,11.3705341799,19.5207048009,0.0408369165,0.0,0.8000000000000007,-3.735144312393879,280.35831213872825,221.9898683749964,215.98927090573804,0.05816208176858277,-0.1455354151264937,42.918309433661214,0.5943499054227009,-9.259259259259267
2020-04-29,11.34,11.34,11.34,11.34,0,0.0,24.254288425,11.3705341799,19.5207048009,0.0408369165,0.0,0.0,-10.355731225296449,280.35831213872825,217.9898683749964,202.3262827902881,0.05813031695063132,-0.09436492488332573,42.918309433661214,0.5395391952295855,-11.552028218694888
