time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,2.29,2.37,2.25,2.35,1085770,0.03070175438596512,2.4263145688,6.642140251,9.6421594853,0.1112452111,1.7316017316017396,5.381165919282527,-9.961685823754785,22913.184000830843,95027.66668110625,54170.36811939772,0.021879063564370593,-0.2646825713000724,44.736241537265826,1.6133130320151265,-8.085106382978724
2020-04-17,2.4,2.46,2.39,2.46,1563540,0.04680851063829783,2.4263145688,6.642140251,9.6421594853,0.1112452111,6.493506493506485,9.821428571428559,-5.384615384615388,96100.16272423504,166051.23733276155,128946.00584663328,0.025467110247021238,-0.0837184039480256,54.44307766702887,2.279333417381478,-12.60162601626017
2020-04-20,2.47,2.48,2.37,2.37,1054800,-0.03658536585365846,2.4263145688,6.642140251,9.6421594853,0.1112452111,3.947368421052655,3.493449781659397,-7.05882352941175,67132.90583478319,101530.41307317998,93922.49271342516,0.028816017282508752,-0.06961528396639678,47.14647037843467,1.170853603270439,-7.594936708860766
2020-04-21,2.25,2.31,2.21,2.21,1768960,-0.06751054852320681,2.4263145688,6.642140251,9.6421594853,0.1112452111,-2.212389380530966,-2.643171806167399,-7.14285714285714,-45173.18565977608,-11142.741165576037,-14539.633868853445,0.036601547981310815,-0.0923266378548917,37.519361202820406,0.13404628138254868,0.0
2020-04-22,2.11,2.3,2.1,2.24,1755810,0.013574660633484337,2.4263145688,6.642140251,9.6421594853,0.1112452111,-1.754385964912264,1.3574660633484337,-3.0303030303030276,-27657.15634811919,32829.581078130286,20467.538076848185,0.035820686048137935,-0.2956662405835812,39.99353777651176,0.8206585119945108,0.0
2020-04-23,2.25,2.28,2.2,2.23,885930,-0.0044642857142858094,2.4263145688,6.642140251,9.6421594853,0.1112452111,-5.106382978723412,-3.463203463203468,-5.106382978723412,-64947.244850625764,-42034.060849794914,9348.857070354561,0.03243043833982206,-0.19112981022545303,39.43299543085242,0.024250072769546865,6.278026905829592
2020-04-24,2.24,2.24,2.16,2.19,545210,-0.017937219730941756,2.4263145688,6.642140251,9.6421594853,0.1112452111,-10.97560975609756,-5.1948051948051965,-5.1948051948051965,-147913.7751435367,-51813.612419301666,9890.15656467761,0.03273829931974974,-0.18678204212867847,37.187753121683535,-0.2567402662279699,12.328767123287676
2020-04-27,2.21,2.24,2.19,2.2,653770,0.004566210045662267,2.4263145688,6.642140251,9.6421594853,0.1112452111,-7.1729957805907185,-3.50877192982455,-4.347826086956507,-106338.28009954515,-39205.37426476195,14520.818961641513,0.032723052239125146,-0.24013116677303784,38.136096165827546,0.06648338212323547,9.999999999999986
2020-04-28,2.21,2.21,2.15,2.18,918860,-0.00909090909090915,2.4263145688,6.642140251,9.6421594853,0.1112452111,-1.3574660633484115,-3.539823008849541,-4.3859649122806825,4731.907088793985,-40441.278570982075,9108.067973499188,0.032729375385942054,-0.23771138388328136,36.93501034999147,0.06528358418364219,12.844036697247695
2020-04-29,2.18,2.21,2.17,2.2,341480,0.00917431192660545,2.4263145688,6.642140251,9.6421594853,0.1112452111,-1.7857142857142905,-3.50877192982455,-3.50877192982455,-15969.773761386921,-43626.930109506095,12240.912010196418,0.03274271771818552,-0.2873973196341108,39.003841155060044,0.07639552103072965,9.090909090909083
2020-05-04,2.19,2.19,2.16,2.16,462800,-0.018181818181818188,2.4263145688,6.642140251,9.6421594853,0.1112452111,-3.139013452914796,-8.085106382978724,-3.139013452914796,-20429.27457307515,-85376.5194237009,9651.147257405333,0.03072644642207609,-0.3032727811164759,36.42984082549726,-0.7355910824361629,11.574074074074069
2020-05-05,2.16,2.17,2.14,2.15,259120,-0.004629629629629761,2.4263145688,6.642140251,9.6421594853,0.1112452111,-1.82648401826484,-12.60162601626017,-4.017857142857151,-11849.35263319806,-159763.12777673476,6288.109556026784,0.024137260429708693,-0.24819965472380948,35.793873777907976,-1.4988159674560941,13.953488372093027
2020-05-06,2.15,2.19,2.14,2.19,418620,0.018604651162790642,2.4263145688,6.642140251,9.6421594853,0.1112452111,-0.454545454545463,-7.594936708860766,-4.366812227074234,-7046.324704983261,-113384.60480452838,-11854.191731348432,0.02447998846650231,-0.24647180673371,40.284520959632886,-0.5870877008650531,11.87214611872147
2020-05-07,2.19,2.22,2.17,2.21,775900,0.009132420091324311,2.4263145688,6.642140251,9.6421594853,0.1112452111,1.3761467889908063,0.0,-2.643171806167399,8392.792771148053,13124.699859942071,1981.9586943660124,0.012888832923065566,-0.3512360951749822,42.45181956311071,0.7527133510595798,9.954751131221728
2020-05-08,2.23,2.29,2.23,2.24,1099470,0.013574660633484337,2.4263145688,6.642140251,9.6421594853,0.1112452111,1.81818181818183,0.0,1.3574660633484337,20184.88086114785,4215.10709976096,37044.688177891214,0.012888832923065566,-0.5636028740401576,45.638920689591885,0.742716381102286,11.16071428571428
2020-05-11,2.29,2.37,2.29,2.37,1691260,0.05803571428571419,2.4263145688,6.642140251,9.6421594853,0.1112452111,9.72222222222221,6.278026905829592,2.5974025974025983,126752.90845855029,106323.63388547517,64289.57303568023,0.022219442234421224,-0.28837889571467,56.80303475655722,1.7703038040540382,7.1729957805907185
2020-05-12,2.39,2.49,2.37,2.46,2214440,0.03797468354430378,2.4263145688,6.642140251,9.6421594853,0.1112452111,14.418604651162802,12.328767123287676,6.493506493506485,212045.196316028,200195.84368283,148382.2312635283,0.02246919761954872,-0.35650542371144867,62.538918566032486,2.5970597481989977,7.317073170731714
