time,open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
2020-04-16,5.9,6.24,5.83,6.16,155730,0.045840407470288724,0.1206711314,6.7905228852,3.1350389887,0.1236431059,8.833922261484094,13.863216266173751,13.027522935779823,14324.040712065555,20998.393482670883,13646.226858235785,0.020262641346727568,-0.8962749671325273,65.5585582320166,2.5968745061821497,9.090909090909083
2020-04-17,6.16,6.37,6.11,6.29,108000,0.02110389610389607,0.1206711314,6.7905228852,3.1350389887,0.1236431059,13.74321880650995,13.74321880650995,15.837937384898716,20701.936402947096,19513.91740422067,16390.878830117123,0.02021268673793367,-1.0391431671276403,68.56226655047239,2.406221241465591,8.903020667726548
2020-04-20,6.29,6.29,6.08,6.19,132050,-0.015898251192368762,0.1206711314,6.7905228852,3.1350389887,0.1236431059,8.59649122807018,9.363957597173144,12.7504553734062,13702.698915273279,14300.665450000757,13502.011997733876,0.021750102356364612,-0.8418076394138432,63.9426255230915,1.7048487356118884,15.508885298869135
2020-04-21,6.07,6.12,5.82,5.82,151030,-0.05977382875605819,0.1206711314,6.7905228852,3.1350389887,0.1236431059,1.5706806282722585,2.464788732394374,13.229571984435818,4422.320716140544,4930.903951630533,16431.74768988676,0.030880287484412954,-0.705587447815352,50.40891652886327,0.7298641491562159,21.649484536082465
2020-04-22,5.74,6.06,5.72,6.0,187110,0.030927835051546282,0.1206711314,6.7905228852,3.1350389887,0.1236431059,1.8675721561969505,5.633802816901423,16.279069767441868,4077.849224083895,10717.811168125358,21886.086812996375,0.03208602231666933,-0.782492600386705,55.359033099234196,1.1399972621180554,17.833333333333346
2020-04-23,6.15,6.18,6.0,6.11,55420,0.018333333333333313,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-0.8116883116883078,7.950530035335701,13.148148148148152,-2044.844097930836,12279.19661413473,18037.003867259933,0.03211246380516299,-1.0077798081608444,58.11084231256937,1.4180835730321286,21.76759410801965
2020-04-24,6.11,6.14,6.03,6.07,29220,-0.006546644844517169,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-3.497615262321141,9.76491862567812,12.407407407407401,-4515.357839508403,16186.578563438703,17845.710904903142,0.030734704328305076,-0.9520224367861101,56.74111356103171,1.5991510796022705,22.73476112026358
2020-04-27,6.02,6.48,6.02,6.45,269100,0.06260296540362442,0.1206711314,6.7905228852,3.1350389887,0.1236431059,4.200323101777048,13.157894736842103,19.444444444444443,14430.46422055922,28133.16313583251,34692.168895018476,0.03456111772832902,-0.48944843980147473,65.14610083978386,1.9417766274085413,14.263565891472862
2020-04-28,6.58,6.77,6.4,6.72,180830,0.041860465116279055,0.1206711314,6.7905228852,3.1350389887,0.1236431059,15.463917525773185,17.277486910994753,25.607476635514015,31027.733484563432,35450.054200703984,43920.77828347672,0.03557622196060247,-0.6539497607547899,69.65719870285494,2.3101199779121164,10.119047619047628
2020-04-29,7.03,7.05,6.72,6.82,484840,0.01488095238095255,0.1206711314,6.7905228852,3.1350389887,0.1236431059,13.666666666666671,15.789473684210531,26.296296296296283,32455.70722044964,36533.55644453355,50482.575123708215,0.035354886586390105,-0.687649533295655,71.14672088294319,2.014804337599706,8.064516129032251
2020-05-04,6.72,6.79,6.53,6.72,235570,-0.014662756598240567,0.1206711314,6.7905228852,3.1350389887,0.1236431059,9.983633387888702,9.090909090909083,24.214417744916815,27985.568315268778,25940.724217337953,46939.117700008836,0.03472544046831504,-0.596221830105076,67.57433968088324,1.1843539263748921,8.03571428571428
2020-05-05,6.72,6.87,6.65,6.85,109790,0.019345238095238138,0.1206711314,6.7905228852,3.1350389887,0.1236431059,12.85008237232288,8.903020667726548,23.86980108499095,30300.774968101763,25785.41712859337,45299.33453281404,0.03466331873101404,-0.58461653629765,69.70402701260042,1.1248522409826853,5.693430656934306
2020-05-06,6.87,7.16,6.81,7.15,288600,0.04379562043795637,0.1206711314,6.7905228852,3.1350389887,0.1236431059,10.852713178294572,15.508885298869135,26.325088339222624,26093.73303638064,40524.19725693987,54824.862706940636,0.03501685502163832,-0.5702297508760309,73.95521559963639,1.800534788681714,0.13986013986013734
2020-05-07,7.15,7.43,7.08,7.08,170590,-0.009790209790209836,0.1206711314,6.7905228852,3.1350389887,0.1236431059,5.35714285714286,21.649484536082465,24.647887323943674,16853.993241292006,47881.72672585544,52812.630677485984,0.02538937823119709,-0.4960595052573153,71.43634329909509,2.3304271841092365,-1.412429378531066
2020-05-08,7.11,7.19,7.01,7.07,188980,-0.0014124293785310327,0.1206711314,6.7905228852,3.1350389887,0.1236431059,3.665689149560114,17.833333333333346,24.4718309859155,9372.191384956175,41827.898605405826,52545.70977353119,0.02590774306840484,-0.4878369995725604,71.06397433319117,1.828848891535786,2.2630834512022746
2020-05-11,7.14,7.44,7.08,7.44,190420,0.05233380480905225,0.1206711314,6.7905228852,3.1350389887,0.1236431059,10.71428571428572,21.76759410801965,31.448763250883395,22791.700068543436,50777.268383812225,63056.464997946954,0.028250531665659148,-0.5896488710899098,76.04042573551966,2.1136157006258274,-1.4784946236559127
2020-05-12,7.37,7.47,7.28,7.45,96880,0.0013440860215052641,0.1206711314,6.7905228852,3.1350389887,0.1236431059,8.759124087591253,22.73476112026358,34.719710669077756,20798.00143183067,51098.776399932445,67285.35496337115,0.02751994561185953,-0.6816824583350374,76.15976254494338,2.0874871242230544,3.2214765100671228
2020-05-13,7.45,7.48,7.31,7.37,125320,-0.010738255033557076,0.1206711314,6.7905228852,3.1350389887,0.1236431059,3.076923076923066,14.263565891472862,29.29824561403509,6812.86725263109,32906.600289011745,61039.763424844255,0.024853147734054625,-0.4726571061895322,73.02612852738287,1.2256931503118322,2.170963364993228
2020-05-14,7.24,7.62,7.24,7.4,155670,0.004070556309362372,0.1206711314,6.7905228852,3.1350389887,0.1236431059,4.519774011299438,10.119047619047628,29.144851657940652,9116.642641421426,25970.635882713446,61420.69008341743,0.022890290491960695,-0.46560833609011626,73.46701298334926,0.8078165411706287,0.13513513513512265
2020-05-15,7.37,7.47,7.36,7.37,40330,-0.004054054054054124,0.1206711314,6.7905228852,3.1350389887,0.1236431059,4.243281471004234,8.064516129032251,25.12733446519526,9220.063545376219,18592.25493033241,55125.81137486595,0.023214870287510462,-0.3016610458328284,72.19620321154402,0.5984146902909547,1.8995929443690551
2020-05-18,7.26,7.36,7.26,7.26,38910,-0.014925373134328401,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-2.4193548387096864,8.03571428571428,17.85714285714286,-1326.0858350202298,21465.61423352322,47406.33845086118,0.023243515909715923,-0.11113841602389776,67.58022340860606,0.5831651791734074,3.7190082644628086
2020-05-19,7.27,7.37,7.24,7.24,88110,-0.0027548209366390353,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-2.8187919463087296,5.693430656934306,15.103338632750397,-1699.0281615109252,19098.97327031976,44884.390398913136,0.023094787006281096,0.01840366580328552,66.74464356851465,0.35226368627288995,2.6243093922651894
2020-05-20,7.3,7.3,6.74,7.16,56770,-0.011049723756906049,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-2.849389416553594,0.13986013986013734,15.670436187399028,-980.6028583851087,5832.264394245995,46356.46165118587,0.019259426996418087,0.0065480508155622286,63.369492369532715,-0.17404038274699468,3.9106145251396773
2020-05-21,7.15,7.15,6.98,6.98,48220,-0.025139664804469275,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-5.675675675675674,-1.412429378531066,19.931271477663227,-2826.5009959350573,6290.141645486382,54171.86837134183,0.020710184773503115,0.7884305153998561,56.45235954494677,-0.32448264154277234,6.733524355300857
2020-05-22,6.95,7.24,6.87,7.23,90580,0.035816618911174825,0.1206711314,6.7905228852,3.1350389887,0.1236431059,-1.8995929443690551,2.2630834512022746,20.500000000000007,581.2683450391605,9801.331890415393,51629.230495821226,0.02379126105050684,0.7641620347451942,62.56435949552619,0.013518071131025565,3.872752420470249
2020-05-25,7.23,7.4,7.11,7.33,87800,0.013831258644536604,0.1206711314,6.7905228852,3.1350389887,0.1236431059,0.9641873278236845,-1.4784946236559127,19.967266775777404,2376.3991226861926,1050.313287665977,51827.581671478205,0.016964721659997985,0.7973572649756994,64.69865542228371,-0.34697448198817177,4.229195088676674
2020-05-26,7.33,7.74,7.33,7.69,1173370,0.049113233287858105,0.1206711314,6.7905228852,3.1350389887,0.1236431059,6.215469613259672,3.2214765100671228,26.68863261943988,60247.12093838752,58548.09277687661,109646.86917680906,0.023338704338686067,0.5532264400230533,71.08894443026732,0.08936542276994877,-0.6501950585175664
2020-05-27,7.77,7.85,7.53,7.53,182450,-0.020806241872561748,0.1206711314,6.7905228852,3.1350389887,0.1236431059,5.16759776536313,2.170963364993228,16.744186046511622,57078.31492641818,56097.71206803309,89004.31235704484,0.024217792805984652,0.6135576529627534,65.42072360431004,-0.025858954264964984,4.913678618857897
2020-05-28,7.41,7.61,7.37,7.41,80910,-0.015936254980079667,0.1206711314,6.7905228852,3.1350389887,0.1236431059,6.160458452722062,0.13513513513512265,10.267857142857139,57001.147172851444,54174.64617691641,80145.28205962986,0.024882660020127442,0.8566108104602994,61.46249538020077,-0.23705758083505968,-0.13495276653171517
2020-05-29,7.39,7.61,7.35,7.51,132810,0.013495276653171295,0.1206711314,6.7905228852,3.1350389887,0.1236431059,3.872752420470249,1.8995929443690551,10.117302052785915,55549.18552418491,56130.45386922409,74722.7087995565,0.025150297859401097,0.8678671358378942,63.44725936167125,-0.07833899057073926,-5.326231691078553
