time,open,high,low,close,volume
2020-01-02,21.82,21.82,21.82,21.82,0
2020-01-03,21.82,21.82,21.82,21.82,0
2020-01-06,21.82,21.82,21.82,21.82,0
2020-01-07,21.82,21.82,21.82,21.82,0
2020-01-08,23.63,23.63,23.63,23.63,139
2020-01-09,25.96,25.96,25.96,25.96,100
2020-01-10,25.96,25.96,25.96,25.96,0
2020-01-13,28.52,28.52,27.09,27.09,1101
2020-01-14,27.09,27.09,27.09,27.09,0
2020-01-15,29.79,29.79,29.79,29.79,100
2020-01-16,29.79,29.79,29.79,29.79,0
2020-01-17,32.73,32.73,32.73,32.73,100
2020-01-20,35.96,35.96,35.96,35.96,100
2020-01-21,35.96,35.96,35.96,35.96,0
2020-01-22,39.5,39.5,39.5,39.5,100
2020-01-30,39.5,39.5,39.5,39.5,0
2020-01-31,43.41,43.41,43.41,43.41,100
2020-02-03,43.41,43.41,43.41,43.41,1
2020-02-04,43.41,43.41,43.41,43.41,0
2020-02-05,43.41,43.41,43.41,43.41,0
2020-02-06,43.41,43.41,43.41,43.41,0
2020-02-07,43.41,43.41,43.41,43.41,2
2020-02-10,39.12,39.12,39.12,39.12,2500
2020-02-11,39.12,39.12,39.12,39.12,0
2020-02-12,39.12,39.12,39.12,39.12,0
2020-02-13,39.12,39.12,39.12,39.12,0
2020-02-14,39.12,39.12,39.12,39.12,0
2020-02-17,39.12,39.12,39.12,39.12,0
2020-02-18,39.12,39.12,39.12,39.12,0
2020-02-19,39.12,39.12,39.12,39.12,0
2020-02-20,39.12,39.12,39.12,39.12,10
2020-02-21,39.12,39.12,39.12,39.12,0
2020-02-24,39.12,39.12,39.12,39.12,0
2020-02-25,37.62,37.62,37.62,37.62,10700
2020-02-26,36.87,36.87,36.87,36.87,110
2020-02-27,36.87,36.87,36.87,36.87,0
2020-02-28,36.87,36.87,36.87,36.87,0
2020-03-02,36.87,36.87,36.87,36.87,0
2020-03-03,36.87,36.87,36.87,36.87,0
2020-03-04,36.87,36.87,36.87,36.87,0
2020-03-05,36.87,36.87,36.87,36.87,0
2020-03-06,36.87,36.87,36.87,36.87,0
2020-03-09,36.87,36.87,36.87,36.87,0
2020-03-10,36.87,36.87,36.87,36.87,16
2020-03-11,36.87,36.87,36.87,36.87,0
2020-03-12,36.87,36.87,36.87,36.87,0
2020-03-13,36.87,36.87,36.87,36.87,0
2020-03-16,36.87,36.87,36.87,36.87,12
2020-03-17,36.87,36.87,36.87,36.87,1
2020-03-18,36.87,36.87,36.87,36.87,7
2020-03-19,36.87,36.87,36.87,36.87,0
2020-03-20,36.87,36.87,36.87,36.87,0
2020-03-23,36.87,36.87,36.87,36.87,0
2020-03-24,36.87,36.87,36.87,36.87,0
2020-03-25,36.87,36.87,36.87,36.87,0
2020-03-26,36.87,36.87,36.87,36.87,0
2020-03-27,36.87,36.87,36.87,36.87,0
2020-03-30,36.87,36.87,36.87,36.87,0
2020-03-31,36.87,36.87,36.87,36.87,0
2020-04-01,36.87,36.87,36.87,36.87,0
2020-04-03,36.87,36.87,36.87,36.87,0
2020-04-06,36.87,36.87,36.87,36.87,0
2020-04-07,36.87,36.87,36.87,36.87,0
2020-04-08,36.87,36.87,36.87,36.87,0
2020-04-09,36.87,36.87,36.87,36.87,1
2020-04-10,36.87,36.87,36.87,36.87,0
2020-04-13,36.87,36.87,36.87,36.87,0
2020-04-14,36.87,36.87,36.87,36.87,0
2020-04-15,36.87,36.87,36.87,36.87,0
2020-04-16,36.87,36.87,36.87,36.87,0
2020-04-17,36.87,36.87,36.87,36.87,0
2020-04-20,36.87,36.87,36.87,36.87,0
2020-04-21,36.87,36.87,36.87,36.87,0
2020-04-22,36.87,36.87,36.87,36.87,0
2020-04-23,36.87,36.87,36.87,36.87,0
2020-04-24,36.87,36.87,36.87,36.87,0
2020-04-27,36.87,36.87,36.87,36.87,0
2020-04-28,36.87,36.87,36.87,36.87,0
2020-04-29,36.87,36.87,36.87,36.87,0
2020-05-04,36.87,36.87,36.87,36.87,6
2020-05-05,36.87,36.87,36.87,36.87,0
2020-05-06,36.87,36.87,36.87,36.87,0
2020-05-07,36.87,36.87,36.87,36.87,0
2020-05-08,36.87,36.87,36.87,36.87,0
2020-05-11,36.87,36.87,36.87,36.87,6
2020-05-12,36.87,36.87,36.87,36.87,0
2020-05-13,36.87,36.87,36.87,36.87,0
2020-05-14,36.87,36.87,36.87,36.87,0
2020-05-15,36.87,36.87,36.87,36.87,0
2020-05-18,36.87,36.87,36.87,36.87,0
2020-05-19,36.87,36.87,36.87,36.87,0
2020-05-20,36.87,36.87,36.87,36.87,0
2020-05-21,36.87,36.87,36.87,36.87,0
2020-05-22,36.87,36.87,36.87,36.87,10
2020-05-25,36.87,36.87,36.87,36.87,0
2020-05-26,33.18,33.18,33.18,33.18,100
2020-05-27,30.1,30.1,30.1,30.1,100
2020-05-28,30.1,30.1,30.1,30.1,0
2020-05-29,30.1,30.1,30.1,30.1,0
2020-06-01,27.09,27.09,27.09,27.09,200
2020-06-02,27.09,27.09,24.38,24.38,2111
2020-06-03,24.38,24.38,24.38,24.38,100
2020-06-04,24.38,24.38,24.38,24.38,0
2020-06-05,22.65,22.65,22.65,22.65,6000
2020-06-08,22.65,22.65,22.65,22.65,1000
2020-06-09,24.83,24.83,24.83,24.83,327
2020-06-10,26.03,26.18,26.03,26.18,450
2020-06-11,26.18,26.18,26.18,26.18,2500
2020-06-12,26.18,26.18,26.18,26.18,0
2020-06-15,26.18,26.18,26.18,26.18,0
2020-06-16,26.18,26.18,26.18,26.18,0
2020-06-17,26.18,26.18,26.18,26.18,10
2020-06-18,26.18,26.18,26.18,26.18,0
2020-06-19,26.18,26.18,26.18,26.18,0
2020-06-22,26.03,26.03,26.03,26.03,100
2020-06-23,26.97,26.97,26.97,26.97,0
2020-06-24,26.97,26.97,26.97,26.97,0
2020-06-25,26.97,26.97,26.97,26.97,0
2020-06-26,23.46,23.46,23.46,23.46,220
2020-06-29,21.12,21.12,21.12,21.12,100
2020-06-30,21.12,21.12,21.12,21.12,100
2020-07-01,21.12,21.12,21.12,21.12,0
2020-07-02,21.12,21.12,21.12,21.12,0
2020-07-03,21.12,21.12,21.12,21.12,0
2020-07-06,21.12,21.12,21.12,21.12,10
