time,open,high,low,close,volume
2020-01-02,19.91,21.07,19.91,20.95,4920
2020-01-03,19.88,20.88,19.88,20.88,1220
2020-01-06,19.95,20.63,19.95,20.63,1450
2020-01-07,20.13,20.51,20.07,20.48,1100
2020-01-08,20.76,20.76,20.04,20.04,340
2020-01-09,20.63,20.63,20.63,20.63,10
2020-01-10,19.88,20.63,19.88,20.63,4840
2020-01-13,20.07,20.51,20.07,20.32,2600
2020-01-14,20.63,20.63,18.91,20.32,5180
2020-01-15,20.57,20.57,20.57,20.57,50
2020-01-16,20.26,20.26,19.45,20.01,25170
2020-01-17,20.32,20.32,19.13,19.6,8800
2020-01-20,20.63,20.63,19.45,19.6,2410
2020-01-21,20.01,20.63,19.6,19.98,10500
2020-01-22,20.54,20.54,19.88,20.01,1960
2020-01-30,19.7,20.01,19.57,20.01,5670
2020-01-31,19.7,19.95,19.38,19.95,1450
2020-02-03,19.95,19.95,19.7,19.7,7380
2020-02-04,20.01,20.01,19.38,19.7,270
2020-02-05,19.95,19.95,19.1,19.7,1670
2020-02-06,19.95,19.95,19.38,19.41,237600
2020-02-07,19.41,20.01,19.13,19.41,22090
2020-02-10,18.82,19.45,18.82,19.45,9270
2020-02-11,19.41,19.45,19.07,19.38,2570
2020-02-12,19.98,19.98,19.35,19.38,3160
2020-02-13,19.95,19.95,19.95,19.95,20
2020-02-14,19.95,19.95,19.85,19.95,1070
2020-02-17,19.45,19.98,19.1,19.98,140
2020-02-18,19.98,19.98,19.98,19.98,0
2020-02-19,18.76,18.85,18.76,18.76,16590
2020-02-20,18.76,19.88,18.76,19.38,1230
2020-02-21,19.88,19.88,18.76,18.76,5680
2020-02-24,19.26,19.26,18.76,19.1,530
2020-02-25,19.32,19.32,17.82,19.04,1010
2020-02-26,19.13,19.13,18.44,19.04,4520
2020-02-27,19.01,19.04,19.01,19.04,280
2020-02-28,19.04,19.04,17.85,18.01,80
2020-03-02,17.85,18.76,17.85,18.69,2190
2020-03-03,18.76,18.76,18.19,18.63,3720
2020-03-04,18.19,18.76,18.07,18.76,12780
2020-03-05,18.1,18.63,18.07,18.63,14870
2020-03-06,17.6,18.69,17.6,18.69,16200
2020-03-09,17.88,18.44,17.82,17.82,1970
2020-03-10,17.82,18.57,17.82,18.57,1660
2020-03-11,18.19,18.76,17.54,18.76,2230
2020-03-12,18.76,18.76,17.51,18.76,7550
2020-03-13,17.51,18.66,17.48,18.6,10650
2020-03-16,17.51,18.57,17.51,17.51,1940
2020-03-17,18.13,18.13,18.13,18.13,270
2020-03-18,18.13,18.13,17.51,17.51,18570
2020-03-19,18.07,18.07,16.29,17.04,24810
2020-03-20,17.01,17.01,15.85,15.85,20720
2020-03-23,14.76,15.29,14.76,15.29,35370
2020-03-24,14.26,14.69,14.26,14.69,12500
2020-03-25,14.69,15.19,14.69,15.01,8030
2020-03-26,15.1,15.94,15.1,15.94,8100
2020-03-27,15.38,15.76,15.38,15.63,23240
2020-03-30,15.35,15.63,15.13,15.35,18590
2020-03-31,15.16,15.35,14.47,14.47,74240
2020-04-01,13.82,15.32,13.82,14.54,18250
2020-04-03,14.44,15.07,14.41,15.07,25040
2020-04-06,15.63,16.1,15.63,16.1,25790
2020-04-07,16.13,16.19,16.1,16.1,26630
2020-04-08,16.1,16.13,16.1,16.13,4910
2020-04-09,16.57,16.85,16.57,16.79,8140
2020-04-10,17.19,17.19,16.88,17.13,8500
2020-04-13,16.6,17.54,16.6,17.51,16570
2020-04-14,16.38,17.51,16.38,17.32,5270
2020-04-15,17.32,17.82,17.32,17.51,22140
2020-04-16,17.51,17.51,17.19,17.19,10520
2020-04-17,16.88,17.32,16.88,17.32,22930
2020-04-20,16.32,16.94,16.32,16.88,5530
2020-04-21,16.6,16.94,16.6,16.94,3090
2020-04-22,16.01,16.94,16.01,16.94,16520
2020-04-23,16.48,16.94,16.32,16.94,22510
2020-04-24,17.51,17.51,17.44,17.44,220
2020-04-27,17.44,17.44,16.91,17.32,3070
2020-04-28,17.32,17.32,16.6,16.6,40
2020-04-29,17.1,17.1,17.1,17.1,60
2020-05-04,17.04,17.04,17.04,17.04,50
2020-05-05,16.6,18.23,16.6,17.07,2080
2020-05-06,16.88,16.88,16.57,16.76,14970
2020-05-07,16.76,17.69,16.76,17.57,130
2020-05-08,17.26,17.32,17.26,17.26,4950
2020-05-11,17.66,17.73,16.76,17.73,3160
2020-05-12,16.82,17.51,16.82,17.51,6700
2020-05-13,17.44,17.76,16.66,16.69,47730
2020-05-14,17.48,17.48,16.57,17.35,34300
2020-05-15,17.32,17.32,16.57,17.19,2040
2020-05-18,16.88,16.88,16.57,16.79,4210
2020-05-19,16.85,16.88,16.69,16.88,15020
2020-05-20,16.76,17.04,16.76,17.04,8240
2020-05-21,16.91,17.07,16.88,17.07,5660
2020-05-22,17.04,17.13,17.01,17.01,10150
2020-05-25,16.88,17.19,16.88,17.19,7110
2020-05-26,17.19,17.19,17.04,17.07,40880
2020-05-27,16.94,17.07,16.94,17.07,16400
2020-05-28,16.94,17.04,16.94,17.01,9680
2020-05-29,17.07,17.07,17.04,17.04,750
2020-06-01,17.01,17.04,16.98,16.98,14940
2020-06-02,17.04,17.04,16.98,17.01,21240
2020-06-03,17.04,17.07,17.04,17.04,15810
2020-06-04,17.04,17.07,16.88,17.07,22360
2020-06-05,16.98,17.04,16.88,16.88,26580
2020-06-08,16.88,17.13,16.88,16.98,24280
2020-06-09,16.94,17.01,16.88,17.01,4140
2020-06-10,16.91,16.98,16.91,16.98,5660
2020-06-11,16.98,17.01,16.88,16.91,7780
2020-06-12,16.76,17.16,16.26,17.16,6870
2020-06-15,17.01,17.01,16.57,16.57,4310
2020-06-16,16.41,16.85,16.41,16.57,4510
2020-06-17,16.6,16.85,16.6,16.85,17330
2020-06-18,16.51,16.82,16.51,16.63,3730
2020-06-19,16.51,16.79,16.51,16.76,21350
2020-06-22,16.85,16.85,16.6,16.85,3870
2020-06-23,16.69,16.94,16.69,16.76,19520
2020-06-24,16.76,16.88,16.6,16.88,7760
2020-06-25,16.48,16.82,16.48,16.82,2660
2020-06-26,16.57,16.88,16.57,16.88,6050
2020-06-29,16.85,16.85,15.72,16.82,6720
2020-06-30,16.88,16.88,16.76,16.76,1300
2020-07-01,16.76,16.88,16.76,16.88,15000
2020-07-02,16.76,16.88,16.76,16.76,17770
2020-07-03,16.63,16.88,16.63,16.88,12120
2020-07-06,16.88,16.88,16.82,16.88,19130
2020-07-07,16.88,16.94,16.82,16.82,27720
2020-07-08,16.82,16.88,16.76,16.88,12640
2020-07-09,16.88,17.13,16.88,16.91,3380
2020-07-10,16.94,17.07,16.91,16.91,23920
2020-07-13,17.41,17.44,17.04,17.41,19490
2020-07-14,18.38,18.38,17.51,17.6,36730
2020-07-15,17.63,18.04,17.6,18.04,35620
2020-07-16,18.19,18.23,17.73,17.88,14150
2020-07-17,18.01,18.01,17.57,17.69,16630
2020-07-20,17.69,17.85,17.69,17.82,18330
2020-07-21,17.88,17.88,17.69,17.85,26810
2020-07-22,17.85,17.85,17.76,17.76,29900
2020-07-23,17.76,17.82,17.49,17.76,2160
2020-07-24,17.76,17.89,17.22,17.49,6450
2020-07-27,16.88,16.88,16.28,16.28,20810
2020-07-28,16.28,17.29,16.21,17.29,17910
2020-07-29,17.15,17.15,16.48,16.81,1930
2020-07-30,16.81,17.22,16.81,17.15,8580
2020-07-31,17.12,17.15,16.85,16.85,4200
2020-08-03,17.39,17.39,17.15,17.15,5520
2020-08-04,17.35,17.35,17.22,17.22,2210
2020-08-05,16.92,17.29,16.92,17.29,22640
2020-08-06,17.35,17.35,17.15,17.22,3850
2020-08-07,17.22,17.92,17.22,17.55,34330
2020-08-10,17.62,17.82,17.62,17.69,7900
2020-08-11,18.16,18.16,17.72,17.72,1210
2020-08-12,17.89,17.89,17.59,17.59,560
2020-08-13,17.82,17.82,17.66,17.82,8200
2020-08-14,18.03,18.03,17.76,17.96,8560
2020-08-17,18.13,18.13,17.96,18.06,12880
2020-08-18,18.06,18.29,17.92,17.92,1050
2020-08-19,18.09,18.16,18.03,18.03,4030
2020-08-20,18.03,18.16,18.03,18.16,7480
2020-08-21,18.09,18.16,18.09,18.16,43040
2020-08-24,18.16,18.33,18.16,18.16,10130
2020-08-25,18.16,18.19,18.09,18.16,13000
2020-08-26,18.16,18.5,18.16,18.5,2810
2020-08-27,18.5,18.5,18.5,18.5,0
2020-08-28,18.5,18.63,18.5,18.56,9440
2020-08-31,18.29,18.29,18.23,18.23,17130
2020-09-01,18.23,18.66,18.03,18.36,4810
2020-09-03,18.36,18.56,18.36,18.56,4820
2020-09-04,18.36,18.5,18.36,18.5,6940
2020-09-07,18.5,18.56,18.5,18.5,2920
2020-09-08,18.19,18.7,18.19,18.7,4730
