time,open,high,low,close,volume
2020-01-02,28.08,28.08,26.93,27.68,24330
2020-01-03,27.68,27.83,27.13,27.83,41500
2020-01-06,27.18,27.83,27.18,27.38,41840
2020-01-07,27.43,27.43,27.13,27.43,47450
2020-01-08,27.08,27.43,26.58,27.18,60980
2020-01-09,26.93,27.38,26.93,27.28,33970
2020-01-10,26.68,27.08,26.68,26.78,53580
2020-01-13,26.43,26.93,26.43,26.78,46900
2020-01-14,26.38,27.38,26.38,26.73,36260
2020-01-15,27.18,27.18,26.58,26.68,33840
2020-01-16,26.63,26.88,26.58,26.63,73930
2020-01-17,26.18,26.88,26.18,26.58,15350
2020-01-20,27.43,27.43,26.58,26.88,59740
2020-01-21,26.58,27.13,26.58,27.13,33510
2020-01-22,26.93,27.43,26.93,27.43,32900
2020-01-30,27.43,28.18,27.18,27.68,45910
2020-01-31,27.88,29.38,27.68,28.93,180020
2020-02-03,29.88,29.88,27.98,28.43,92420
2020-02-04,28.43,28.43,27.23,27.23,37460
2020-02-05,27.23,27.23,26.83,27.23,62040
2020-02-06,26.93,27.43,26.68,27.43,32890
2020-02-07,26.93,27.63,26.93,27.28,25450
2020-02-10,27.18,27.33,26.93,27.33,38000
2020-02-11,27.03,27.18,26.78,27.13,31030
2020-02-12,27.28,27.33,26.78,27.13,44560
2020-02-13,26.93,26.93,26.48,26.83,20410
2020-02-14,26.58,26.58,26.33,26.43,151220
2020-02-17,26.43,26.48,24.59,24.89,310240
2020-02-18,24.84,25.04,23.44,24.44,92310
2020-02-19,24.91,24.91,23.94,24.41,70670
2020-02-20,23.99,26.03,23.94,26.03,54500
2020-02-21,25.94,25.94,24.34,24.44,59620
2020-02-24,23.94,24.44,22.74,22.74,200170
2020-02-25,22.74,23.69,22.69,23.14,59430
2020-02-26,23.14,24.09,22.94,23.94,193500
2020-02-27,24.24,24.24,23.72,24.09,144600
2020-02-28,24.19,24.19,23.44,24.09,119340
2020-03-02,24.44,24.44,23.44,23.94,27620
2020-03-03,24.44,24.44,23.69,23.69,18750
2020-03-04,23.69,23.74,23.44,23.54,21720
2020-03-05,23.79,23.94,23.44,23.84,55820
2020-03-06,23.59,23.84,23.29,23.84,72580
2020-03-09,23.44,23.79,22.19,23.34,191380
2020-03-10,23.19,23.44,23.19,23.44,60780
2020-03-11,22.94,23.44,22.24,23.44,137600
2020-03-12,22.49,23.19,22.24,22.89,107180
2020-03-13,22.59,22.94,21.9,22.94,129330
2020-03-16,22.44,22.94,22.19,22.89,54850
2020-03-17,21.75,22.84,21.75,22.84,67320
2020-03-18,22.44,23.04,22.34,22.89,79460
2020-03-19,22.44,22.94,22.44,22.84,30260
2020-03-20,22.89,23.34,22.49,23.34,71590
2020-03-23,22.78,23.7,22.78,23.7,148130
2020-03-24,23.45,23.96,23.45,23.96,79830
2020-03-25,25.25,25.25,23.96,25.15,110820
