time,open,high,low,close,volume
2020-01-02,15.36,15.36,14.96,15.11,9900
2020-01-03,15.02,15.11,14.93,15.11,9640
2020-01-06,15.46,15.46,14.96,14.99,4500
2020-01-07,15.21,15.21,14.83,14.96,8000
2020-01-08,15.15,15.15,14.96,14.99,6200
2020-01-09,15.33,15.33,14.96,15.24,4224
2020-01-10,15.11,15.11,15.05,15.05,4520
2020-01-13,15.52,15.52,15.11,15.11,300
2020-01-14,15.05,15.15,14.87,14.87,5924
2020-01-15,14.8,14.96,14.8,14.96,4461
2020-01-16,14.9,14.96,14.9,14.96,1200
2020-01-17,14.96,14.96,14.68,14.96,3350
2020-01-20,14.9,15.27,14.68,14.8,6800
2020-01-21,14.96,15.24,14.8,14.96,11830
2020-01-22,14.96,15.05,14.93,14.96,7800
2020-01-30,15.02,15.55,14.96,15.18,10055
2020-01-31,15.18,16.67,15.18,16.67,139294
2020-02-03,17.45,18.32,17.42,18.32,229091
2020-02-04,18.98,19.01,16.52,16.52,56584
2020-02-05,16.52,16.52,15.15,15.36,44389
2020-02-06,15.36,15.43,14.71,14.83,97681
2020-02-07,15.3,15.3,14.9,14.99,29489
2020-02-10,15.02,15.55,15.02,15.33,45135
2020-02-11,15.27,15.58,14.96,15.11,24290
2020-02-12,15.15,15.27,14.8,14.96,32098
2020-02-13,14.8,15.02,14.8,14.83,20846
2020-02-14,15.21,15.21,14.8,14.87,17950
2020-02-17,15.08,15.08,14.8,14.8,8088
2020-02-18,14.83,14.96,14.71,14.8,23445
2020-02-19,14.87,14.87,14.74,14.8,39111
2020-02-20,14.96,15.08,14.71,14.71,21800
2020-02-21,15.05,15.05,14.74,14.77,15685
2020-02-24,14.8,15.11,14.8,14.96,44105
2020-02-25,14.96,15.11,14.77,14.77,17000
2020-02-26,14.83,14.87,14.55,14.59,32240
2020-02-27,14.59,14.62,14.3,14.34,47920
2020-02-28,15.05,15.05,14.4,14.62,17355
2020-03-02,14.93,14.93,14.59,14.65,13100
2020-03-03,14.9,15.02,14.77,14.96,24159
2020-03-04,14.96,15.02,14.74,14.96,14100
2020-03-05,16.46,16.46,14.8,15.02,8400
2020-03-06,15.02,15.55,14.96,15.08,4110
2020-03-09,15.58,15.58,14.62,14.87,19340
2020-03-10,15.58,15.58,14.55,14.77,5060
2020-03-11,14.83,14.87,14.46,14.77,52500
2020-03-12,15.58,15.58,14.18,14.34,34580
2020-03-13,15.77,15.77,14.02,14.34,18379
2020-03-16,14.43,14.49,14.18,14.34,26610
2020-03-17,14.34,14.4,14.09,14.37,19100
2020-03-18,14.34,14.43,14.18,14.4,20410
2020-03-19,14.18,14.34,13.09,14.34,22897
2020-03-20,14.96,14.96,13.71,14.3,30800
2020-03-23,14.02,14.02,12.93,13.71,28992
2020-03-24,13.4,13.84,13.4,13.71,8370
2020-03-25,15.08,15.08,13.71,13.93,3144
2020-03-26,15.24,15.24,13.71,13.96,3020
2020-03-27,13.96,13.96,13.25,13.25,4050
2020-03-30,13.65,13.87,13.28,13.71,4910
2020-03-31,13.87,13.87,12.47,13.71,16926
2020-04-01,13.71,13.9,13.68,13.71,1789
2020-04-03,13.87,13.9,13.25,13.77,2111
2020-04-06,13.96,14.74,13.4,14.18,31001
2020-04-07,14.62,14.8,13.74,14.27,20370
2020-04-08,14.8,14.8,13.71,14.34,21500
2020-04-09,14.43,14.55,14.37,14.55,9950
2020-04-10,14.55,14.65,14.34,14.55,5760
2020-04-13,14.18,14.65,14.18,14.65,15710
2020-04-14,14.65,14.65,14.34,14.52,7350
2020-04-15,14.65,15.15,14.52,15.11,44054
2020-04-16,16.52,16.52,14.77,14.96,18130
2020-04-17,14.99,15.36,14.74,15.36,23642
2020-04-20,15.4,16.14,15.36,15.89,119155
2020-04-21,16.05,16.21,14.96,15.11,34421
2020-04-22,15.27,15.27,14.8,15.18,57009
2020-04-23,15.27,15.52,15.21,15.3,16630
2020-04-24,15.43,15.43,15.17,15.27,17601
2020-04-27,16.41,16.8,14.49,14.88,20110
2020-04-28,14.78,15.11,14.29,14.88,35724
2020-04-29,15.24,15.27,14.78,15.01,33200
2020-05-04,15.43,15.43,14.78,14.98,7700
