time,open,high,low,close,volume
2020-01-02,17.12,17.71,17.05,17.71,616620
2020-01-03,17.78,17.93,17.34,17.34,316560
2020-01-06,17.49,17.89,17.19,17.82,789060
2020-01-07,17.93,18.59,17.78,18.33,1220030
2020-01-08,18.22,18.41,17.74,17.85,767410
2020-01-09,18.33,18.66,18.19,18.52,1004770
2020-01-10,18.52,18.88,18.15,18.37,800060
2020-01-13,18.37,18.59,18.04,18.15,406620
2020-01-14,18.11,18.85,18.11,18.3,621030
2020-01-15,18.3,18.59,18.22,18.22,417530
2020-01-16,18.33,19.32,18.26,19.29,1276220
2020-01-17,19.29,19.4,18.81,19.07,746440
2020-01-20,19.18,19.18,18.7,18.7,466920
2020-01-21,18.74,19.1,18.59,19.1,459280
2020-01-22,18.81,19.65,18.81,19.14,469760
2020-01-30,18.63,18.96,18.0,18.15,737980
2020-01-31,18.0,18.37,16.9,16.9,854650
2020-02-03,16.38,17.16,15.98,16.83,1189140
2020-02-04,16.83,17.19,16.53,16.53,487330
2020-02-05,16.9,17.12,16.68,16.72,461550
2020-02-06,16.9,17.49,16.83,17.49,432960
2020-02-07,17.63,17.63,17.23,17.34,366340
2020-02-10,16.9,17.27,16.83,16.97,231320
2020-02-11,16.97,17.41,16.97,17.16,269180
2020-02-12,17.34,17.85,17.19,17.56,498190
2020-02-13,17.56,17.85,17.45,17.45,272010
2020-02-14,17.41,17.67,17.16,17.49,287530
2020-02-17,17.49,17.49,16.94,16.94,527690
2020-02-18,16.94,17.19,16.94,17.12,355850
2020-02-19,17.12,17.6,16.97,17.45,444270
2020-02-20,17.45,17.63,17.01,17.41,349110
2020-02-21,17.41,17.41,17.12,17.12,215010
2020-02-24,16.75,16.86,16.42,16.46,895970
2020-02-25,16.38,16.75,16.38,16.75,237350
2020-02-26,16.53,16.72,16.46,16.64,222040
2020-02-27,16.61,17.12,16.53,17.12,303350
2020-02-28,16.5,16.9,16.38,16.5,329010
2020-03-02,16.42,16.57,16.24,16.27,265100
2020-03-03,16.68,16.68,16.27,16.35,154490
2020-03-04,16.27,16.35,16.09,16.16,312680
2020-03-05,16.27,16.46,16.2,16.27,198440
2020-03-06,16.16,16.46,16.09,16.46,202070
2020-03-09,15.36,16.09,15.32,15.32,1154240
2020-03-10,14.69,15.65,14.69,15.43,446900
2020-03-11,15.69,15.69,14.36,14.47,509700
2020-03-12,13.59,13.85,13.48,13.52,872680
2020-03-13,12.71,13.7,12.71,13.12,570520
2020-03-16,12.97,13.74,12.97,13.34,567370
2020-03-17,13.23,13.67,12.97,13.67,274820
2020-03-18,13.67,13.81,13.23,13.45,286810
2020-03-19,13.23,13.34,12.93,13.04,299220
2020-03-20,13.23,13.41,13.01,13.23,420520
2020-03-23,12.82,12.86,12.31,12.31,501740
2020-03-24,12.31,12.45,11.9,12.31,273530
2020-03-25,12.67,12.78,12.53,12.71,305600
2020-03-26,12.71,12.71,12.16,12.2,338030
2020-03-27,12.34,12.42,12.12,12.2,203570
2020-03-30,11.9,11.9,11.35,11.35,509100
2020-03-31,11.76,11.76,10.69,10.69,403580
2020-04-01,10.69,11.2,10.69,10.95,184560
2020-04-03,11.02,11.39,11.02,11.39,505810
2020-04-06,11.39,12.16,11.39,12.16,454460
2020-04-07,12.42,12.49,12.12,12.27,352190
2020-04-08,12.12,12.12,11.65,11.94,383420
2020-04-09,12.12,12.75,12.01,12.75,564670
2020-04-10,12.78,12.78,12.42,12.71,385770
2020-04-13,12.71,12.86,12.42,12.56,219710
2020-04-14,12.56,12.78,12.2,12.56,445170
2020-04-15,12.56,13.37,12.49,13.19,565230
2020-04-16,13.15,13.67,13.12,13.59,471140
2020-04-17,13.74,13.81,13.37,13.63,527970
2020-04-20,13.63,14.29,13.63,13.92,1066950
2020-04-21,13.37,13.92,12.97,12.97,1168550
2020-04-22,12.97,13.7,12.97,13.67,628870
2020-04-23,14.11,14.25,13.74,14.03,1026840
2020-04-24,13.81,14.0,13.7,13.85,631080
2020-04-27,13.96,14.03,13.52,13.63,584390
2020-04-28,13.63,13.63,13.26,13.56,530050
2020-04-29,13.41,14.22,13.41,14.14,1050510
2020-05-04,13.96,14.99,13.81,14.55,1257370
2020-05-05,14.55,14.66,13.96,14.47,430680
2020-05-06,14.55,14.99,14.4,14.69,901360
2020-05-07,14.51,14.88,14.47,14.66,939800
2020-05-08,14.66,14.66,14.18,14.25,1802400
2020-05-11,14.36,14.58,14.14,14.55,596190
2020-05-12,14.55,14.88,14.4,14.77,576880
2020-05-13,14.55,14.81,14.44,14.47,885270
2020-05-14,14.33,14.44,14.18,14.25,616150
2020-05-15,14.25,14.47,13.92,13.92,631940
2020-05-18,13.89,13.92,13.63,13.89,490960
2020-05-19,14.03,14.14,13.89,13.96,565710
2020-05-20,14.03,14.07,13.81,13.92,207580
2020-05-21,13.96,14.29,13.89,14.11,491030
2020-05-22,14.11,14.14,13.85,13.89,503130
2020-05-25,14.07,14.25,13.81,14.25,706890
2020-05-26,14.4,15.21,14.4,15.21,1946620
2020-05-27,15.25,15.28,14.77,14.77,716030
2020-05-28,14.77,14.99,14.51,14.62,520500
2020-05-29,14.58,14.58,14.36,14.51,742080
2020-06-01,14.58,14.95,14.55,14.81,463680
2020-06-02,15.03,15.03,14.47,14.47,668710
2020-06-03,14.47,14.66,14.47,14.55,287830
2020-06-04,14.55,14.62,14.4,14.4,436820
2020-06-05,14.4,14.55,14.33,14.51,414300
2020-06-08,14.66,14.95,14.51,14.66,997750
2020-06-09,14.66,15.03,14.58,14.84,1223720
2020-06-10,14.84,15.43,14.62,15.36,1592850
2020-06-11,15.36,15.72,14.69,14.69,1402310
2020-06-12,13.96,14.47,13.96,14.33,751580
2020-06-15,14.33,14.69,13.37,13.52,1211440
2020-06-16,13.67,13.96,13.63,13.92,532880
2020-06-17,14.03,14.03,13.81,14.0,287520
2020-06-18,13.81,14.33,13.78,14.29,186040
2020-06-19,14.29,14.29,14.07,14.22,124810
2020-06-22,14.66,14.69,14.18,14.66,778320
2020-06-23,14.55,14.84,14.33,14.55,473250
2020-06-24,14.36,14.62,14.29,14.33,198470
2020-06-25,14.11,14.47,14.11,14.25,646830
2020-06-26,14.33,14.47,14.14,14.18,224400
2020-06-29,14.07,14.11,13.59,13.63,431650
2020-06-30,13.67,13.89,13.01,13.08,605100
2020-07-01,13.23,13.67,13.15,13.45,307650
2020-07-02,13.45,13.7,13.45,13.48,175960
2020-07-03,13.52,13.78,13.52,13.63,190580
2020-07-06,13.81,13.81,13.45,13.63,245610
2020-07-07,13.67,13.85,13.63,13.67,341820
2020-07-08,13.67,13.92,13.67,13.85,154400
2020-07-09,13.96,14.03,13.7,13.78,420970
2020-07-10,13.89,14.03,13.78,13.92,461380
2020-07-13,13.92,14.03,13.78,13.81,272430
2020-07-14,13.92,14.0,13.74,13.96,235430
2020-07-15,13.96,14.07,13.89,13.96,274350
2020-07-16,14.19,14.35,13.57,13.73,1234310
2020-07-17,13.73,14.04,13.73,13.92,194930
2020-07-20,14.0,14.0,13.8,13.84,174330
2020-07-21,13.8,13.84,13.53,13.53,383060
2020-07-22,13.53,13.61,13.42,13.42,317950
2020-07-23,13.38,13.42,13.07,13.15,520100
2020-07-24,13.07,13.15,12.41,12.49,752170
2020-07-27,11.87,12.1,11.63,11.63,1015450
2020-07-28,11.63,12.14,11.63,12.1,376210
2020-07-29,12.02,12.02,11.4,11.63,402550
2020-07-30,11.71,11.9,11.71,11.83,283940
2020-07-31,11.79,11.79,11.63,11.71,169250
2020-08-03,11.79,12.1,11.63,12.1,463880
2020-08-04,12.33,12.49,12.18,12.25,461110
2020-08-05,12.18,12.52,12.14,12.52,408730
2020-08-06,12.41,12.6,12.33,12.37,195470
2020-08-07,12.37,12.37,12.1,12.21,472200
2020-08-10,12.25,12.72,12.25,12.64,359080
2020-08-11,12.64,12.76,12.6,12.68,339130
2020-08-12,12.68,12.99,12.64,12.99,427840
2020-08-13,12.95,13.15,12.8,12.95,309500
2020-08-14,12.95,12.95,12.49,12.52,765610
2020-08-17,12.52,12.68,12.41,12.68,280760
2020-08-18,12.68,13.07,12.68,12.99,617130
2020-08-19,12.91,12.99,12.87,12.95,358000
2020-08-20,12.91,13.03,12.8,12.8,277490
2020-08-21,12.91,12.91,12.76,12.84,367620
2020-08-24,13.03,13.15,12.91,12.99,448230
2020-08-25,13.11,13.49,13.11,13.42,1190510
2020-08-26,13.38,13.57,13.3,13.3,429030
2020-08-27,13.3,13.38,13.22,13.34,291690
2020-08-28,13.34,13.49,13.22,13.34,726750
2020-08-31,13.34,13.42,13.11,13.18,519550
2020-09-01,13.18,13.61,13.15,13.61,796280
2020-09-03,13.69,13.92,13.65,13.65,692910
2020-09-04,13.42,13.57,13.34,13.53,322220
2020-09-07,13.65,13.77,13.46,13.46,618680
2020-09-08,13.49,13.73,13.46,13.65,681830
2020-09-09,13.57,14.19,13.49,14.19,1775540
2020-09-10,14.27,14.54,14.27,14.39,921380
2020-09-11,14.43,14.5,14.27,14.39,439440
2020-09-14,14.39,14.54,14.35,14.35,1032840
2020-09-15,14.46,14.97,14.46,14.74,1879560
2020-09-16,14.81,14.97,14.62,14.93,770140
2020-09-17,14.93,15.51,14.93,15.16,1314200
2020-09-18,15.16,15.36,15.01,15.2,593430
2020-09-21,15.2,15.28,15.01,15.05,1033250
2020-09-22,14.89,15.05,14.81,14.81,998710
2020-09-23,14.85,15.12,14.85,14.89,376400
2020-09-24,14.89,15.2,14.81,14.97,792190
2020-09-25,15.01,15.05,14.77,14.85,752440
2020-09-28,14.93,15.08,14.81,15.01,553650
2020-09-29,15.59,15.9,15.2,15.2,2861280
2020-09-30,15.28,16.25,15.2,16.25,3253920
2020-10-01,16.29,16.56,16.17,16.33,850440
2020-10-02,16.44,16.44,15.51,15.98,1682350
2020-10-05,15.9,16.6,15.9,16.17,1293770
2020-10-06,16.36,16.44,15.98,15.98,1448890
2020-10-07,15.9,16.13,15.67,15.7,953180
2020-10-08,15.7,15.86,15.43,15.51,1289900
2020-10-09,15.51,15.67,15.28,15.51,768630
2020-10-12,15.82,15.82,15.28,15.28,999590
2020-10-13,15.36,15.39,15.2,15.28,595380
2020-10-14,15.32,15.32,14.97,15.01,1373620
2020-10-15,14.93,15.2,14.93,15.08,774620
2020-10-16,15.08,15.63,15.01,15.28,701780
2020-10-19,15.36,15.82,15.24,15.67,957430
2020-10-20,15.67,15.98,15.59,15.74,978000
2020-10-21,15.63,15.82,15.43,15.47,639420
2020-10-22,15.36,15.47,15.12,15.47,668220
2020-10-23,15.47,15.51,15.32,15.32,363470
2020-10-26,15.43,15.74,15.24,15.43,1422380
2020-10-27,15.59,15.67,14.93,15.05,1220590
2020-10-28,15.05,15.16,14.54,14.58,1015260
2020-10-29,14.39,14.58,13.84,14.58,1047070
2020-10-30,14.58,14.74,14.31,14.54,612030
2020-11-02,14.54,14.74,14.35,14.5,478150
2020-11-03,14.81,14.81,14.58,14.74,486540
2020-11-04,14.97,15.32,14.81,15.28,665920
2020-11-05,15.2,15.32,14.97,15.2,611130
2020-11-06,15.05,15.12,14.74,15.01,487440
2020-11-09,15.01,15.67,14.97,15.67,1819060
2020-11-10,15.9,15.94,15.63,15.67,781950
2020-11-11,15.67,15.9,15.63,15.82,708210
2020-11-12,15.82,15.86,15.63,15.78,569830
2020-11-13,15.78,16.25,15.78,15.94,2293060
2020-11-16,16.05,16.05,15.59,15.63,947880
2020-11-17,15.59,15.86,15.59,15.86,689690
2020-11-18,15.94,15.98,15.7,15.94,915860
2020-11-19,16.05,16.44,16.05,16.21,2484680
2020-11-20,16.44,16.44,16.05,16.17,599750
2020-11-23,16.29,16.45,16.05,16.21,740160
2020-11-24,16.21,16.29,15.85,16.09,1429340
2020-11-25,16.09,16.49,16.09,16.37,1542880
2020-11-26,16.41,16.93,16.41,16.77,1876940
2020-11-27,16.85,16.93,16.69,16.81,677270
2020-11-30,16.81,16.85,16.49,16.53,728570
2020-12-01,16.13,16.49,16.13,16.41,1380170
2020-12-02,16.45,16.73,16.41,16.65,1122910
2020-12-03,16.77,17.24,16.73,17.08,1694790
2020-12-04,17.12,17.2,16.81,16.85,1096820
2020-12-07,16.85,17.08,16.69,16.69,1077940
2020-12-08,16.89,16.93,16.53,16.65,1941170
2020-12-09,16.69,17.16,16.69,16.81,2283810
2020-12-10,16.81,17.04,16.77,16.77,1638930
2020-12-11,16.85,17.4,16.85,17.28,1920860
2020-12-14,17.36,17.96,17.32,17.8,1440340
2020-12-15,17.92,17.92,17.44,17.64,1887860
2020-12-16,17.56,17.72,17.32,17.56,1579150
2020-12-17,17.32,17.96,17.32,17.6,1314440
2020-12-18,17.8,17.8,17.56,17.68,1044750
2020-12-21,17.68,18.51,17.68,18.16,2074720
2020-12-22,18.12,18.4,17.8,18.24,1062720
2020-12-23,18.28,18.36,17.92,17.92,1131920
2020-12-24,18.04,18.04,16.93,17.44,1346000
2020-12-25,17.44,17.8,17.16,17.72,1000770
2020-12-28,18.04,18.04,17.52,17.72,957370
2020-12-29,17.8,18.28,17.72,18.04,1489420
2020-12-30,18.04,18.67,17.88,18.2,1059300
2020-12-31,18.2,18.44,18.12,18.24,506150
2021-01-04,18.44,18.67,18.2,18.28,1379200
2021-01-05,18.28,18.28,18.08,18.24,1314700
2021-01-06,18.63,18.63,18.08,18.12,931600
2021-01-07,18.12,18.28,18.0,18.04,856600
2021-01-08,18.36,18.55,18.2,18.44,1667500
2021-01-11,18.51,19.71,18.51,19.71,2345100
2021-01-12,20.1,20.66,19.87,20.26,1747600
2021-01-13,20.1,20.5,19.79,19.94,1490100
2021-01-14,19.79,19.98,19.39,19.94,1417700
2021-01-15,19.98,20.14,19.71,19.71,938600
2021-01-18,20.02,20.34,19.94,20.06,1566700
2021-01-19,20.1,20.26,18.67,18.79,1547900
2021-01-20,19.07,19.15,17.64,18.75,930000
2021-01-21,19.23,19.47,18.99,19.43,996200
2021-01-22,19.63,20.78,19.55,20.78,4101500
2021-01-25,21.26,22.21,21.26,22.21,3867000
2021-01-26,22.57,23.52,21.61,22.81,3677800
2021-01-27,22.25,22.65,21.22,21.93,2298300
2021-01-28,20.5,21.22,20.42,20.42,3133600
2021-01-29,19.94,21.45,19.39,20.66,2625800
2021-02-01,20.66,21.22,19.23,19.23,3684500
2021-02-02,19.23,20.26,18.67,20.02,1853300
2021-02-03,20.58,21.02,20.02,20.66,1823200
2021-02-04,20.58,21.85,20.26,21.45,2990000
2021-02-05,21.81,22.41,21.53,21.85,1732100
2021-02-08,21.85,22.09,20.38,21.3,2039600
2021-02-09,21.06,21.38,20.5,21.1,1772200
2021-02-17,21.22,21.81,21.14,21.73,1612900
2021-02-18,21.77,22.92,21.49,22.77,3362700
2021-02-19,22.41,23.24,22.33,22.77,2541000
2021-02-22,22.73,23.04,22.25,22.61,1619600
2021-02-23,22.57,22.85,22.25,22.53,2089200
2021-02-24,22.73,23.36,22.09,22.41,2467500
2021-02-25,22.41,22.73,21.73,22.17,2048000
2021-02-26,21.85,22.09,21.73,22.01,1948000
