time,open,high,low,close,volume
2020-01-02,9.3,9.41,9.26,9.32,654880
2020-01-03,9.37,9.43,9.19,9.19,630820
2020-01-06,9.15,9.17,9.0,9.04,1065060
2020-01-07,9.06,9.15,9.0,9.11,470270
2020-01-08,9.04,9.04,8.76,8.91,1126900
2020-01-09,9.0,9.04,8.89,9.0,569210
2020-01-10,9.0,9.19,8.93,9.11,1298430
2020-01-13,9.13,9.32,9.11,9.3,1409220
2020-01-14,9.26,9.35,9.24,9.3,539270
2020-01-15,9.3,9.32,9.17,9.17,566550
2020-01-16,9.26,9.48,9.17,9.48,1613670
2020-01-17,9.48,9.58,9.37,9.37,693850
2020-01-20,9.3,9.39,9.3,9.37,369830
2020-01-21,9.35,9.63,9.32,9.52,899530
2020-01-22,9.54,9.63,9.48,9.63,809310
2020-01-30,9.41,9.41,8.96,8.96,3212570
2020-01-31,8.8,9.02,8.35,8.35,2066250
2020-02-03,7.81,8.33,7.78,8.09,1599650
2020-02-04,8.24,8.24,7.81,7.83,1047760
2020-02-05,8.02,8.11,7.85,7.94,1540270
2020-02-06,8.04,8.3,8.0,8.2,1827860
2020-02-07,8.2,8.39,8.09,8.15,1583730
2020-02-10,7.98,8.11,7.89,7.96,1016710
2020-02-11,8.02,8.04,7.94,8.0,1244840
2020-02-12,8.07,8.33,8.04,8.22,1461010
2020-02-13,8.2,8.22,8.07,8.13,847930
2020-02-14,8.13,8.33,8.09,8.33,1669180
2020-02-17,8.33,8.61,8.24,8.24,1457530
2020-02-18,8.35,8.41,8.17,8.22,1220280
2020-02-19,8.2,8.26,8.15,8.17,869070
2020-02-20,8.3,8.37,8.15,8.2,1521590
2020-02-21,8.2,8.35,8.15,8.17,888380
2020-02-24,7.94,7.98,7.61,7.61,2619500
2020-02-25,7.26,7.68,7.26,7.63,1288010
2020-02-26,7.33,7.61,7.33,7.42,891910
2020-02-27,7.42,7.72,7.42,7.72,886890
2020-02-28,7.46,7.59,7.37,7.44,990930
2020-03-02,7.55,7.63,7.46,7.46,1198060
2020-03-03,7.63,7.63,7.5,7.5,1035920
2020-03-04,7.42,7.74,7.42,7.7,1404620
2020-03-05,7.72,8.07,7.72,7.87,1648110
2020-03-06,7.81,7.96,7.68,7.87,764600
2020-03-09,7.33,7.42,7.33,7.33,1248740
2020-03-10,7.03,7.31,6.83,7.07,1576420
2020-03-11,7.18,7.2,6.59,6.59,1583400
2020-03-12,6.18,6.2,6.14,6.14,1792810
2020-03-13,5.72,6.14,5.72,6.07,1921230
2020-03-16,5.9,6.11,5.66,5.7,1060990
2020-03-17,5.46,6.09,5.44,6.09,1381030
2020-03-18,6.2,6.29,5.96,5.98,1195960
2020-03-19,5.77,6.29,5.77,6.05,1586780
2020-03-20,6.2,6.22,6.03,6.05,1791480
2020-03-23,5.77,5.85,5.64,5.64,1029330
2020-03-24,5.72,5.81,5.42,5.44,1872520
2020-03-25,5.68,5.81,5.49,5.79,1778260
2020-03-26,5.64,5.79,5.51,5.51,1642900
2020-03-27,5.55,5.55,5.33,5.36,1477790
2020-03-30,5.03,5.16,4.99,4.99,1729030
2020-03-31,5.14,5.2,4.68,4.84,1326110
2020-04-01,4.9,5.16,4.86,5.16,1466530
2020-04-03,5.51,5.51,5.38,5.51,1646440
2020-04-06,5.81,5.88,5.75,5.88,1861080
2020-04-07,6.24,6.27,5.94,6.24,5721480
2020-04-08,6.07,6.57,5.98,6.57,2609070
2020-04-09,6.51,6.87,6.51,6.68,2295490
2020-04-10,6.55,6.72,6.4,6.7,2697120
2020-04-13,6.64,6.77,6.55,6.72,2063380
2020-04-14,6.72,6.9,6.53,6.9,1792950
2020-04-15,6.94,7.2,6.94,7.11,1736130
2020-04-16,7.0,7.31,6.94,7.13,1526390
2020-04-17,7.29,7.46,7.2,7.29,2730130
2020-04-20,7.42,7.42,6.98,7.13,2668660
2020-04-21,7.07,7.16,6.66,6.81,2396620
2020-04-22,6.59,7.26,6.53,7.26,2276520
2020-04-23,7.5,7.55,7.26,7.33,1890290
2020-04-24,7.29,7.46,7.18,7.44,1855260
2020-04-27,7.52,7.55,7.33,7.37,1103270
2020-04-28,7.37,7.37,7.2,7.29,933630
2020-04-29,7.29,7.31,7.09,7.16,1808300
2020-05-04,7.03,7.03,6.72,6.72,2091820
2020-05-05,6.85,7.11,6.72,6.9,1106130
2020-05-06,6.98,7.11,6.94,7.11,1493960
2020-05-07,7.07,7.35,7.03,7.33,1966780
2020-05-08,7.37,7.76,7.35,7.48,4270560
2020-05-11,7.65,7.91,7.55,7.89,3185780
2020-05-12,7.85,7.96,7.68,7.85,2317490
2020-05-13,7.72,7.98,7.61,7.81,3081060
2020-05-14,7.72,8.33,7.63,8.04,3674570
2020-05-15,8.07,8.22,7.91,7.98,2433850
2020-05-18,7.89,8.13,7.85,8.11,1832790
2020-05-19,8.33,8.39,8.09,8.11,2867180
2020-05-20,8.07,8.15,7.96,8.02,2395000
2020-05-21,8.09,8.11,7.98,8.02,1771400
2020-05-22,7.98,8.3,7.96,8.02,2920160
2020-05-25,8.04,8.24,8.02,8.24,2273240
2020-05-26,8.35,8.65,8.26,8.61,4065930
2020-05-27,8.65,8.67,8.11,8.15,4015960
2020-05-28,8.22,8.3,8.11,8.2,2219910
2020-05-29,8.13,8.22,8.09,8.15,1708650
2020-06-01,8.24,8.46,8.2,8.46,1595610
2020-06-02,8.59,8.59,8.22,8.26,2017890
2020-06-03,8.35,8.39,8.22,8.35,1098170
2020-06-04,8.52,8.78,8.5,8.54,5172520
2020-06-05,6.11,8.76,8.48,8.67,2859450
2020-06-08,8.93,9.06,8.8,9.0,3135420
2020-06-09,9.06,9.09,8.89,8.98,2486940
2020-06-10,8.89,9.06,8.74,8.96,2715300
2020-06-11,8.93,9.02,8.35,8.35,4995600
2020-06-12,7.89,8.35,7.85,8.35,3271120
2020-06-15,8.39,8.41,7.78,7.78,4474570
2020-06-16,8.02,8.17,7.91,8.13,2267080
2020-06-17,8.15,8.24,7.96,8.13,1528300
2020-06-18,8.02,8.13,7.94,8.04,1217300
2020-06-19,8.07,8.43,8.04,8.41,2400720
2020-06-22,8.41,8.48,8.3,8.41,1844190
2020-06-23,8.5,9.0,8.46,8.85,5211610
2020-06-24,8.85,8.89,8.46,8.54,2609100
2020-06-25,8.39,8.56,8.37,8.48,1699180
2020-06-26,8.54,8.63,8.22,8.3,2478030
2020-06-29,8.24,8.28,7.81,7.96,2580940
2020-06-30,8.11,8.17,7.81,7.96,1523160
2020-07-01,8.04,8.3,7.98,8.26,1165560
2020-07-02,8.33,8.35,8.2,8.26,1047190
2020-07-03,8.3,8.35,8.24,8.24,1274600
2020-07-06,8.37,8.5,8.3,8.46,1209080
2020-07-07,8.54,8.59,8.37,8.37,1985400
2020-07-08,8.37,8.52,8.33,8.52,1700880
2020-07-09,8.68,8.75,8.63,8.68,1821580
2020-07-10,8.59,8.84,8.59,8.7,1964850
2020-07-13,8.75,8.79,8.5,8.61,1807570
2020-07-14,8.57,8.81,8.5,8.77,2123340
2020-07-15,8.86,8.88,8.61,8.66,1659160
2020-07-16,8.66,8.72,8.59,8.63,785130
2020-07-17,8.63,8.77,8.59,8.68,1658460
2020-07-20,8.68,8.72,8.45,8.45,1847310
2020-07-21,8.54,8.59,8.27,8.43,2501800
2020-07-22,8.5,8.5,8.25,8.32,1223120
