time,open,high,low,close,volume
2020-01-02,10.96,11.23,10.96,11.07,207360
2020-01-03,11.07,11.43,11.07,11.31,381270
2020-01-06,11.34,11.34,11.08,11.16,218960
2020-01-07,11.07,11.14,10.97,11.14,262170
2020-01-08,11.03,11.43,10.55,11.43,359560
2020-01-09,11.14,11.29,10.99,11.08,179980
2020-01-10,11.08,11.2,10.92,10.99,130280
2020-01-13,10.81,11.07,10.81,10.84,105560
2020-01-14,10.99,11.16,10.84,11.16,262930
2020-01-15,11.2,11.31,11.05,11.29,254790
2020-01-16,11.16,11.31,11.14,11.29,221510
2020-01-17,11.07,11.25,11.05,11.05,114120
2020-01-20,10.96,11.05,10.92,10.96,117710
2020-01-21,10.96,11.07,10.92,11.07,131460
2020-01-22,11.07,11.25,11.01,11.03,101130
2020-01-30,11.03,11.03,10.51,10.68,320140
2020-01-31,10.6,10.7,10.14,10.14,429210
2020-02-03,9.92,9.92,9.44,9.81,832420
2020-02-04,9.61,9.83,9.55,9.59,161190
2020-02-05,9.59,9.81,9.59,9.7,155520
2020-02-06,9.76,10.05,9.63,10.05,185780
2020-02-07,9.96,10.05,9.87,10.05,100460
2020-02-10,9.81,9.92,9.79,9.79,93190
2020-02-11,9.94,9.94,9.79,9.92,129280
2020-02-12,9.89,10.29,9.89,10.2,329660
2020-02-13,10.2,10.51,10.13,10.44,167310
2020-02-14,10.37,10.51,10.35,10.37,84540
2020-02-17,10.37,10.37,10.14,10.2,172380
2020-02-18,10.2,10.29,10.07,10.2,114550
2020-02-19,10.2,10.27,10.18,10.2,106640
2020-02-20,10.27,10.38,10.18,10.38,220810
2020-02-21,10.4,10.66,10.4,10.42,494060
2020-02-24,10.07,10.11,9.77,9.77,210710
2020-02-25,9.31,10.14,9.31,10.14,326380
2020-02-26,9.68,9.96,9.68,9.85,112760
2020-02-27,9.85,10.07,9.74,10.07,106490
2020-02-28,9.79,10.01,9.72,9.89,399070
2020-03-02,9.68,9.81,9.59,9.74,135130
2020-03-03,9.92,9.92,9.7,9.7,253300
2020-03-04,9.63,9.77,9.61,9.7,149140
2020-03-05,9.77,9.83,9.7,9.7,122270
2020-03-06,9.72,9.92,9.68,9.79,438430
2020-03-09,9.18,9.5,9.11,9.11,349660
2020-03-10,8.59,9.11,8.56,8.85,343770
2020-03-11,9.04,9.04,8.24,8.24,638030
2020-03-12,7.75,7.78,7.67,7.67,806400
2020-03-13,7.14,7.56,7.14,7.56,695750
2020-03-16,7.19,7.45,7.05,7.05,662940
2020-03-17,6.64,7.52,6.57,7.3,1315930
2020-03-18,7.36,7.38,7.12,7.3,640230
2020-03-19,7.23,7.23,6.93,7.01,425880
2020-03-20,6.97,7.1,6.9,7.01,364770
2020-03-23,7.01,7.01,6.53,6.53,788010
2020-03-24,6.38,6.71,6.16,6.51,572080
2020-03-25,6.64,6.86,6.64,6.77,509070
2020-03-26,6.73,6.73,6.36,6.38,855560
2020-03-27,6.49,6.53,6.31,6.42,339550
2020-03-30,6.07,6.18,5.98,5.98,524680
2020-03-31,5.98,6.38,5.9,6.05,267720
2020-04-01,6.05,6.38,6.01,6.25,174430
2020-04-03,6.36,6.64,6.36,6.55,355510
2020-04-06,6.68,6.99,6.68,6.99,494070
2020-04-07,7.27,7.47,7.05,7.41,564650
2020-04-08,7.38,7.45,7.05,7.29,299930
2020-04-09,7.27,7.56,7.27,7.43,318690
2020-04-10,7.27,7.58,7.27,7.38,230190
2020-04-13,7.45,7.71,7.43,7.67,224140
2020-04-14,7.75,7.93,7.64,7.89,634760
2020-04-15,8.06,8.43,7.97,8.43,620640
2020-04-16,8.56,9.0,8.56,9.0,921010
2020-04-17,9.39,9.63,9.37,9.46,1288180
2020-04-20,9.37,9.41,8.85,9.0,794140
2020-04-21,8.85,8.93,8.37,8.37,903100
2020-04-22,7.97,8.78,7.97,8.76,335690
2020-04-23,8.85,8.96,8.45,8.52,375230
2020-04-24,8.48,8.67,8.35,8.56,487610
2020-04-27,8.89,8.89,8.5,8.76,629130
2020-04-28,8.76,8.98,8.74,8.93,633280
2020-04-29,8.93,8.98,8.85,8.94,307320
2020-05-04,8.89,8.89,8.63,8.63,191090
2020-05-05,8.63,8.71,8.48,8.65,150820
2020-05-06,8.74,8.8,8.59,8.78,308890
2020-05-07,8.78,8.93,8.74,8.93,452900
2020-05-08,9.02,9.07,8.82,8.85,389660
2020-05-11,8.85,9.15,8.83,9.15,466870
2020-05-12,9.15,9.44,9.04,9.33,400790
2020-05-13,9.24,9.57,9.22,9.41,396330
2020-05-14,9.33,10.05,9.26,10.05,1082360
2020-05-15,10.18,10.33,9.85,9.85,901280
2020-05-18,9.85,10.01,9.74,9.92,396470
2020-05-19,10.03,10.11,9.89,9.89,621890
2020-05-20,9.85,9.92,9.76,9.76,435020
2020-05-21,9.76,9.92,9.76,9.87,264330
2020-05-22,9.87,9.87,9.59,9.59,577650
2020-05-25,9.7,10.25,9.5,10.25,957230
2020-05-26,10.48,10.59,10.33,10.38,557780
2020-05-27,10.44,10.44,10.14,10.14,862740
2020-05-28,10.09,10.29,10.03,10.22,374410
2020-05-29,10.25,10.51,10.18,10.51,580200
2020-06-01,10.62,10.7,10.51,10.59,440680
2020-06-02,10.7,10.73,10.4,10.44,613750
2020-06-03,10.44,10.73,10.37,10.55,529030
2020-06-04,10.55,10.66,10.48,10.48,444390
2020-06-05,10.51,10.62,10.4,10.55,418100
2020-06-08,10.7,10.7,10.59,10.64,455600
2020-06-09,10.7,11.38,10.62,11.23,1037760
2020-06-10,11.25,11.32,10.94,11.2,462550
2020-06-11,11.2,11.25,10.42,10.42,930830
2020-06-12,9.83,10.42,9.83,10.22,761760
2020-06-15,10.55,10.55,9.54,9.73,902970
2020-06-16,10.17,10.17,9.85,10.12,253430
2020-06-17,10.24,10.24,9.88,10.0,335240
2020-06-18,9.88,10.07,9.88,10.0,261210
2020-06-19,10.07,10.21,9.93,10.21,313520
2020-06-22,10.19,10.38,10.07,10.19,351020
2020-06-23,10.19,10.19,10.02,10.07,442380
2020-06-24,10.07,10.21,9.93,9.97,359010
2020-06-25,9.61,9.95,9.61,9.93,256200
2020-06-26,10.07,10.07,9.78,9.9,120180
2020-06-29,9.93,9.93,9.3,9.45,508270
2020-06-30,9.3,9.64,9.11,9.23,388680
2020-07-01,9.38,9.38,9.18,9.3,385590
2020-07-02,9.3,9.4,9.23,9.26,113230
2020-07-03,9.28,9.3,9.23,9.28,312050
2020-07-06,9.33,9.4,9.28,9.35,266710
2020-07-07,9.45,10.0,9.45,9.88,2470760
2020-07-08,9.88,10.36,9.88,10.12,1006020
2020-07-09,10.17,10.31,10.05,10.12,592060
2020-07-10,9.95,10.07,9.83,9.93,855940
2020-07-13,10.07,10.12,9.78,9.83,566650
2020-07-14,9.83,9.95,9.76,9.83,394660
2020-07-15,9.97,10.09,9.83,9.93,842470
2020-07-16,10.05,10.07,9.83,9.83,588350
2020-07-17,9.83,10.02,9.83,9.97,524540
