time,open,high,low,close,volume
2020-01-02,6.14,6.25,6.14,6.14,33000
2020-01-03,6.22,6.25,6.06,6.06,19030
2020-01-06,5.81,6.14,5.81,6.11,7220
2020-01-07,6.11,6.11,6.11,6.11,0
2020-01-08,6.11,6.47,6.09,6.47,90040
2020-01-09,6.25,6.41,6.17,6.17,9200
2020-01-10,6.17,6.36,6.17,6.19,85130
2020-01-13,6.19,6.19,6.09,6.19,8300
2020-01-14,6.25,6.25,6.17,6.25,34530
2020-01-15,6.19,6.68,6.17,6.68,55900
2020-01-16,6.41,6.44,6.22,6.25,17240
2020-01-17,6.19,6.19,6.19,6.19,10
2020-01-20,6.17,6.19,5.79,6.09,21510
2020-01-21,6.09,6.09,5.92,5.98,38030
2020-01-22,6.03,6.22,5.98,6.22,900
2020-01-30,6.22,6.3,6.17,6.3,22740
2020-01-31,6.09,6.41,6.03,6.41,27600
2020-02-03,6.19,6.19,5.98,6.14,51810
2020-02-04,6.17,6.25,6.0,6.25,9770
2020-02-05,6.25,6.36,6.06,6.3,6370
2020-02-06,6.25,6.41,6.25,6.41,10240
2020-02-07,6.41,6.41,6.41,6.41,0
2020-02-10,6.47,6.47,6.17,6.17,5770
2020-02-11,6.19,6.41,6.19,6.38,36790
2020-02-12,6.38,6.44,6.22,6.44,34980
2020-02-13,6.47,6.47,6.28,6.41,6540
2020-02-14,6.47,6.47,6.25,6.41,10740
2020-02-17,6.41,6.41,6.41,6.41,0
2020-02-18,6.41,6.41,6.41,6.41,0
2020-02-19,6.41,6.41,6.41,6.41,600
2020-02-20,6.25,6.41,6.03,6.03,2320
2020-02-21,6.36,6.36,6.36,6.36,200
2020-02-24,6.3,6.36,6.25,6.3,26360
2020-02-25,6.36,6.49,6.3,6.49,29700
2020-02-26,6.3,6.38,6.06,6.36,19260
2020-02-27,6.36,6.49,6.25,6.49,1290
2020-02-28,6.14,6.22,6.06,6.19,53340
2020-03-02,6.19,6.3,6.03,6.3,7260
2020-03-03,6.3,6.38,6.25,6.25,110720
2020-03-04,6.33,6.6,6.33,6.52,3140
2020-03-05,6.49,6.49,6.3,6.3,4230
2020-03-06,6.25,6.33,6.25,6.3,194070
2020-03-09,6.19,6.25,5.87,6.06,93790
2020-03-10,5.92,6.19,5.92,6.03,320
2020-03-11,6.09,6.22,5.98,6.06,47500
2020-03-12,6.06,6.09,5.98,6.06,301280
2020-03-13,5.98,6.06,5.65,6.06,136950
2020-03-16,6.06,6.06,5.65,5.73,23210
2020-03-17,5.35,6.11,5.35,5.35,142920
2020-03-18,5.33,5.71,5.33,5.71,16760
2020-03-19,5.43,5.98,5.43,5.92,19750
2020-03-20,6.0,6.03,6.0,6.0,1860
2020-03-23,5.65,6.06,5.65,6.0,121580
2020-03-24,5.87,6.03,5.81,6.0,17930
2020-03-25,6.09,6.09,5.84,5.84,7450
