time,open,high,low,close,volume
2020-01-02,13.62,13.62,13.62,13.62,20
2020-01-03,13.62,13.62,13.62,13.62,20
2020-01-06,14.12,14.12,14.12,14.12,10
2020-01-07,14.58,14.58,13.16,13.16,30
2020-01-08,13.67,13.67,13.67,13.67,10
2020-01-09,14.49,14.49,12.75,12.75,20
2020-01-10,13.21,13.21,13.21,13.21,10
2020-01-13,13.21,13.21,13.21,13.21,0
2020-01-14,12.8,13.67,12.29,12.29,80
2020-01-15,13.07,13.07,13.07,13.07,10
2020-01-16,13.07,13.07,13.07,13.07,0
2020-01-17,13.89,13.89,12.16,12.16,20
2020-01-20,11.33,12.11,11.33,12.11,20
2020-01-21,12.93,12.93,11.29,11.29,510
2020-01-22,11.29,11.29,10.97,10.97,540
2020-01-30,10.24,10.33,10.24,10.24,120
2020-01-31,10.05,10.05,10.05,10.05,290
2020-02-03,10.74,10.74,10.74,10.74,30
2020-02-04,11.06,11.47,11.06,11.43,2410
2020-02-05,11.43,11.43,11.43,11.43,0
2020-02-06,11.43,11.43,11.43,11.43,0
2020-02-07,10.65,11.88,10.65,11.88,20
2020-02-10,12.66,12.66,11.88,11.88,20
2020-02-11,11.88,11.88,11.88,11.88,0
2020-02-12,11.06,11.06,11.06,11.06,10
2020-02-13,11.43,11.43,10.33,10.33,520
2020-02-14,10.33,10.33,10.33,10.33,0
2020-02-17,10.97,10.97,10.97,10.97,500
2020-02-18,10.24,10.24,10.24,10.24,10
2020-02-19,10.24,10.24,10.24,10.24,0
2020-02-20,10.24,10.24,10.24,10.24,0
2020-02-21,10.6,10.6,10.6,10.6,510
2020-02-24,10.6,10.6,10.6,10.6,0
2020-02-25,9.87,11.29,9.87,11.29,100
2020-02-26,11.29,11.29,11.29,11.29,0
2020-02-27,11.88,11.88,11.88,11.88,10
2020-02-28,11.06,12.43,11.06,12.43,20
2020-03-02,11.61,11.61,11.61,11.61,550
2020-03-03,10.83,10.97,10.83,10.83,1000
2020-03-04,10.83,10.83,10.83,10.83,0
2020-03-05,10.83,10.83,10.1,10.1,80
2020-03-06,10.05,10.79,10.05,10.79,260
2020-03-09,10.05,10.97,10.05,10.97,70
2020-03-10,10.97,10.97,10.97,10.97,0
2020-03-11,10.97,10.97,10.97,10.97,0
2020-03-12,10.24,10.24,10.24,10.24,10
2020-03-13,9.55,10.79,9.55,10.79,1000
2020-03-16,10.51,10.51,10.51,10.51,1000
2020-03-17,9.78,11.24,9.78,10.88,560
2020-03-18,10.15,10.51,10.15,10.42,2340
2020-03-19,10.79,10.79,10.79,10.79,10
2020-03-20,10.05,10.79,10.05,10.79,520
2020-03-23,10.05,10.05,10.05,10.05,20
2020-03-24,10.56,10.56,9.37,9.37,40
2020-03-25,9.37,9.37,9.37,9.37,0
2020-03-26,9.37,9.37,9.37,9.37,0
2020-03-27,10.01,10.01,9.96,10.01,1090
2020-03-30,9.32,10.15,9.32,9.6,1560
2020-03-31,9.96,9.96,8.93,9.92,2390
2020-04-01,9.96,10.05,9.96,10.05,130
2020-04-03,10.05,10.05,10.05,10.05,0
2020-04-06,10.05,10.74,9.37,9.37,4290
2020-04-07,8.74,9.96,8.74,8.77,70
2020-04-08,8.73,9.14,8.23,8.23,1370
2020-04-09,8.23,8.41,8.23,8.41,420
2020-04-10,8.68,8.68,7.96,7.96,30
2020-04-13,7.97,8.49,7.97,8.49,600
2020-04-14,8.41,8.41,8.41,8.41,100
2020-04-15,8.41,8.99,7.96,8.99,2130
2020-04-16,9.51,9.51,8.5,8.5,30
2020-04-17,9.08,9.08,9.08,9.08,10
2020-04-20,9.05,9.05,8.87,8.87,520
