time,open,high,low,close,volume
2020-01-02,42.64,43.06,42.64,43.06,660
2020-01-03,43.36,43.43,43.36,43.36,730
2020-01-06,43.36,44.15,43.06,43.06,1520
2020-01-07,43.06,43.06,42.46,43.06,720
2020-01-08,43.06,43.3,43.06,43.06,540
2020-01-09,43.43,43.43,43.06,43.06,560
2020-01-10,43.06,44.82,43.06,43.67,9880
2020-01-13,43.73,44.88,43.73,44.88,830
2020-01-14,44.27,44.88,43.79,43.79,3300
2020-01-15,43.97,44.88,43.97,44.88,1580
2020-01-16,44.88,45.12,44.27,44.58,5510
2020-01-17,44.88,44.88,44.58,44.58,280
2020-01-20,45.18,45.49,44.88,44.94,2900
2020-01-21,44.94,45.97,44.94,45.97,4350
2020-01-22,45.97,45.97,44.88,45.49,3320
2020-01-30,45.49,45.49,44.34,44.34,3210
2020-01-31,44.88,44.88,44.27,44.27,9290
2020-02-03,43.18,43.18,41.24,43.06,7410
2020-02-04,43.97,44.58,43.67,44.58,520
2020-02-05,43.79,45.12,43.73,45.12,2500
2020-02-06,44.27,44.88,43.67,44.82,5590
2020-02-07,44.76,44.82,43.97,44.64,3180
2020-02-10,44.03,44.27,44.03,44.27,310
2020-02-11,44.46,44.82,43.43,44.58,3240
2020-02-12,43.73,44.58,43.67,44.58,5780
2020-02-13,44.58,44.58,43.73,44.52,360
2020-02-14,43.97,45.18,43.97,45.18,4910
2020-02-17,43.73,45.12,43.73,44.27,470
2020-02-18,44.88,45.49,44.58,44.88,6810
2020-02-19,44.88,45.18,44.88,45.18,2410
2020-02-20,45.18,45.18,44.88,44.88,1870
2020-02-21,44.88,44.88,43.79,44.82,1900
2020-02-24,43.79,44.76,43.67,44.76,3280
2020-02-25,44.76,44.76,44.76,44.76,0
2020-02-26,43.97,44.7,43.97,44.7,1520
2020-02-27,44.27,44.88,44.27,44.58,2010
2020-02-28,43.67,44.27,43.67,44.27,1240
2020-03-02,44.27,44.27,43.67,44.27,1940
2020-03-03,43.97,44.27,43.97,44.27,1620
2020-03-04,44.27,44.27,44.27,44.27,0
2020-03-05,43.67,43.97,43.67,43.67,3850
2020-03-06,43.67,43.67,43.36,43.67,3630
2020-03-09,40.64,42.46,40.64,40.64,15680
2020-03-10,39.42,42.15,39.42,42.15,2310
2020-03-11,42.21,42.39,39.42,39.42,2320
2020-03-12,39.12,39.12,37.0,37.24,14540
2020-03-13,37.24,38.21,35.48,37.3,22870
