time,open,high,low,close,volume
2020-01-02,40.76,40.76,40.76,40.76,10
2020-01-03,40.76,40.76,40.76,40.76,0
2020-01-06,40.76,40.76,40.76,40.76,0
2020-01-07,40.76,40.76,40.76,40.76,0
2020-01-08,40.76,40.76,40.76,40.76,0
2020-01-09,40.76,40.76,40.76,40.76,0
2020-01-10,40.76,40.76,40.76,40.76,0
2020-01-13,40.76,40.76,40.76,40.76,0
2020-01-14,39.64,39.64,36.79,36.79,300
2020-01-15,33.25,33.25,33.25,33.25,700
2020-01-16,33.33,33.33,33.33,33.33,100
2020-01-17,33.33,33.33,33.33,33.33,0
2020-01-20,33.25,33.25,33.25,33.25,1200
2020-01-21,33.25,33.25,33.25,33.25,0
2020-01-22,33.25,33.25,33.25,33.25,0
2020-01-30,33.25,33.25,33.25,33.25,0
2020-01-31,33.25,33.25,33.25,33.25,0
2020-02-03,33.25,33.25,33.25,33.25,0
2020-02-04,33.25,33.25,33.25,33.25,0
2020-02-05,33.25,33.25,33.25,33.25,0
2020-02-06,33.25,33.25,33.25,33.25,0
2020-02-07,33.25,33.25,33.25,33.25,0
2020-02-10,33.25,33.25,33.25,33.25,0
2020-02-11,33.25,33.25,33.25,33.25,0
2020-02-12,33.25,33.25,33.25,33.25,0
2020-02-13,33.25,33.25,33.25,33.25,0
2020-02-14,33.25,33.25,33.25,33.25,0
2020-02-17,33.25,33.25,33.25,33.25,0
2020-02-18,33.25,33.25,33.25,33.25,300
2020-02-19,33.25,33.25,33.25,33.25,0
2020-02-20,33.25,33.25,33.25,33.25,0
2020-02-21,33.25,33.25,33.25,33.25,0
2020-02-24,33.25,33.25,33.25,33.25,0
2020-02-25,33.25,33.25,33.25,33.25,0
2020-02-26,33.25,33.25,33.25,33.25,0
2020-02-27,33.25,33.25,33.25,33.25,0
2020-02-28,33.25,33.25,33.25,33.25,0
2020-03-02,33.25,33.25,33.25,33.25,0
2020-03-03,33.25,33.25,33.25,33.25,0
2020-03-04,33.25,33.25,33.25,33.25,0
2020-03-05,33.25,33.25,33.25,33.25,0
2020-03-06,33.25,33.25,33.25,33.25,0
2020-03-09,33.25,33.25,33.25,33.25,0
2020-03-10,33.25,33.25,33.25,33.25,1
2020-03-11,33.25,33.25,33.25,33.25,0
2020-03-12,33.25,33.25,33.25,33.25,0
2020-03-13,33.25,33.25,33.25,33.25,0
2020-03-16,33.25,33.25,33.25,33.25,0
2020-03-17,33.25,33.25,33.25,33.25,0
2020-03-18,33.25,33.25,33.25,33.25,0
2020-03-19,33.25,33.25,33.25,33.25,0
2020-03-20,33.25,33.25,33.25,33.25,0
2020-03-23,33.25,33.25,33.25,33.25,0
2020-03-24,33.25,33.25,33.25,33.25,0
2020-03-25,33.25,33.25,33.25,33.25,0
2020-03-26,33.25,33.25,33.25,33.25,0
2020-03-27,33.25,33.25,33.25,33.25,0
2020-03-30,33.25,33.25,33.25,33.25,0
2020-03-31,33.25,33.25,33.25,33.25,0
2020-04-01,33.25,33.25,33.25,33.25,0
2020-04-03,33.25,33.25,33.25,33.25,0
2020-04-06,33.16,33.16,33.16,33.16,100
2020-04-07,33.16,33.16,33.16,33.16,0
2020-04-08,33.16,33.16,33.16,33.16,0
2020-04-09,33.16,33.16,33.16,33.16,0
2020-04-10,33.16,33.16,33.16,33.16,0
2020-04-13,33.16,33.16,33.16,33.16,0
2020-04-14,33.16,33.16,33.16,33.16,0
2020-04-15,33.16,33.16,33.16,33.16,0
2020-04-16,33.16,33.16,33.16,33.16,0
2020-04-17,33.16,33.16,33.16,33.16,0
2020-04-20,33.16,33.16,33.16,33.16,0
2020-04-21,33.16,33.16,33.16,33.16,0
2020-04-22,33.16,33.16,33.16,33.16,0
2020-04-23,33.16,33.16,33.16,33.16,0
2020-04-24,33.16,33.16,33.16,33.16,0
2020-04-27,33.16,33.16,33.16,33.16,0
2020-04-28,33.16,33.16,33.16,33.16,0
2020-04-29,33.16,33.16,33.16,33.16,0
2020-05-04,33.16,33.16,33.16,33.16,400
2020-05-05,32.81,32.81,32.81,32.81,100
2020-05-06,32.81,32.81,32.81,32.81,0
2020-05-07,32.38,32.38,32.38,32.38,300
2020-05-08,32.47,35.58,32.47,35.58,300
2020-05-11,35.58,35.58,35.58,35.58,0
2020-05-12,35.58,35.75,35.58,35.75,700
2020-05-13,35.75,35.75,35.75,35.75,0
2020-05-14,35.75,35.75,35.75,35.75,0
2020-05-15,35.75,35.75,35.75,35.75,0
2020-05-18,35.75,35.75,35.75,35.75,0
2020-05-19,35.75,35.75,35.75,35.75,0
2020-05-20,35.75,35.75,35.75,35.75,0
2020-05-21,35.75,35.75,35.75,35.75,0
2020-05-22,35.75,35.75,35.75,35.75,0
2020-05-25,35.75,35.75,35.75,35.75,0
2020-05-26,35.75,35.75,35.75,35.75,0
2020-05-27,35.75,35.75,35.75,35.75,0
2020-05-28,35.75,35.75,35.75,35.75,0
2020-05-29,32.64,32.64,32.64,32.64,300
2020-06-01,32.64,32.64,32.64,32.64,700
2020-06-02,32.64,32.64,32.64,32.64,0
2020-06-03,32.64,32.64,32.64,32.64,20
2020-06-04,32.64,32.64,32.64,32.64,0
2020-06-05,32.73,32.73,32.73,32.73,100
2020-06-08,32.73,32.73,32.73,32.73,0
2020-06-09,32.73,32.73,32.73,32.73,0
2020-06-10,32.81,32.81,32.81,32.81,500
2020-06-11,32.81,32.81,32.81,32.81,0
2020-06-12,32.81,32.81,32.81,32.81,0
2020-06-15,32.81,32.81,32.81,32.81,100
2020-06-16,32.81,32.81,32.81,32.81,0
2020-06-17,32.81,32.81,32.81,32.81,800
2020-06-18,32.81,32.81,32.81,32.81,0
2020-06-19,32.81,32.81,32.81,32.81,0
2020-06-22,32.9,32.9,32.9,32.9,600
2020-06-23,32.9,32.9,32.9,32.9,0
2020-06-24,32.9,32.9,32.9,32.9,0
2020-06-25,32.9,32.9,32.9,32.9,0
2020-06-26,32.9,32.9,32.9,32.9,0
2020-06-29,29.71,29.71,29.71,29.71,800
2020-06-30,29.71,29.71,29.71,29.71,0
2020-07-01,29.71,29.71,29.71,29.71,0
2020-07-02,29.71,29.71,29.71,29.71,0
2020-07-03,29.71,29.71,29.71,29.71,40
2020-07-06,29.71,29.71,29.71,29.71,2
2020-07-07,29.71,29.71,29.71,29.71,0
2020-07-08,29.71,29.71,29.71,29.71,0
2020-07-09,29.71,29.71,29.71,29.71,0
2020-07-10,29.71,29.71,29.71,29.71,0
2020-07-13,29.71,29.71,29.71,29.71,5
2020-07-14,29.71,29.71,29.71,29.71,2
2020-07-15,29.71,29.71,29.71,29.71,0
2020-07-16,29.71,29.71,29.71,29.71,0
2020-07-17,29.71,29.71,29.71,29.71,0
2020-07-20,30.22,30.22,30.22,30.22,100
2020-07-21,30.22,30.22,30.22,30.22,0
2020-07-22,30.22,30.22,30.22,30.22,0
2020-07-23,30.22,30.22,30.22,30.22,0
2020-07-24,30.22,30.22,30.22,30.22,0
2020-07-27,30.22,30.22,30.22,30.22,0
2020-07-28,30.22,30.22,30.22,30.22,0
2020-07-29,30.22,30.22,30.22,30.22,150
2020-07-30,30.22,30.22,30.22,30.22,100
2020-07-31,30.22,30.22,30.22,30.22,0
2020-08-03,30.22,30.22,30.22,30.22,101
2020-08-04,33.07,33.07,33.07,33.07,100
2020-08-05,33.07,33.07,33.07,33.07,0
2020-08-06,33.07,33.07,33.07,33.07,0
2020-08-07,36.18,36.18,36.18,36.18,100
2020-08-10,32.81,32.81,32.81,32.81,500
2020-08-11,32.81,32.81,32.81,32.81,0
2020-08-12,32.81,32.81,32.81,32.81,0
2020-08-13,35.4,35.4,35.4,35.4,100
2020-08-14,32.81,32.81,32.81,32.81,820
2020-08-17,32.81,32.81,32.81,32.81,0
2020-08-18,32.81,32.81,32.81,32.81,0
2020-08-19,33.34,33.34,33.34,33.34,0
2020-08-20,33.34,33.34,33.34,33.34,0
2020-08-21,33.34,33.34,33.34,33.34,0
2020-08-24,33.34,33.34,33.34,33.34,0
2020-08-25,33.34,33.34,33.34,33.34,0
2020-08-26,33.34,33.34,33.34,33.34,0
2020-08-27,33.34,33.34,33.34,33.34,0
2020-08-28,33.34,33.34,33.34,33.34,0
2020-08-31,33.34,33.34,33.34,33.34,1
2020-09-01,33.34,33.34,33.34,33.34,0
2020-09-03,32.46,32.46,32.46,32.46,500
2020-09-04,32.46,32.46,32.46,32.46,0
2020-09-07,32.46,32.46,32.46,32.46,300
2020-09-08,32.46,32.46,32.46,32.46,0
2020-09-09,32.46,32.46,32.46,32.46,0
2020-09-10,32.46,32.46,32.46,32.46,0
2020-09-11,32.46,32.46,32.46,32.46,0
2020-09-14,32.46,32.46,32.46,32.46,0
2020-09-15,32.46,32.46,32.46,32.46,0
2020-09-16,35.71,35.71,35.71,35.71,100
2020-09-17,35.71,35.71,35.71,35.71,0
2020-09-18,35.71,35.71,35.71,35.71,0
2020-09-21,35.71,35.71,35.71,35.71,0
2020-09-22,32.46,32.46,32.46,32.46,400
2020-09-23,32.46,32.46,32.46,32.46,0
2020-09-24,32.46,32.46,32.46,32.46,0
2020-09-25,32.46,32.46,32.46,32.46,0
2020-09-28,32.46,32.46,32.46,32.46,200
2020-09-29,32.46,32.46,32.46,32.46,0
2020-09-30,32.46,32.46,32.46,32.46,0
2020-10-01,32.46,32.46,32.46,32.46,0
2020-10-02,32.46,32.46,32.46,32.46,0
2020-10-05,32.46,32.46,32.46,32.46,0
2020-10-06,32.46,32.46,32.46,32.46,0
2020-10-07,32.46,32.46,32.46,32.46,0
2020-10-08,32.46,32.46,32.46,32.46,800
2020-10-09,32.46,32.46,32.46,32.46,0
2020-10-12,32.46,32.46,32.46,32.46,0
2020-10-13,35.1,35.1,32.46,32.46,300
2020-10-14,32.46,32.46,32.46,32.46,0
2020-10-15,32.46,32.46,32.46,32.46,0
2020-10-16,32.46,32.46,32.46,32.46,0
2020-10-19,30.01,30.01,30.01,30.01,100
2020-10-20,30.01,30.01,30.01,30.01,0
2020-10-21,30.01,30.01,30.01,30.01,0
2020-10-22,32.99,32.99,32.99,32.99,100
2020-10-23,32.99,32.99,32.99,32.99,0
2020-10-26,32.99,32.99,32.99,32.99,0
2020-10-27,35.53,35.53,35.53,35.53,100
2020-10-28,35.53,35.53,35.53,35.53,0
2020-10-29,35.53,35.53,35.53,35.53,0
2020-10-30,38.61,38.61,38.61,38.61,100
2020-11-02,38.61,38.61,38.61,38.61,0
2020-11-03,38.61,38.61,38.61,38.61,0
2020-11-04,38.61,38.61,38.61,38.61,0
2020-11-05,34.74,34.74,34.74,34.74,200
