time,open,high,low,close,volume
2020-01-02,5.72,5.72,5.65,5.65,343760
2020-01-03,5.72,5.75,5.62,5.72,351370
2020-01-06,5.74,5.74,5.67,5.72,308930
2020-01-07,5.72,5.88,5.69,5.88,351590
2020-01-08,5.88,5.91,5.79,5.88,283280
2020-01-09,5.91,5.91,5.78,5.81,233000
2020-01-10,5.81,5.81,5.76,5.78,300370
2020-01-13,5.94,5.94,5.75,5.81,407390
2020-01-14,5.82,5.82,5.76,5.81,456270
2020-01-15,5.82,5.82,5.74,5.81,263100
2020-01-16,5.81,5.81,5.69,5.75,672480
2020-01-17,5.75,5.75,5.66,5.75,179950
2020-01-20,5.77,5.77,5.63,5.75,420130
2020-01-21,5.77,5.81,5.69,5.8,329220
2020-01-22,5.88,5.88,5.66,5.85,439560
2020-01-30,5.85,5.94,5.69,5.81,338210
2020-01-31,5.81,5.83,5.69,5.69,305140
2020-02-03,5.62,5.78,5.56,5.56,284670
2020-02-04,5.56,5.81,5.49,5.81,480820
2020-02-05,5.81,5.81,5.56,5.74,323630
2020-02-06,5.74,5.74,5.57,5.74,570610
2020-02-07,5.74,5.75,5.49,5.75,442760
2020-02-10,5.75,5.75,5.56,5.74,858140
2020-02-11,5.74,5.74,5.56,5.69,536330
2020-02-12,5.65,5.72,5.56,5.56,790720
2020-02-13,5.67,5.69,5.56,5.69,842200
2020-02-14,5.56,5.67,5.56,5.62,414890
2020-02-17,5.63,5.63,5.49,5.59,217700
2020-02-18,5.59,5.62,5.52,5.62,554480
2020-02-19,5.64,5.69,5.59,5.69,767140
2020-02-20,5.65,5.75,5.62,5.75,343120
2020-02-21,5.69,5.72,5.62,5.72,544180
2020-02-24,5.72,5.75,5.62,5.68,339530
2020-02-25,5.72,5.72,5.63,5.69,569340
2020-02-26,5.69,5.7,5.6,5.64,351960
2020-02-27,5.69,5.81,5.63,5.81,319100
2020-02-28,5.81,5.81,5.62,5.71,1215520
2020-03-02,5.75,5.75,5.59,5.73,792030
2020-03-03,5.73,5.81,5.66,5.81,1550160
2020-03-04,5.81,5.81,5.7,5.79,379420
2020-03-05,5.81,5.81,5.66,5.8,330020
2020-03-06,5.72,5.78,5.66,5.69,326650
2020-03-09,5.61,5.67,5.48,5.63,528300
2020-03-10,5.56,5.75,5.48,5.75,757450
2020-03-11,5.85,5.85,5.53,5.65,429470
2020-03-12,5.49,5.65,5.26,5.37,334510
2020-03-13,5.37,5.37,5.03,5.17,147400
2020-03-16,5.17,5.27,4.91,5.16,225110
2020-03-17,5.17,5.17,4.85,5.15,241940
2020-03-18,5.42,5.42,4.92,5.41,1127450
2020-03-19,5.41,5.41,5.12,5.41,142560
2020-03-20,5.41,5.41,5.17,5.36,175360
2020-03-23,5.25,5.36,5.04,5.17,695960
2020-03-24,5.21,5.39,5.14,5.39,401600
2020-03-25,5.46,5.46,5.17,5.34,1114330
2020-03-26,5.34,5.34,5.11,5.34,395520
2020-03-27,5.34,5.34,5.1,5.23,331290
2020-03-30,5.23,5.23,4.88,5.18,126250
2020-03-31,5.23,5.23,5.07,5.18,558640
2020-04-01,5.36,5.36,5.23,5.27,65120
2020-04-03,5.27,5.62,4.9,5.62,672770
2020-04-06,5.62,5.81,5.52,5.81,571240
2020-04-07,5.88,5.88,5.69,5.81,241300
2020-04-08,5.69,5.75,5.43,5.68,517570
2020-04-09,5.74,5.74,5.52,5.69,84910
2020-04-10,5.69,5.69,5.56,5.66,98290
2020-04-13,5.72,5.72,5.49,5.68,104570
2020-04-14,5.68,5.68,5.59,5.65,224440
2020-04-15,5.65,5.65,5.62,5.62,274760
2020-04-16,5.65,5.65,5.56,5.62,314380
2020-04-17,5.62,5.62,5.43,5.43,162400
2020-04-20,5.62,5.62,5.43,5.49,107320
2020-04-21,5.52,5.56,5.49,5.56,289330
2020-04-22,5.56,5.56,5.17,5.43,174640
2020-04-23,5.52,5.55,5.49,5.55,89730
2020-04-24,5.56,5.56,5.44,5.55,302930
2020-04-27,5.78,5.78,5.51,5.55,325690
2020-04-28,5.56,5.56,5.43,5.56,338010
2020-04-29,5.56,5.56,5.49,5.54,650410
2020-05-04,5.33,5.55,5.33,5.54,121930
2020-05-05,5.54,5.56,5.46,5.53,580740
2020-05-06,5.53,5.53,5.44,5.52,772940
2020-05-07,5.52,5.52,5.46,5.51,334120
2020-05-08,5.56,5.56,5.49,5.52,737330
2020-05-11,5.54,5.56,5.23,5.56,502190
2020-05-12,5.43,5.56,5.3,5.52,217190
2020-05-13,5.43,5.81,5.36,5.81,340760
2020-05-14,5.81,5.81,5.56,5.81,522430
2020-05-15,5.78,5.78,5.41,5.78,358540
2020-05-18,5.75,5.75,5.52,5.75,539780
2020-05-19,5.75,5.75,5.62,5.63,584300
2020-05-20,5.49,5.62,5.46,5.49,316740
2020-05-21,5.56,5.69,5.49,5.69,774050
2020-05-22,5.75,5.75,5.59,5.74,534930
2020-05-25,5.52,5.74,5.52,5.74,378790
2020-05-26,5.69,5.69,5.62,5.68,340350
2020-05-27,5.68,5.68,5.59,5.68,733090
2020-05-28,5.68,5.68,5.62,5.68,540420
2020-05-29,5.68,5.75,5.63,5.75,548700
2020-06-01,5.75,5.75,5.69,5.74,552140
2020-06-02,5.75,5.75,5.69,5.72,503440
2020-06-03,5.62,5.72,5.62,5.72,353150
2020-06-04,5.72,5.72,5.56,5.72,739330
2020-06-05,5.75,5.75,5.63,5.74,403820
2020-06-08,5.74,5.81,5.72,5.81,509580
2020-06-09,5.81,5.81,5.72,5.81,555490
2020-06-10,5.81,5.81,5.69,5.8,273520
2020-06-11,5.81,6.17,5.81,5.91,443640
2020-06-12,5.81,6.07,5.73,6.07,334360
2020-06-15,6.07,6.07,5.91,6.07,585650
2020-06-16,6.07,6.07,5.75,6.07,510720
2020-06-17,6.07,6.07,5.8,6.06,730760
2020-06-18,5.7,6.05,5.7,5.81,665680
2020-06-19,6.07,6.07,5.76,5.91,1657280
2020-06-22,5.91,5.94,5.81,5.91,554930
2020-06-23,5.91,5.91,5.83,5.89,553500
2020-06-24,5.91,5.91,5.85,5.85,490080
2020-06-25,5.88,5.88,5.75,5.81,691640
2020-06-26,5.81,5.85,5.62,5.85,459390
2020-06-29,5.85,5.85,5.69,5.81,516960
2020-06-30,5.81,5.81,5.65,5.68,557710
2020-07-01,5.66,5.81,5.66,5.81,559840
2020-07-02,5.81,5.81,5.7,5.81,461380
2020-07-03,5.81,5.81,5.58,5.78,598660
2020-07-06,5.78,5.81,5.62,5.81,530830
2020-07-07,5.72,5.72,5.62,5.72,534000
2020-07-08,5.72,5.72,5.62,5.63,494460
2020-07-09,5.63,5.75,5.63,5.75,515310
2020-07-10,5.75,5.81,5.65,5.81,483430
2020-07-13,5.81,5.81,5.69,5.81,555800
2020-07-14,5.81,5.81,5.62,5.81,536530
2020-07-15,5.81,5.81,5.69,5.8,604760
2020-07-16,5.81,5.81,5.72,5.74,157530
2020-07-17,5.78,5.78,5.72,5.76,572030
2020-07-20,5.78,5.78,5.76,5.78,481560
2020-07-21,5.8,5.8,5.72,5.78,564400
2020-07-22,5.78,5.78,5.69,5.77,564200
2020-07-23,5.77,5.77,5.62,5.62,586680
2020-07-24,5.59,5.72,5.59,5.63,494550
2020-07-27,5.56,5.69,5.49,5.65,597140
2020-07-28,5.62,6.01,5.57,6.01,549430
2020-07-29,5.94,5.94,5.62,5.81,565620
2020-07-30,5.69,5.81,5.63,5.81,685280
2020-07-31,5.69,5.8,5.67,5.76,535900
2020-08-03,5.87,5.87,5.75,5.79,825700
2020-08-04,5.79,5.81,5.75,5.81,536890
2020-08-05,5.81,6.2,5.78,6.2,786660
2020-08-06,6.2,6.46,6.04,6.36,700050
2020-08-07,6.36,6.36,6.27,6.32,488900
2020-08-10,6.36,6.75,6.33,6.75,747960
2020-08-11,6.98,6.98,6.59,6.75,574120
2020-08-12,6.75,6.91,6.53,6.75,504150
2020-08-13,6.75,6.75,6.4,6.75,597200
2020-08-14,6.46,6.46,6.43,6.44,468050
2020-08-17,6.44,6.44,6.27,6.4,725400
2020-08-18,6.4,6.4,6.23,6.25,599090
2020-08-19,6.45,6.45,6.26,6.27,561170
2020-08-20,6.27,6.38,6.27,6.36,476880
2020-08-21,6.36,6.43,6.27,6.39,506230
2020-08-24,6.42,6.42,6.27,6.39,773680
2020-08-25,6.45,6.45,6.23,6.36,666670
2020-08-26,6.36,6.36,6.23,6.32,497880
2020-08-27,6.2,6.45,6.2,6.36,541660
2020-08-28,6.36,6.36,6.23,6.23,570530
2020-08-31,6.23,6.38,6.22,6.27,570000
2020-09-01,6.35,6.35,6.14,6.3,460960
2020-09-03,6.33,6.33,5.87,5.94,1060520
2020-09-04,6.12,6.12,5.65,5.9,538630
2020-09-07,6.01,6.01,5.72,5.88,787670
2020-09-08,5.81,5.81,5.75,5.81,562750
2020-09-09,5.81,5.89,5.62,5.78,677440
2020-09-10,5.81,6.07,5.56,6.07,659920
2020-09-11,6.07,6.07,5.84,6.05,499260
2020-09-14,6.01,6.01,5.85,5.98,917650
2020-09-15,5.94,5.98,5.88,5.98,490200
2020-09-16,5.94,6.01,5.88,6.01,783630
2020-09-17,6.01,6.06,5.88,6.06,827840
2020-09-18,6.06,6.06,5.97,6.04,765360
2020-09-21,5.83,6.03,5.83,6.01,922430
2020-09-22,6.01,6.01,5.85,5.98,428810
2020-09-23,5.98,5.98,5.85,5.93,745570
2020-09-24,5.94,5.94,5.78,5.83,715020
2020-09-25,5.83,5.88,5.75,5.88,695980
2020-09-28,5.92,5.92,5.78,5.88,705230
2020-09-29,5.9,5.9,5.79,5.87,809980
2020-09-30,5.89,5.91,5.81,5.89,1031560
2020-10-01,5.89,6.07,5.89,5.96,812980
2020-10-02,5.98,6.01,5.88,6.01,977970
2020-10-05,6.01,6.01,5.91,5.98,728600
2020-10-06,5.94,5.98,5.92,5.98,537980
2020-10-07,5.96,5.96,5.91,5.94,687850
2020-10-08,5.94,5.94,5.85,5.94,690910
2020-10-09,5.84,5.94,5.84,5.92,680680
2020-10-12,5.92,5.92,5.83,5.89,550050
2020-10-13,5.78,5.89,5.49,5.78,829110
2020-10-14,5.86,5.86,5.72,5.72,458100
2020-10-15,5.81,5.81,5.62,5.69,724460
2020-10-16,5.62,5.66,5.43,5.66,539850
2020-10-19,5.68,5.75,5.56,5.75,941590
2020-10-20,5.75,5.87,5.69,5.87,482460
2020-10-21,5.85,5.85,5.69,5.85,784550
2020-10-22,5.7,5.81,5.69,5.81,698180
2020-10-23,5.81,5.81,5.72,5.81,630400
2020-10-26,5.85,5.88,5.81,5.83,672920
2020-10-27,5.87,5.87,5.72,5.81,612110
2020-10-28,5.81,5.81,5.63,5.81,1036480
2020-10-29,5.42,6.07,5.42,6.07,819860
2020-10-30,6.07,6.07,5.75,6.04,542700
2020-11-02,6.03,6.03,5.88,6.0,907600
2020-11-03,5.96,5.96,5.87,5.94,689450
2020-11-04,5.94,5.94,5.82,5.91,452670
2020-11-05,5.89,6.0,5.82,6.0,601280
2020-11-06,5.96,5.96,5.89,5.96,544130
2020-11-09,5.96,5.96,5.88,5.88,611680
2020-11-10,5.88,5.93,5.88,5.89,337400
2020-11-11,5.48,5.9,5.48,5.9,735230
2020-11-12,5.9,5.95,5.78,5.89,533520
2020-11-13,5.91,5.91,5.78,5.85,490510
2020-11-16,5.91,5.91,5.81,5.89,376760
2020-11-17,5.89,5.89,5.77,5.77,629420
2020-11-18,5.85,5.89,5.79,5.89,654040
2020-11-19,5.82,5.96,5.81,5.96,505650
2020-11-20,5.96,6.0,5.83,6.0,971840
2020-11-23,6.0,6.41,5.89,6.41,1232700
2020-11-24,6.29,6.32,6.18,6.18,537230
2020-11-25,6.18,6.21,6.11,6.21,795600
2020-11-26,6.11,6.39,6.11,6.39,620990
2020-11-27,6.18,6.33,6.18,6.32,688460
2020-11-30,6.32,6.39,6.26,6.39,788550
2020-12-01,6.2,6.32,6.2,6.32,667620
2020-12-02,6.25,6.38,6.25,6.31,747730
2020-12-03,6.31,6.39,6.26,6.39,377770
2020-12-04,6.39,6.47,6.32,6.47,529360
2020-12-07,6.47,6.47,6.32,6.45,611690
2020-12-08,6.45,6.47,6.39,6.47,407790
2020-12-09,6.47,6.47,6.39,6.47,468370
2020-12-10,6.47,6.47,6.29,6.32,484770
2020-12-11,6.39,6.39,6.18,6.29,665280
2020-12-14,6.29,6.47,6.21,6.47,638180
2020-12-15,6.39,6.44,6.36,6.42,990380
2020-12-16,6.39,6.39,6.29,6.39,463630
2020-12-17,6.32,6.39,6.21,6.39,1518480
2020-12-18,6.39,6.39,6.18,6.36,662700
2020-12-21,6.32,6.32,6.23,6.31,660510
2020-12-22,6.31,6.32,6.23,6.32,691730
2020-12-23,6.32,6.4,6.25,6.32,885060
2020-12-24,6.29,6.32,6.18,6.25,367120
2020-12-25,6.21,6.32,6.21,6.31,1424140
2020-12-28,6.31,6.31,6.19,6.25,1322060
2020-12-29,6.25,6.38,6.21,6.38,730970
2020-12-30,6.32,6.61,6.32,6.61,674220
2020-12-31,6.5,6.61,6.47,6.61,637310
2021-01-04,6.68,6.82,6.61,6.82,863600
2021-01-05,6.79,6.95,6.6,6.77,426300
2021-01-06,6.68,6.79,6.62,6.75,461300
2021-01-07,6.74,6.79,6.62,6.77,580700
2021-01-08,6.79,6.79,6.56,6.75,664300
2021-01-11,6.75,7.18,6.64,7.18,696700
2021-01-12,7.04,7.04,6.9,6.99,1025300
2021-01-13,6.97,6.97,6.82,6.9,659000
2021-01-14,6.82,6.93,6.73,6.9,858900
2021-01-15,6.94,6.94,6.82,6.9,495800
2021-01-18,7.0,7.0,6.82,6.9,590900
2021-01-19,6.98,6.98,6.75,6.9,501700
2021-01-20,6.9,6.97,6.54,6.97,1586500
2021-01-21,6.97,7.04,6.9,7.04,717600
2021-01-22,7.08,7.11,6.97,7.04,563200
2021-01-25,7.04,7.47,6.97,7.33,812300
2021-01-26,7.4,7.4,7.04,7.29,699800
2021-01-27,7.29,7.29,6.8,7.17,656900
2021-01-28,6.75,6.87,6.67,6.71,1145900
2021-01-29,6.68,7.04,6.4,7.04,1291100
2021-02-01,7.04,7.04,6.61,6.9,614700
2021-02-02,6.9,6.9,6.79,6.89,741900
2021-02-03,6.89,7.03,6.82,7.03,638700
2021-02-04,7.03,7.03,6.89,7.03,582800
2021-02-05,7.03,7.04,6.9,7.04,1023400
2021-02-08,7.04,7.04,6.69,7.04,757500
2021-02-09,7.04,7.04,6.77,7.04,619600
2021-02-17,7.04,7.11,7.04,7.04,700500
2021-02-18,7.04,7.47,7.04,7.22,415500
2021-02-19,7.22,7.54,7.22,7.43,794800
2021-02-22,7.47,7.94,7.43,7.94,701100
2021-02-23,7.83,8.26,7.83,8.05,570800
2021-02-24,8.12,8.12,7.83,7.9,679700
2021-02-25,7.87,8.05,7.87,7.94,606100
2021-02-26,7.9,7.94,7.76,7.76,680400
2021-03-01,7.69,7.9,7.65,7.76,663000
2021-03-02,7.76,8.12,7.76,7.9,720800
2021-03-03,7.9,8.44,7.9,8.44,496700
2021-03-04,9.02,9.02,8.62,8.98,488900
2021-03-05,8.76,9.55,8.76,9.55,674000
2021-03-08,9.55,9.63,9.27,9.27,697000
2021-03-09,9.27,9.3,9.05,9.19,69300
2021-03-10,8.76,8.84,8.62,8.62,216200
2021-03-11,8.62,8.62,8.19,8.22,299400
2021-03-12,8.22,8.8,8.22,8.8,282800
2021-03-15,9.41,9.41,9.41,9.41,48100
2021-03-16,10.06,10.06,10.06,10.06,204000
2021-03-17,10.74,10.74,10.74,10.74,95800
2021-03-18,11.46,11.46,11.46,11.46,40500
2021-03-19,12.25,12.25,11.13,11.42,722900
2021-03-22,11.42,11.42,10.63,10.99,254100
2021-03-23,10.78,11.74,10.78,10.92,180600
2021-03-24,10.78,11.28,10.2,10.2,346800
2021-03-25,10.2,10.45,9.7,9.7,133900
2021-03-26,9.7,10.34,9.34,9.77,628700
2021-03-29,10.34,10.45,10.06,10.45,91200
2021-03-30,11.17,11.17,10.06,10.78,249000
2021-03-31,11.06,11.06,10.49,10.49,244600
2021-04-01,10.49,10.78,10.49,10.56,107400
2021-04-02,10.92,10.92,10.56,10.67,136800
2021-04-05,10.99,10.99,10.67,10.78,143500
2021-04-06,10.78,11.06,10.78,10.81,103100
2021-04-07,10.81,11.28,10.81,11.21,266400
2021-04-08,11.28,11.42,11.1,11.21,457800
2021-04-09,11.21,11.28,11.13,11.17,374800
2021-04-12,11.17,11.92,11.17,11.57,327800
2021-04-13,11.57,12.36,11.49,12.32,710000
2021-04-14,13.15,13.18,12.71,13.18,513100
2021-04-15,14.08,14.08,13.65,14.08,966100
2021-04-16,15.05,15.05,14.91,14.94,1013300
2021-04-19,15.09,15.52,14.94,15.52,1082300
2021-04-20,15.09,15.66,15.05,15.59,1344600
2021-04-22,15.44,15.59,15.09,15.16,1323900
2021-04-23,15.09,15.19,14.91,15.16,1190300
2021-04-26,14.94,15.01,14.91,14.94,833700
2021-04-27,14.94,15.41,14.73,15.41,1686100
2021-04-28,15.41,16.23,15.41,16.23,2128200
2021-04-29,16.23,16.59,15.73,15.73,1648000
2021-05-04,15.59,16.81,14.83,16.81,2016500
2021-05-05,16.81,17.96,16.81,17.96,1624000
2021-05-06,18.03,18.46,16.74,18.28,1853000
2021-05-07,17.96,18.39,17.42,17.42,2412500
2021-05-10,17.2,17.74,16.95,17.2,1948000
2021-05-11,17.1,17.2,16.67,16.95,1666800
2021-05-12,16.88,17.74,16.2,17.74,3175000
2021-05-13,17.46,18.71,17.46,18.32,2419700
2021-05-14,18.53,18.53,17.92,18.5,1875100
2021-05-17,18.5,19.68,18.14,19.68,4042600
2021-05-18,19.61,21.05,19.61,20.76,3535800
2021-05-19,20.62,21.23,20.11,20.4,2520600
2021-05-20,20.04,20.51,19.4,19.86,1828800
2021-05-21,19.86,20.62,19.32,20.26,1834700
2021-05-24,20.36,20.83,20.04,20.58,2507900
2021-05-25,20.54,20.58,19.75,20.58,2602200
2021-05-26,20.69,21.62,20.69,21.55,3754100
2021-05-27,21.55,21.91,21.41,21.41,2175000
2021-05-28,21.19,21.48,20.76,21.37,2897400
2021-05-31,21.37,21.41,21.12,21.33,1872800
2021-06-01,21.33,21.44,21.16,21.41,1080700
2021-06-02,21.48,21.48,19.93,20.26,823300
2021-06-03,20.26,20.33,19.22,20.29,1252500
2021-06-04,20.19,20.19,18.89,19.86,1229300
2021-06-07,19.86,20.51,19.75,20.51,2263300
2021-06-08,20.54,21.26,20.54,21.19,2573000
2021-06-09,21.33,21.33,19.72,21.19,1938300
2021-06-10,19.9,20.54,19.75,20.33,2073900
2021-06-11,19.75,20.69,18.96,20.62,2599800
2021-06-14,20.62,20.62,19.25,20.11,1504100
2021-06-15,20.11,20.11,18.86,20.04,1435500
2021-06-16,18.71,19.47,18.71,18.75,1051300
2021-06-17,18.6,18.64,17.81,18.17,1486200
2021-06-18,17.96,18.68,17.24,18.68,1863200
2021-06-21,18.68,18.75,18.25,18.28,855800
2021-06-22,18.17,18.82,17.96,18.64,1751800
2021-06-23,18.53,19.07,18.5,18.64,1480300
2021-06-24,18.96,19.07,18.39,18.39,867600
2021-06-25,18.17,18.46,17.99,18.39,717100
2021-06-28,18.39,18.46,17.99,18.43,970600
2021-06-29,18.43,18.64,18.07,18.43,979500
2021-06-30,18.43,18.57,17.96,18.43,975800
2021-07-01,18.43,18.6,17.96,18.35,2021000
2021-07-02,18.53,18.53,18.25,18.39,1297700
2021-07-05,18.17,18.6,17.74,18.43,2157700
2021-07-06,18.46,19.07,18.39,19.0,2700500
2021-07-07,19.04,19.68,19.0,19.68,2503200
2021-07-08,19.61,19.75,18.46,18.89,1918100
2021-07-09,18.17,18.73,17.58,18.06,754400
2021-07-12,17.07,17.07,16.83,16.83,214300
2021-07-13,15.68,15.92,15.68,15.84,1068900
2021-07-14,15.84,15.84,14.74,14.86,644000
2021-07-15,14.78,15.29,14.78,15.29,666700
2021-07-16,15.29,15.84,15.25,15.65,1051200
2021-07-19,15.49,15.49,14.58,15.01,294100
2021-07-20,14.97,15.17,14.18,14.86,879100
2021-07-21,14.93,15.49,14.62,15.01,541000
2021-07-22,14.86,15.25,14.62,15.01,413700
2021-07-23,15.01,15.17,14.66,14.7,362100
2021-07-26,14.54,14.62,13.67,14.06,205600
2021-07-27,14.06,15.01,13.83,15.01,955100
2021-07-28,15.17,15.8,15.01,15.65,2471300
2021-07-29,15.68,16.12,15.25,15.65,1412100
2021-07-30,15.45,15.84,14.93,15.65,1333700
2021-08-02,15.41,15.68,15.09,15.45,974100
2021-08-03,15.41,15.72,15.13,15.41,1273000
2021-08-04,15.41,15.65,15.17,15.41,891300
2021-08-05,15.49,15.61,15.21,15.49,663200
2021-08-06,15.49,16.36,15.41,15.96,2409100
2021-08-09,15.8,17.07,15.45,17.07,2929600
2021-08-10,17.11,18.09,17.11,17.7,2584900
2021-08-11,17.66,17.86,16.83,16.87,2229300
