time,open,high,low,close,volume
2020-01-02,27.41,27.41,27.07,27.36,23500
2020-01-03,27.07,27.3,27.01,27.21,27618
2020-01-06,27.1,27.1,25.97,26.0,39631
2020-01-07,26.43,26.46,26.06,26.06,9163
2020-01-08,25.97,26.2,24.53,25.31,52420
2020-01-09,25.63,25.63,24.76,25.08,21800
2020-01-10,25.2,25.63,25.05,25.51,16726
2020-01-13,28.22,28.22,25.31,25.34,2438
2020-01-14,25.34,25.92,25.31,25.77,1497
2020-01-15,25.34,25.34,24.65,25.05,7930
2020-01-16,25.05,25.34,25.05,25.25,2470
2020-01-17,25.25,25.25,24.97,25.25,1860
2020-01-20,25.05,25.05,24.48,24.76,10656
2020-01-21,26.06,26.06,24.53,24.88,2407
2020-01-22,24.56,24.68,24.27,24.68,8965
2020-01-30,23.7,24.48,23.64,24.19,3910
2020-01-31,24.48,24.48,21.74,22.17,101976
2020-02-03,22.17,22.17,19.87,21.6,84376
2020-02-04,21.31,21.31,20.44,20.44,11596
2020-02-05,21.02,21.45,20.82,21.31,33376
2020-02-06,21.31,22.58,21.31,22.58,15520
2020-02-07,21.77,21.88,21.74,21.74,4850
2020-02-10,20.73,21.6,20.73,21.6,520
2020-02-11,20.73,21.31,20.73,21.31,5220
2020-02-12,21.31,22.46,21.31,22.46,23617
2020-02-13,22.23,23.32,22.23,23.04,15151
2020-02-14,23.04,23.15,23.04,23.15,4073
2020-02-17,23.04,23.18,22.46,22.75,9720
2020-02-18,22.6,23.18,22.6,22.89,2610
2020-02-19,22.86,24.48,22.86,24.39,42245
2020-02-20,24.39,24.48,23.76,24.02,25110
2020-02-21,23.9,23.9,23.61,23.73,9800
2020-02-24,23.04,23.04,21.88,21.94,22700
2020-02-25,22.14,22.75,22.14,22.75,13307
2020-02-26,22.35,22.35,21.74,22.03,33220
2020-02-27,22.03,22.32,22.03,22.32,13144
2020-02-28,21.63,22.03,21.31,22.03,9250
2020-03-02,21.6,22.0,21.6,21.88,21810
2020-03-03,21.88,22.43,21.88,22.17,15800
2020-03-04,22.12,22.32,21.97,22.32,9649
2020-03-05,22.23,22.6,22.23,22.4,10000
2020-03-06,22.37,22.37,21.88,22.17,9500
2020-03-09,20.3,20.44,19.29,19.32,88278
2020-03-10,19.29,20.68,19.29,20.59,21395
2020-03-11,21.02,21.02,19.32,20.44,35880
2020-03-12,18.72,19.55,18.57,18.98,34640
2020-03-13,17.39,19.01,16.85,18.86,67070
2020-03-16,18.29,19.01,18.23,18.37,29710
2020-03-17,18.69,19.58,18.69,19.44,17282
2020-03-18,19.87,20.16,19.58,19.67,22714
