time,open,high,low,close,volume
2020-01-02,20.83,20.83,20.54,20.83,20870
2020-01-03,20.83,21.6,20.78,21.12,134480
2020-01-06,21.02,21.02,20.64,20.64,24320
2020-01-07,20.83,21.15,20.66,21.15,65530
2020-01-08,21.02,21.1,20.25,20.35,47560
2020-01-09,20.35,20.74,19.92,20.25,82730
2020-01-10,20.35,20.35,19.53,19.53,32910
2020-01-13,19.53,19.77,19.05,19.53,44700
2020-01-14,19.53,19.53,18.57,19.36,57370
2020-01-15,19.34,19.36,19.05,19.05,27820
2020-01-16,19.29,19.29,18.57,19.19,29400
2020-01-17,19.19,19.8,19.0,19.29,67960
2020-01-20,19.75,19.75,19.14,19.14,48350
2020-01-21,19.14,19.48,19.05,19.48,13670
2020-01-22,19.24,19.58,19.14,19.43,30390
2020-01-30,19.34,19.34,18.13,18.13,41620
2020-01-31,17.89,18.52,16.88,16.95,110010
2020-02-03,15.99,16.78,15.77,16.01,117090
2020-02-04,16.35,16.35,16.01,16.3,31740
2020-02-05,16.35,17.43,16.15,17.12,44870
2020-02-06,17.12,17.6,17.07,17.6,38060
2020-02-07,17.6,17.6,17.31,17.5,28220
2020-02-10,17.36,17.36,16.97,17.12,16150
2020-02-11,17.24,17.6,16.88,17.6,75250
2020-02-12,17.6,18.71,17.55,18.57,42230
2020-02-13,18.57,18.57,17.89,18.32,13140
2020-02-14,18.32,18.44,18.18,18.42,26140
2020-02-17,18.3,18.32,17.84,18.28,14680
2020-02-18,18.28,18.66,18.28,18.47,27930
2020-02-19,18.13,19.75,18.13,19.58,57900
2020-02-20,19.58,20.25,19.05,19.48,79630
2020-02-21,19.53,19.72,18.85,19.0,27920
2020-02-24,18.57,18.57,17.67,17.67,117690
2020-02-25,16.88,18.81,16.88,18.81,42830
2020-02-26,17.84,18.32,17.7,18.28,23370
2020-02-27,17.75,18.28,17.75,18.13,34320
2020-02-28,17.6,18.08,17.6,17.84,29060
2020-03-02,17.84,18.08,17.7,17.7,14220
2020-03-03,17.84,18.08,17.7,17.75,16350
2020-03-04,17.79,18.04,17.7,18.04,17430
2020-03-05,18.37,18.37,18.01,18.04,44940
2020-03-06,17.75,18.04,17.75,17.89,9530
2020-03-09,16.68,17.6,16.66,16.66,95670
2020-03-10,16.06,17.31,16.06,16.88,48850
2020-03-11,17.46,17.46,16.18,16.64,31140
2020-03-12,16.15,16.15,15.48,15.48,167740
2020-03-13,14.47,15.36,14.42,15.33,115430
2020-03-16,14.95,15.43,14.95,15.36,39140
2020-03-17,15.19,15.91,14.47,15.91,51340
2020-03-18,15.91,16.2,15.38,15.77,23960
2020-03-19,15.29,15.29,14.83,14.95,35300
2020-03-20,15.43,15.43,14.85,15.09,59250
2020-03-23,14.95,14.95,14.06,14.06,84710
