time,open,high,low,close,volume
2020-01-02,16.06,16.06,15.73,16.02,580
2020-01-03,15.95,16.02,15.44,15.69,1380
2020-01-06,15.4,15.69,15.4,15.47,3550
2020-01-07,15.55,15.84,15.49,15.55,3590
2020-01-08,15.55,15.73,15.51,15.66,11380
2020-01-09,15.69,16.24,15.69,16.1,13570
2020-01-10,16.21,16.46,16.1,16.39,4720
2020-01-13,16.46,16.64,16.31,16.64,5850
2020-01-14,16.64,16.72,16.46,16.72,9450
2020-01-15,16.79,16.79,16.46,16.72,3080
2020-01-16,16.46,16.77,16.41,16.77,6240
2020-01-17,16.68,16.68,16.33,16.61,5670
2020-01-20,16.61,16.64,16.46,16.61,2450
2020-01-21,16.61,16.64,16.39,16.46,3580
2020-01-22,16.46,16.61,16.13,16.46,2340
2020-01-30,16.86,17.38,16.79,17.38,15220
2020-01-31,18.0,18.0,17.38,17.74,30130
2020-02-03,17.01,17.38,16.53,17.05,20530
2020-02-04,17.01,17.38,16.97,17.38,12150
2020-02-05,17.56,17.56,17.23,17.38,1140
2020-02-06,17.25,17.52,17.25,17.38,5160
2020-02-07,17.38,17.38,17.01,17.3,2410
2020-02-10,16.83,17.19,16.68,16.72,19130
2020-02-11,16.83,16.83,16.53,16.72,6920
2020-02-12,16.72,16.72,16.46,16.64,5790
2020-02-13,16.64,16.72,16.64,16.68,3180
2020-02-14,16.72,16.83,16.46,16.46,7800
2020-02-17,16.46,16.46,16.1,16.28,20500
2020-02-18,15.84,16.28,15.73,16.02,26700
2020-02-19,16.0,16.28,15.73,16.28,13640
2020-02-20,16.39,16.46,15.91,15.99,980
2020-02-21,16.1,16.5,15.99,16.28,7790
2020-02-24,16.17,16.42,15.91,16.28,14560
2020-02-25,15.91,16.46,15.91,16.46,8320
2020-02-26,16.39,16.55,16.39,16.5,3560
2020-02-27,16.39,16.63,16.39,16.5,3510
2020-02-28,16.39,16.48,16.1,16.39,10460
2020-03-02,16.46,16.46,16.28,16.39,3190
2020-03-03,16.39,16.46,16.28,16.42,10890
2020-03-04,16.57,16.97,16.39,16.97,9760
2020-03-05,16.97,17.12,15.8,16.97,8250
2020-03-06,16.94,16.97,16.46,16.64,3620
2020-03-09,15.73,16.02,15.69,15.73,21770
2020-03-10,15.73,16.39,15.73,16.39,2230
2020-03-11,16.3,16.64,15.8,16.37,6420
2020-03-12,15.77,16.1,15.58,15.73,15890
2020-03-13,15.73,15.75,15.36,15.75,9850
2020-03-16,16.1,16.1,15.77,16.06,2740
2020-03-17,16.1,16.28,15.91,16.02,2750
2020-03-18,16.02,16.06,15.91,16.02,5040
2020-03-19,15.99,16.1,15.66,15.73,4930
2020-03-20,15.77,15.91,15.62,15.88,7710
2020-03-23,15.73,15.88,14.78,15.0,40990
2020-03-24,15.37,15.58,15.37,15.56,5610
2020-03-25,16.31,16.31,15.45,15.9,2100
2020-03-26,15.9,16.01,15.6,15.82,3640
2020-03-27,16.05,16.05,15.75,15.9,860
2020-03-30,15.6,15.6,15.0,15.3,3500
2020-03-31,15.37,15.37,15.0,15.34,1150
2020-04-01,15.19,15.52,15.19,15.52,3100
2020-04-03,15.67,15.67,15.52,15.6,1520
2020-04-06,15.6,15.86,15.49,15.82,7860
2020-04-07,16.01,16.09,15.94,15.94,60
2020-04-08,15.94,15.94,15.75,15.9,650
2020-04-09,16.09,16.2,15.94,15.97,2190
2020-04-10,16.03,16.03,15.71,15.9,4390
2020-04-13,15.82,15.94,15.58,15.82,8780
2020-04-14,15.79,15.82,15.45,15.82,12910
2020-04-15,15.82,16.12,15.52,15.9,3770
2020-04-16,16.01,16.01,15.67,15.94,7590
2020-04-17,15.75,16.01,15.75,15.94,5470
2020-04-20,16.12,16.12,15.67,15.75,8820
2020-04-21,15.67,16.01,15.67,16.01,22480
2020-04-22,15.75,16.2,15.75,16.2,19970
2020-04-23,16.27,16.31,16.01,16.1,3240
2020-04-24,16.01,16.16,16.01,16.16,920
2020-04-27,16.31,16.67,16.16,16.67,44200
2020-04-28,16.69,17.06,16.69,17.04,10620
2020-04-29,17.04,17.04,16.5,16.97,5330
2020-05-04,16.87,17.06,16.5,17.06,6650
2020-05-05,17.06,17.59,17.06,17.38,19370
2020-05-06,17.44,18.0,17.1,18.0,21570
2020-05-07,18.04,18.49,17.66,18.19,8920
2020-05-08,18.37,18.45,18.2,18.26,17550
2020-05-11,18.64,18.64,18.07,18.5,6830
2020-05-12,18.22,18.75,18.22,18.64,6520
2020-05-13,18.3,18.49,18.07,18.34,20570
2020-05-14,18.34,18.37,18.26,18.26,20780
2020-05-15,18.34,18.49,18.22,18.22,11570
2020-05-18,18.19,18.34,18.19,18.34,13470
