time,open,high,low,close,volume
2020-01-02,12.72,14.37,12.72,14.37,310
2020-01-03,12.72,14.37,12.72,14.37,310
2020-01-06,12.72,14.37,12.72,14.37,310
2020-01-07,13.4,13.4,13.4,13.4,10
2020-01-08,12.48,14.29,12.48,14.29,120
2020-01-09,13.32,14.45,13.32,14.45,40
2020-01-10,13.44,13.44,13.44,13.44,10
2020-01-13,12.52,12.52,12.52,12.52,10
2020-01-14,11.67,11.67,11.67,11.67,1000
2020-01-15,11.67,11.67,11.67,11.67,0
2020-01-16,11.67,11.67,11.67,11.67,0
2020-01-17,10.86,10.86,10.86,10.86,1000
2020-01-20,10.86,10.86,10.86,10.86,0
2020-01-21,10.86,10.86,10.86,10.86,0
2020-01-22,10.86,10.86,10.86,10.86,0
2020-01-30,10.21,10.21,10.21,10.21,10
2020-01-31,10.21,10.21,10.21,10.21,0
2020-02-03,10.21,10.21,10.21,10.21,1000
2020-02-04,10.21,10.21,10.21,10.21,0
2020-02-05,10.21,10.21,10.21,10.21,0
2020-02-06,10.25,10.25,10.25,10.25,400
2020-02-07,10.94,10.94,9.61,9.61,40
2020-02-10,10.25,10.25,9.69,9.69,20
2020-02-11,9.77,9.77,9.69,9.69,4420
2020-02-12,9.08,10.34,9.08,10.34,1010
2020-02-13,11.02,11.02,11.02,11.02,900
2020-02-14,10.25,11.79,10.25,11.79,110
2020-02-17,11.79,11.79,11.79,11.79,0
2020-02-18,10.98,10.98,10.98,10.98,150
2020-02-19,10.5,10.5,10.25,10.25,3920
2020-02-20,10.25,10.25,10.25,10.25,0
2020-02-21,10.94,10.94,10.94,10.94,10
2020-02-24,11.22,11.22,11.22,11.22,10
2020-02-25,11.95,11.95,11.95,11.95,10
2020-02-26,11.95,11.95,11.95,11.95,10
2020-02-27,11.14,11.14,11.14,11.14,1050
2020-02-28,10.5,10.5,10.5,10.5,500
2020-03-02,9.85,9.85,9.85,9.85,10
2020-03-03,9.85,9.85,9.85,9.85,0
2020-03-04,9.93,9.93,9.93,9.93,4700
2020-03-05,9.93,9.93,9.93,9.93,0
2020-03-06,9.93,9.93,9.93,9.93,0
2020-03-09,9.93,9.93,9.93,9.93,0
2020-03-10,10.01,10.42,10.01,10.42,450
2020-03-11,10.5,10.5,10.09,10.09,4470
2020-03-12,10.09,10.74,10.09,10.09,10990
2020-03-13,9.69,9.69,9.69,9.69,80
2020-03-16,9.04,9.04,9.04,9.04,50
2020-03-17,9.65,9.65,9.65,9.65,10
2020-03-18,10.3,10.3,10.3,10.3,1000
2020-03-19,9.61,10.3,9.61,9.69,6050
2020-03-20,10.01,10.34,10.01,10.34,110
2020-03-23,10.98,11.02,10.5,11.02,143170
2020-03-24,10.42,11.02,10.42,11.02,510
2020-03-25,11.3,11.3,10.5,11.3,910
2020-03-26,10.66,10.66,10.66,10.66,600
2020-03-27,10.17,10.17,10.17,10.17,600
2020-03-30,10.13,10.86,9.53,9.53,26340
2020-03-31,10.17,10.17,10.17,10.17,10
2020-04-01,10.86,10.86,10.86,10.86,3000
2020-04-03,10.9,10.9,10.9,10.9,2120
2020-04-06,10.9,11.59,10.42,11.59,6020
2020-04-07,10.9,12.39,10.9,12.39,510
2020-04-08,12.11,12.39,12.11,12.39,70
2020-04-09,11.71,11.71,11.71,11.71,20
2020-04-10,10.98,11.06,10.98,10.98,3390
2020-04-13,10.98,10.98,10.42,10.42,3500
2020-04-14,10.42,10.42,10.42,10.42,30
2020-04-15,10.42,11.14,10.42,11.14,2660
2020-04-16,11.91,11.91,11.3,11.71,6030
2020-04-17,12.52,12.52,12.52,12.52,25790
2020-04-20,13.36,13.36,12.11,12.52,4890
2020-04-21,12.11,12.11,11.87,12.11,5180
2020-04-22,11.71,12.96,11.71,12.96,87290
2020-04-23,12.19,12.92,12.19,12.92,900
2020-04-24,12.23,12.27,12.23,12.27,570
2020-04-27,12.92,13.12,12.35,12.35,35550
2020-04-28,12.19,13.2,12.19,12.56,39730
2020-04-29,11.99,12.23,11.99,12.23,1500
2020-05-04,12.11,13.08,12.11,13.08,51030
2020-05-05,12.56,13.53,12.56,13.53,27050
2020-05-06,13.57,13.89,13.57,13.77,14170
2020-05-07,12.92,14.7,12.92,14.7,133490
2020-05-08,14.62,14.62,13.73,13.73,3340
2020-05-11,13.48,14.62,13.4,13.4,2520
2020-05-12,13.44,13.73,13.44,13.73,710
2020-05-13,14.13,14.13,13.0,13.73,22170
2020-05-14,13.48,13.81,13.48,13.65,4910
2020-05-15,13.08,13.97,13.08,13.36,530
2020-05-18,13.36,13.85,13.0,13.53,13050
2020-05-19,13.04,14.45,13.04,13.81,39580
2020-05-20,13.93,14.74,13.93,14.13,85860
2020-05-21,15.1,15.1,13.89,14.94,1480
2020-05-22,15.75,15.75,14.17,14.21,1170
2020-05-25,13.73,13.73,13.32,13.57,890
2020-05-26,13.57,14.49,13.57,14.49,32160
2020-05-27,15.34,15.5,14.57,15.5,41040
2020-05-28,15.75,16.55,15.34,16.55,147530
2020-05-29,16.55,16.71,15.46,16.23,2570
2020-06-01,15.1,16.63,15.1,15.46,2960
2020-06-02,14.78,14.86,14.78,14.86,1560
2020-06-03,14.86,15.75,14.53,14.62,2740
2020-06-04,13.85,14.7,13.85,14.7,5590
2020-06-05,15.67,15.71,15.67,15.71,3100
2020-06-08,15.71,16.8,15.71,16.8,67330
2020-06-09,16.8,16.8,16.8,16.8,3040
2020-06-10,17.36,17.97,15.67,17.97,26600
2020-06-11,19.22,19.22,16.71,16.71,4700
2020-06-12,16.71,17.76,16.15,17.76,2860
2020-06-15,16.96,16.96,16.96,16.96,7400
2020-06-16,15.79,16.88,15.79,15.83,4010
2020-06-17,15.26,15.67,14.86,15.67,110
2020-06-18,15.67,15.67,15.67,15.67,50
2020-06-19,14.86,16.76,14.86,16.76,11880
2020-06-22,17.76,17.76,15.67,17.76,40
2020-06-23,17.76,17.76,17.76,17.76,0
2020-06-24,17.76,17.76,16.55,16.55,1250
2020-06-25,17.68,17.68,16.55,16.55,60
2020-06-26,17.68,17.68,16.96,16.96,8190
2020-06-29,15.83,18.13,15.83,18.13,30
2020-06-30,16.88,16.96,16.88,16.96,50
2020-07-01,15.91,17.93,15.91,17.93,40
2020-07-02,18.57,18.57,16.67,16.71,1290
2020-07-03,17.76,17.85,15.67,17.85,16630
2020-07-06,16.63,17.85,16.63,17.85,80
2020-07-07,16.63,18.33,16.63,16.63,900
2020-07-08,15.75,15.83,15.75,15.75,2010
2020-07-09,16.71,16.71,15.58,16.55,950
2020-07-10,17.68,17.68,16.31,16.8,3080
2020-07-13,17.68,17.68,17.68,17.68,10
2020-07-14,17.76,18.17,17.64,18.17,2560
2020-07-15,18.17,18.17,18.17,18.17,520
2020-07-16,18.17,18.17,18.17,18.17,30
2020-07-17,18.17,18.17,18.17,18.17,550
2020-07-20,16.96,19.42,16.96,19.38,30580
2020-07-21,18.04,18.95,18.04,18.95,30
2020-07-22,17.66,18.86,17.66,18.86,200
2020-07-23,18.09,20.15,18.09,20.15,484380
2020-07-24,20.15,21.45,18.78,21.45,8390
2020-07-27,21.45,21.53,21.45,21.53,1010
2020-07-28,20.67,22.82,20.67,22.82,4070
2020-07-29,21.79,21.96,21.79,21.96,1170
2020-07-30,20.46,20.46,20.46,20.46,130
2020-07-31,19.03,19.03,19.03,19.03,750
2020-08-03,17.74,18.04,17.74,17.79,690
2020-08-04,17.31,17.31,16.8,16.8,270
2020-08-05,15.93,16.45,15.93,16.45,3030
2020-08-06,15.93,16.54,15.93,16.54,1210
2020-08-07,15.93,17.66,15.93,17.66,3150
2020-08-10,16.62,18.86,16.62,17.23,1290
2020-08-11,16.54,18.43,16.54,17.36,1270
2020-08-12,18.56,18.56,16.45,16.88,5300
2020-08-13,18.04,18.04,18.04,18.04,11350
2020-08-14,17.23,19.29,17.23,17.4,7270
2020-08-17,18.52,18.6,18.52,18.6,1850
2020-08-18,18.6,18.78,18.6,18.78,1770
2020-08-19,17.83,20.07,17.83,18.43,3480
2020-08-20,17.57,18.09,17.57,18.09,1180
2020-08-21,17.7,19.34,17.7,18.17,1330
2020-08-24,17.74,17.74,17.74,17.74,900
2020-08-25,17.74,18.95,17.74,18.95,1360
2020-08-26,18.09,19.81,18.09,19.81,510
2020-08-27,18.52,18.52,18.52,18.52,900
2020-08-28,18.52,18.52,18.52,18.52,0
2020-08-31,19.81,19.81,18.39,19.81,3680
2020-09-01,18.56,18.56,18.56,18.56,50
2020-09-03,19.81,19.81,18.6,18.6,1470
2020-09-04,19.12,19.9,18.6,18.6,890
2020-09-07,18.17,19.81,18.17,18.6,1190
2020-09-08,19.9,19.9,18.99,19.9,7100
2020-09-09,20.24,21.1,18.95,21.1,1250
2020-09-10,21.53,22.57,19.81,19.81,11420
2020-09-11,19.85,21.19,19.85,21.19,15250
2020-09-14,19.9,19.9,19.81,19.81,30
2020-09-15,21.19,21.19,21.19,21.19,100
2020-09-16,22.65,22.65,21.27,21.27,4300
2020-09-17,22.74,22.74,21.36,21.36,30
2020-09-18,21.45,22.82,21.45,22.82,50810
2020-09-21,22.82,24.38,21.36,21.36,3820
2020-09-22,20.37,22.82,20.37,22.82,220
2020-09-23,24.42,24.42,21.53,21.7,1680
2020-09-24,23.17,23.21,23.17,23.21,380
2020-09-25,21.79,24.81,21.79,24.81,320
2020-09-28,26.53,26.53,23.69,23.77,8140
2020-09-29,25.37,25.41,25.37,25.41,16910
2020-09-30,23.69,26.7,23.69,26.7,230
2020-10-01,24.89,28.55,24.89,27.56,10840
2020-10-02,28.42,28.42,25.84,28.42,60
2020-10-05,27.99,27.99,27.99,27.99,50
2020-10-06,28.42,28.42,26.1,27.99,790
2020-10-07,27.99,27.99,27.91,27.99,360
2020-10-08,26.05,26.05,26.05,26.05,720
2020-10-09,27.56,27.56,24.25,24.25,40
2020-10-12,24.25,24.25,24.2,24.2,60
2020-10-13,24.2,24.2,22.65,22.65,360
2020-10-14,22.7,22.7,22.65,22.65,150
2020-10-15,22.65,24.2,22.65,22.82,840
2020-10-16,21.53,21.53,21.53,21.53,10
2020-10-19,22.39,23.04,22.14,22.14,500
2020-10-20,23.64,23.64,23.6,23.64,270
2020-10-21,25.28,25.28,24.98,25.28,100
2020-10-22,26.53,26.53,23.51,23.51,30
2020-10-23,23.51,23.51,23.51,23.51,0
2020-10-26,24.89,24.89,22.65,22.65,40
2020-10-27,24.2,24.2,24.2,24.2,30
2020-10-28,25.84,25.84,22.82,22.82,30
2020-10-29,22.82,23.26,22.82,22.82,1560
2020-10-30,22.57,22.91,22.57,22.91,20
2020-11-02,22.39,22.39,22.39,22.39,10
