time,open,high,low,close,volume
2020-01-02,7.47,7.52,7.42,7.47,166570
2020-01-03,7.47,7.57,7.47,7.52,235280
2020-01-06,7.52,7.77,7.47,7.62,737325
2020-01-07,7.72,8.07,7.67,8.02,1312062
2020-01-08,7.97,8.02,7.67,7.67,761870
2020-01-09,8.07,8.07,7.82,7.87,377388
2020-01-10,7.92,7.97,7.77,7.82,552445
2020-01-13,7.82,7.82,7.67,7.67,439510
2020-01-14,7.67,7.77,7.62,7.67,246448
2020-01-15,7.72,7.77,7.62,7.72,347018
2020-01-16,7.72,7.92,7.72,7.87,467220
2020-01-17,7.87,7.92,7.72,7.77,284450
2020-01-20,7.77,7.87,7.72,7.72,319215
2020-01-21,7.72,7.77,7.52,7.72,748098
2020-01-22,7.87,8.42,7.87,8.32,1409227
2020-01-30,8.27,8.57,7.92,8.12,1253573
2020-01-31,8.12,8.22,7.72,7.72,912270
2020-02-03,7.67,7.77,6.97,7.27,1345689
2020-02-04,7.27,7.47,7.02,7.07,1200179
2020-02-05,7.17,7.32,7.17,7.22,527182
2020-02-06,7.32,7.72,7.32,7.67,986451
2020-02-07,7.82,7.82,7.57,7.62,584629
2020-02-10,7.67,7.72,7.42,7.52,362249
2020-02-11,7.52,7.67,7.52,7.57,304860
2020-02-12,7.62,8.17,7.62,8.07,1457150
2020-02-13,8.32,8.57,8.12,8.17,1836202
2020-02-14,8.27,8.27,8.02,8.07,726718
2020-02-17,7.97,8.12,7.87,7.92,878498
2020-02-18,7.92,8.22,7.77,8.12,1034857
2020-02-19,8.12,8.12,7.97,7.97,777820
2020-02-20,8.29,8.39,7.97,8.08,496567
2020-02-21,8.08,8.08,7.81,7.81,606203
2020-02-24,7.66,7.76,7.18,7.18,1574278
2020-02-25,7.03,7.45,6.92,7.39,618444
2020-02-26,7.29,7.39,7.24,7.24,380355
2020-02-27,7.24,7.39,7.24,7.39,178866
2020-02-28,7.18,7.34,7.13,7.24,480580
2020-03-02,7.29,7.29,7.18,7.24,274207
2020-03-03,7.34,7.45,7.24,7.29,508119
2020-03-04,7.29,7.39,7.24,7.39,507188
2020-03-05,7.39,7.5,7.39,7.45,524430
2020-03-06,7.34,7.39,7.29,7.29,263173
2020-03-09,7.18,7.18,6.61,6.61,1333000
2020-03-10,6.56,6.82,6.19,6.71,629130
2020-03-11,6.82,6.92,6.56,6.77,1055550
2020-03-12,6.77,7.18,6.45,6.92,1076997
2020-03-13,6.92,7.13,6.4,7.13,746177
2020-03-16,7.24,7.24,6.82,6.87,348390
2020-03-17,6.82,6.92,6.61,6.92,431910
2020-03-18,6.92,6.92,6.66,6.66,649110
2020-03-19,6.56,6.61,6.29,6.29,817794
2020-03-20,6.29,6.5,5.82,5.87,813392
2020-03-23,5.51,5.72,5.3,5.3,551085
2020-03-24,4.77,5.03,4.77,4.77,2237060
2020-03-25,4.51,5.14,4.3,5.14,1976943
2020-03-26,5.03,5.14,4.72,4.77,575263
2020-03-27,4.77,4.88,4.56,4.56,757562
2020-03-30,4.56,4.56,4.14,4.2,1268341
2020-03-31,3.78,4.41,3.78,4.04,537168
2020-04-01,4.09,4.35,4.09,4.25,685816
2020-04-03,4.25,4.67,4.25,4.67,707249
2020-04-06,4.82,5.09,4.72,5.09,966363
2020-04-07,5.56,5.56,5.14,5.56,2502497
2020-04-08,6.08,6.08,5.61,6.08,1981939
2020-04-09,6.29,6.66,6.14,6.45,1527675
2020-04-10,6.71,6.82,6.03,6.14,1332347
2020-04-13,5.98,6.24,5.98,6.03,1229142
2020-04-14,6.03,6.61,6.03,6.61,2200554
2020-04-15,6.82,7.24,6.82,7.08,2484612
2020-04-16,7.45,7.45,6.87,6.92,1492798
2020-04-17,6.82,7.03,6.77,6.82,1828149
2020-04-20,6.92,7.08,6.66,6.66,1927613
2020-04-21,6.61,6.66,6.03,6.08,2105713
2020-04-22,6.03,6.66,5.87,6.66,1038564
2020-04-23,6.82,6.97,6.45,6.45,851145
2020-04-24,6.45,6.56,6.29,6.45,527841
2020-04-27,6.45,6.82,6.35,6.35,984548
2020-04-28,6.29,6.56,6.29,6.45,1015063
2020-04-29,6.45,6.66,6.4,6.4,1302022
2020-05-04,6.45,6.66,6.4,6.5,754660
2020-05-05,6.5,6.66,6.4,6.4,729340
2020-05-06,6.45,6.56,6.4,6.5,654831
2020-05-07,6.5,6.77,6.5,6.71,1449018
2020-05-08,6.71,6.92,6.56,6.56,1426463
2020-05-11,6.56,6.71,6.56,6.61,928154
2020-05-12,6.61,7.24,6.61,7.24,3962755
2020-05-13,7.39,7.55,7.13,7.13,1868630
2020-05-14,7.13,7.24,6.97,7.18,1195056
2020-05-15,7.13,7.24,7.03,7.03,2129628
2020-05-18,7.08,7.45,7.08,7.13,1395140
2020-05-19,7.39,7.39,7.03,7.03,1972533
2020-05-20,7.03,7.18,6.92,7.08,1345346
2020-05-21,7.13,7.39,7.08,7.24,1482717
2020-05-22,7.24,7.29,7.08,7.08,1250307
2020-05-25,7.08,7.39,6.97,7.39,2363383
2020-05-26,7.39,7.76,7.34,7.6,3073580
2020-05-27,7.66,7.71,7.24,7.24,1925187
2020-05-28,7.29,7.45,7.24,7.24,1193088
2020-05-29,7.24,7.24,7.08,7.13,1056859
2020-06-01,7.18,7.34,7.13,7.24,990689
2020-06-02,7.29,7.55,7.24,7.24,1801286
2020-06-03,7.29,7.34,7.24,7.24,711482
2020-06-04,7.29,7.5,7.24,7.34,1042505
2020-06-05,7.34,7.87,7.29,7.76,3084096
2020-06-08,7.87,8.18,7.71,7.81,3213010
2020-06-09,7.87,7.97,7.6,7.6,1533196
2020-06-10,7.6,7.81,7.5,7.55,1683805
2020-06-11,7.81,7.81,6.97,6.97,2823120
2020-06-12,6.97,7.18,6.4,7.13,1786696
2020-06-15,7.13,7.24,6.71,6.77,1659846
2020-06-16,6.92,7.03,6.82,6.87,799228
2020-06-17,6.87,7.03,6.87,6.87,1102562
2020-06-18,6.87,7.08,6.82,6.92,807525
2020-06-19,6.92,7.13,6.92,7.03,487508
2020-06-22,7.13,7.24,6.97,7.03,603761
2020-06-23,7.03,7.08,6.92,6.92,772924
2020-06-24,6.92,7.03,6.82,6.92,535727
2020-06-25,6.82,6.92,6.77,6.77,566315
2020-06-26,6.82,6.87,6.71,6.71,719930
2020-06-29,6.71,6.71,6.19,6.24,1103976
2020-06-30,6.29,6.5,6.19,6.4,834400
2020-07-01,6.4,6.56,6.29,6.56,342930
2020-07-02,6.56,6.56,6.45,6.56,176622
2020-07-03,6.56,7.03,6.56,6.82,848442
2020-07-06,6.92,6.97,6.82,6.87,434015
2020-07-07,6.92,6.97,6.77,6.82,592934
2020-07-08,6.71,6.87,6.66,6.87,634253
2020-07-09,7.25,7.25,7.02,7.08,903118
2020-07-10,7.08,7.25,6.91,7.08,787210
2020-07-13,7.08,7.14,6.97,7.02,535354
2020-07-14,7.08,7.08,6.97,7.02,427145
2020-07-15,7.08,7.19,7.02,7.02,488316
2020-07-16,7.08,7.31,7.08,7.25,965427
2020-07-17,7.25,7.31,7.19,7.31,447737
2020-07-20,7.25,7.25,7.08,7.08,636174
2020-07-21,7.14,7.14,6.97,7.02,403317
2020-07-22,7.02,7.19,6.97,7.02,392496
2020-07-23,7.02,7.08,6.97,6.97,589250
2020-07-24,6.97,7.08,6.4,6.51,1275817
2020-07-27,6.51,6.51,5.89,5.89,1394560
2020-07-28,5.78,6.29,5.72,6.29,579350
2020-07-29,6.29,6.29,5.66,5.95,836570
2020-07-30,5.95,6.12,5.83,5.95,330399
2020-07-31,5.83,6.12,5.83,6.06,1051226
2020-08-03,6.06,6.46,6.0,6.34,663213
2020-08-04,6.46,6.63,6.4,6.57,769356
2020-08-05,6.57,6.68,6.46,6.51,573420
2020-08-06,6.51,6.51,6.34,6.46,525870
2020-08-07,6.34,6.57,6.34,6.4,483712
2020-08-10,6.4,6.51,6.34,6.4,985576
2020-08-11,6.51,6.51,6.4,6.51,435738
2020-08-12,6.51,6.63,6.51,6.51,412254
2020-08-13,6.51,6.91,6.51,6.74,883083
2020-08-14,6.8,6.8,6.51,6.57,508985
2020-08-17,6.63,6.63,6.46,6.51,452610
2020-08-18,6.51,6.57,6.46,6.46,369523
2020-08-19,6.51,6.57,6.46,6.51,257026
2020-08-20,6.51,6.57,6.46,6.51,418729
2020-08-21,6.51,6.63,6.46,6.57,526140
2020-08-24,6.68,6.74,6.63,6.63,607878
2020-08-25,6.68,6.74,6.63,6.74,980695
2020-08-26,6.68,6.85,6.68,6.74,1198633
2020-08-27,6.8,6.85,6.68,6.68,506939
2020-08-28,6.74,6.85,6.74,6.74,613235
2020-08-31,6.8,6.85,6.63,6.68,640490
2020-09-01,6.68,6.68,6.63,6.68,267462
2020-09-03,6.68,7.25,6.68,7.14,2256310
2020-09-04,7.14,7.25,6.91,7.14,2015490
2020-09-07,7.14,7.36,7.14,7.14,1504696
2020-09-08,7.14,7.19,7.08,7.19,1311607
2020-09-09,7.19,7.19,7.08,7.19,910464
2020-09-10,7.19,7.42,7.19,7.25,982940
2020-09-11,7.25,7.31,7.19,7.19,688044
2020-09-14,7.19,7.36,7.19,7.25,904507
2020-09-15,7.25,7.65,7.25,7.59,2926613
2020-09-16,7.65,7.65,7.48,7.53,740378
2020-09-17,7.53,7.65,7.42,7.48,1103722
2020-09-18,7.48,7.65,7.42,7.65,1545378
2020-09-21,7.7,7.82,7.59,7.59,1971270
2020-09-22,7.59,7.76,7.53,7.59,1362313
2020-09-23,7.65,7.7,7.48,7.53,1027701
2020-09-24,7.53,7.59,7.48,7.53,854044
2020-09-25,7.53,7.59,7.36,7.48,1021898
2020-09-28,7.59,7.59,7.48,7.53,697050
2020-09-29,7.53,7.53,7.25,7.25,1234207
