time,open,high,low,close,volume
2020-01-02,26.54,28.21,26.54,26.88,8610
2020-01-03,28.25,28.25,27.14,27.31,22400
2020-01-06,27.82,28.21,27.82,28.21,20
2020-01-07,28.21,28.21,28.21,28.21,0
2020-01-08,26.54,28.17,26.54,28.17,580
2020-01-09,28.25,28.25,28.21,28.21,2100
2020-01-10,28.21,28.21,28.21,28.21,0
2020-01-13,26.28,28.04,26.28,26.28,316060
2020-01-14,27.99,28.04,27.99,28.04,637490
2020-01-15,29.88,29.88,26.54,26.97,50
2020-01-16,27.78,27.78,27.4,27.78,112860
2020-01-17,27.4,28.89,27.4,28.25,71230
2020-01-20,26.54,28.55,26.54,27.48,40
2020-01-21,28.08,28.08,27.48,27.48,80030
2020-01-22,26.58,28.51,26.58,28.51,80070
2020-01-30,26.54,28.08,26.54,28.08,850
2020-01-31,27.78,27.78,27.78,27.78,100
2020-02-03,27.74,27.74,26.28,26.28,5190
2020-02-04,25.68,27.4,24.91,24.91,7890
2020-02-05,26.03,26.03,24.91,25.64,4870
2020-02-06,25.64,26.5,25.64,26.5,2090
2020-02-07,26.45,26.45,25.81,25.81,3140
2020-02-10,25.68,25.81,24.91,24.91,2080
2020-02-11,25.68,25.68,25.68,25.68,10
2020-02-12,26.11,26.11,25.13,25.13,140
2020-02-13,25.51,25.6,25.26,25.26,3700
2020-02-14,24.91,25.26,24.83,25.26,2150
2020-02-17,23.89,25.26,23.89,25.26,1500
2020-02-18,25.26,25.26,24.48,24.48,850
2020-02-19,26.03,26.03,25.0,25.0,1560
2020-02-20,26.45,26.45,25.68,25.85,1580
2020-02-21,25.85,26.41,25.26,25.26,120520
2020-02-24,25.68,25.68,25.68,25.68,800
2020-02-25,25.68,25.68,24.83,24.83,710
2020-02-26,24.83,25.6,24.83,25.17,4240
2020-02-27,25.6,25.6,25.43,25.43,80
2020-02-28,26.45,26.45,24.83,25.43,730
2020-03-02,25.6,25.68,25.6,25.68,1210
2020-03-03,25.68,25.68,25.68,25.68,800
2020-03-04,25.68,25.68,25.26,25.68,510
2020-03-05,25.6,25.68,25.26,25.26,3580
2020-03-06,24.83,25.26,24.83,24.83,3270
2020-03-09,23.97,23.97,23.8,23.8,2450
2020-03-10,22.17,23.8,22.17,23.8,4190
2020-03-11,23.12,23.8,23.12,23.8,810
2020-03-12,22.26,22.26,22.17,22.17,29080
2020-03-13,20.63,22.17,20.63,21.4,12470
2020-03-16,22.9,22.9,20.97,22.09,3210
2020-03-17,23.54,23.54,22.69,22.69,450
2020-03-18,23.97,23.97,22.69,23.54,2610
2020-03-19,23.12,23.12,22.26,23.03,5010
2020-03-20,22.94,22.94,22.22,22.77,212560
2020-03-23,22.17,22.17,21.19,21.19,5560
2020-03-24,19.73,21.15,19.73,21.1,180
2020-03-25,22.56,22.56,21.15,21.57,1120
2020-03-26,22.94,22.94,20.2,21.23,2890
2020-03-27,19.9,21.06,19.9,21.06,1620
2020-03-30,19.6,20.93,19.6,19.6,8770
2020-03-31,18.24,19.6,18.24,19.52,21680
2020-04-01,18.24,19.09,18.19,18.66,12620
2020-04-03,18.32,18.71,18.32,18.66,49930
2020-04-06,18.66,19.69,18.66,19.56,2890
2020-04-07,19.52,19.69,19.01,19.52,1940
2020-04-08,18.19,19.43,18.19,19.26,38650
2020-04-09,19.26,20.59,18.83,19.95,20780
2020-04-10,20.03,21.32,19.99,21.32,18950
2020-04-13,21.15,22.0,20.2,21.66,366690
2020-04-14,21.83,21.92,20.97,21.45,11010
2020-04-15,22.22,22.22,21.45,21.45,309090
