time,open,high,low,close,volume
2020-01-02,20.93,20.93,20.93,20.93,2800
2020-01-03,20.93,20.93,20.93,20.93,0
2020-01-06,20.93,20.93,20.93,20.93,0
2020-01-07,20.93,20.93,20.93,20.93,0
2020-01-08,20.93,20.93,20.93,20.93,0
2020-01-09,20.93,20.93,20.93,20.93,0
2020-01-10,20.93,20.93,20.93,20.93,0
2020-01-13,20.93,20.93,20.93,20.93,0
2020-01-14,20.93,20.93,20.93,20.93,0
2020-01-15,20.86,20.93,20.86,20.93,400
2020-01-16,20.93,20.93,20.93,20.93,1000
2020-01-17,20.93,20.93,20.93,20.93,0
2020-01-20,20.93,20.93,20.93,20.93,0
2020-01-21,20.93,20.93,20.93,20.93,0
2020-01-22,20.93,20.93,20.93,20.93,0
2020-01-30,20.93,20.93,20.93,20.93,0
2020-01-31,20.93,20.93,20.93,20.93,0
2020-02-03,18.83,19.2,18.83,19.12,1100
2020-02-04,19.12,19.12,19.12,19.12,0
2020-02-05,17.46,20.86,17.46,20.86,200
2020-02-06,20.78,20.78,20.78,20.78,200
2020-02-07,18.98,20.21,18.98,20.21,561
2020-02-10,20.21,20.21,20.21,20.21,0
2020-02-11,20.21,20.21,20.21,20.21,200
2020-02-12,20.21,20.21,20.21,20.21,0
2020-02-13,20.21,21.79,20.21,21.79,400
2020-02-14,21.65,21.65,20.28,20.28,600
2020-02-17,20.28,20.28,20.28,20.28,0
2020-02-18,20.13,20.13,20.13,20.13,4500
2020-02-19,19.77,21.87,19.77,21.87,407
2020-02-20,21.87,21.87,21.87,21.87,0
2020-02-21,21.87,21.87,21.87,21.87,0
2020-02-24,20.21,23.38,20.21,23.38,1200
2020-02-25,21.07,21.07,21.07,21.07,100
2020-02-26,21.07,21.07,21.07,21.07,0
2020-02-27,19.41,19.41,18.98,18.98,300
2020-02-28,18.98,18.98,18.98,18.98,0
2020-03-02,18.11,18.11,18.11,18.11,1000
2020-03-03,18.11,18.11,18.11,18.11,0
2020-03-04,18.11,18.11,18.11,18.11,0
2020-03-05,18.11,18.11,18.11,18.11,0
2020-03-06,18.11,18.11,18.11,18.11,0
2020-03-09,18.11,18.11,18.11,18.11,400
2020-03-10,18.4,18.4,18.4,18.4,1000
2020-03-11,18.4,18.4,18.11,18.11,1200
