time,open,high,low,close,volume
2020-01-02,7.3,7.3,7.09,7.25,16510
2020-01-03,7.25,7.25,7.25,7.25,31910
2020-01-06,7.14,7.25,6.88,7.22,3250
2020-01-07,7.09,7.25,7.09,7.22,27000
2020-01-08,7.17,7.22,7.17,7.22,5030
2020-01-09,7.14,7.22,7.14,7.17,6600
2020-01-10,6.73,7.17,6.73,7.09,13070
2020-01-13,7.09,7.25,6.78,7.25,12100
2020-01-14,7.25,7.25,7.25,7.25,0
2020-01-15,6.78,7.14,6.78,7.14,180
2020-01-16,7.09,7.09,7.09,7.09,20000
2020-01-17,7.04,7.09,7.04,7.09,21210
2020-01-20,7.01,7.01,6.78,7.01,21020
2020-01-21,6.59,7.01,6.59,7.01,22110
2020-01-22,7.04,7.04,7.01,7.01,20500
2020-01-30,6.57,7.09,6.57,7.09,59350
2020-01-31,6.88,7.04,6.88,6.88,31770
2020-02-03,6.88,6.88,6.75,6.78,34050
2020-02-04,6.85,6.85,6.85,6.85,2080
2020-02-05,6.42,7.01,6.42,6.85,2180
2020-02-06,6.77,6.79,6.77,6.79,1550
2020-02-07,6.37,6.77,6.37,6.77,2050
2020-02-10,6.37,6.37,6.37,6.37,430
2020-02-11,6.77,6.77,6.77,6.77,20
2020-02-12,6.77,6.77,6.77,6.77,0
2020-02-13,6.42,6.74,6.31,6.31,38910
2020-02-14,6.47,6.69,6.42,6.69,520
2020-02-17,6.71,6.71,6.55,6.55,2530
2020-02-18,6.31,6.63,6.31,6.58,7920
2020-02-19,6.61,6.61,6.58,6.61,9020
2020-02-20,6.53,6.61,6.47,6.61,21260
2020-02-21,6.34,6.55,6.31,6.31,34720
2020-02-24,6.45,6.53,6.21,6.42,31730
2020-02-25,5.99,6.53,5.99,6.53,25290
2020-02-26,6.42,6.42,6.39,6.39,610
2020-02-27,6.42,6.42,6.02,6.42,39560
2020-02-28,6.37,6.37,5.99,6.1,35220
2020-03-02,6.37,6.37,5.89,6.23,21020
2020-03-03,6.31,6.31,6.13,6.13,15950
2020-03-04,6.31,6.31,5.99,6.31,32440
2020-03-05,6.37,6.53,6.05,6.1,51430
2020-03-06,6.21,6.29,5.89,6.29,17130
2020-03-09,6.05,6.29,6.05,6.29,5910
2020-03-10,6.29,6.37,6.29,6.29,3120
2020-03-11,6.26,6.26,6.05,6.26,4700
2020-03-12,6.29,6.29,5.99,6.26,4450
2020-03-13,6.21,6.21,5.86,6.21,39500
2020-03-16,6.21,6.21,6.21,6.21,400
2020-03-17,6.26,6.26,6.13,6.15,1370
2020-03-18,6.15,6.15,6.15,6.15,1000
2020-03-19,5.75,6.1,5.72,6.1,19480
2020-03-20,6.15,6.21,6.1,6.1,2410
2020-03-23,6.1,6.1,6.1,6.1,0
2020-03-24,6.05,6.05,6.05,6.05,1710
2020-03-25,5.89,5.89,5.89,5.89,3080
2020-03-26,6.02,6.02,6.02,6.02,1510
2020-03-27,6.02,6.02,6.02,6.02,0
2020-03-30,5.94,5.94,5.94,5.94,510
2020-03-31,5.64,6.02,5.62,6.02,33110
2020-04-01,5.89,5.89,5.89,5.89,700
2020-04-03,5.89,5.89,5.78,5.78,1400
2020-04-06,5.91,5.91,5.86,5.86,820
2020-04-07,5.78,5.78,5.72,5.78,1330
2020-04-08,5.97,5.97,5.72,5.75,3190
2020-04-09,5.89,5.89,5.78,5.78,6110
2020-04-10,5.78,5.78,5.62,5.78,2660
2020-04-13,5.7,5.7,5.7,5.7,1270
2020-04-14,5.72,5.72,5.67,5.7,1250
2020-04-15,5.7,5.7,5.7,5.7,10
2020-04-16,5.67,5.67,5.67,5.67,340
2020-04-17,5.67,5.72,5.62,5.72,15970
2020-04-20,5.83,5.83,5.83,5.83,10
2020-04-21,5.81,5.83,5.81,5.83,20
2020-04-22,5.83,5.83,5.83,5.83,0
2020-04-23,5.62,5.64,5.46,5.64,4830
2020-04-24,5.62,5.67,5.62,5.67,600
2020-04-27,5.67,5.7,5.64,5.7,10080
2020-04-28,5.67,5.89,5.67,5.89,6520
2020-04-29,5.89,5.94,5.89,5.89,10310
2020-05-04,5.78,5.78,5.78,5.78,1400
2020-05-05,5.78,5.78,5.78,5.78,22350
2020-05-06,5.86,5.86,5.75,5.81,23010
2020-05-07,5.89,5.89,5.72,5.86,38130
2020-05-08,5.94,5.94,5.51,5.86,40580
2020-05-11,5.72,5.81,5.62,5.81,83000
2020-05-12,5.54,5.78,5.54,5.7,15020
2020-05-13,5.94,5.94,5.62,5.64,24270
2020-05-14,5.75,5.75,5.67,5.7,17030
2020-05-15,5.62,5.7,5.62,5.7,16380
2020-05-18,5.4,5.7,5.4,5.62,2360
2020-05-19,5.75,5.75,5.67,5.72,16550
2020-05-20,5.46,5.72,5.4,5.72,36000
2020-05-21,5.7,5.72,5.43,5.72,12250
2020-05-22,5.62,5.75,5.62,5.72,8450
2020-05-25,5.72,5.72,5.7,5.7,3000
2020-05-26,5.7,5.78,5.67,5.78,30390
2020-05-27,5.83,5.83,5.72,5.72,23020
2020-05-28,5.78,5.81,5.7,5.81,4710
2020-05-29,5.81,5.86,5.72,5.83,4530
2020-06-01,5.78,5.86,5.72,5.86,13560
2020-06-02,5.62,5.89,5.59,5.83,113660
2020-06-03,5.81,5.83,5.64,5.67,18340
2020-06-04,5.67,5.81,5.67,5.81,10500
2020-06-05,5.62,5.81,5.62,5.78,17360
2020-06-08,5.75,5.83,5.75,5.83,33570
2020-06-09,5.83,5.83,5.72,5.72,52300
2020-06-10,5.72,5.72,5.72,5.72,36880
2020-06-11,5.72,5.75,5.59,5.75,18250
2020-06-12,5.64,5.75,5.51,5.7,52830
2020-06-15,5.75,5.75,5.56,5.67,13090
2020-06-16,5.67,5.67,5.54,5.56,36560
2020-06-17,5.56,5.56,5.54,5.56,17530
2020-06-18,5.56,5.56,5.48,5.51,11710
2020-06-19,5.54,5.62,5.54,5.62,11140
2020-06-22,5.62,5.62,5.62,5.62,2820
2020-06-23,5.59,5.62,5.59,5.62,15500
2020-06-24,5.62,5.62,5.51,5.59,7890
2020-06-25,5.51,5.59,5.51,5.59,560
2020-06-26,5.59,5.59,5.59,5.59,0
2020-06-29,5.2,5.56,5.2,5.56,6550
2020-06-30,5.24,5.62,5.24,5.62,7000
2020-07-01,5.46,5.59,5.46,5.59,9880
2020-07-02,5.46,5.59,5.46,5.59,29040
2020-07-03,5.62,5.67,5.56,5.67,179680
2020-07-06,5.59,5.7,5.54,5.7,5750
2020-07-07,5.62,5.67,5.54,5.67,48190
2020-07-08,5.62,5.67,5.62,5.67,3200
2020-07-09,5.67,5.67,5.67,5.67,500
2020-07-10,5.67,5.67,5.67,5.67,1750
2020-07-13,5.59,5.67,5.59,5.67,2500
2020-07-14,5.62,5.67,5.62,5.67,2100
2020-07-15,5.67,5.67,5.67,5.67,0
2020-07-16,5.62,5.67,5.59,5.67,7110
2020-07-17,5.62,5.67,5.62,5.67,2500
2020-07-20,5.64,5.67,5.59,5.67,10010
2020-07-21,5.62,5.72,5.62,5.72,10980
2020-07-22,5.75,5.78,5.67,5.78,189580
2020-07-23,5.89,5.89,5.86,5.86,6170
2020-07-24,5.62,5.83,5.62,5.83,40
2020-07-27,5.83,5.83,5.43,5.78,4220
2020-07-28,5.78,5.78,5.46,5.78,1320
2020-07-29,5.46,5.64,5.38,5.64,3680
2020-07-30,5.35,5.72,5.26,5.72,5270
2020-07-31,5.72,5.72,5.67,5.67,3010
2020-08-03,5.62,5.67,5.51,5.67,13670
2020-08-04,5.67,5.67,5.51,5.54,730
2020-08-05,5.89,5.89,5.46,5.67,8050
2020-08-06,5.67,5.67,5.56,5.67,6370
2020-08-07,5.67,5.67,5.67,5.67,2580
2020-08-10,5.67,5.83,5.62,5.67,11260
2020-08-11,5.67,5.67,5.62,5.67,2600
2020-08-12,5.62,5.67,5.62,5.67,8500
2020-08-13,5.62,5.62,5.62,5.62,13010
2020-08-14,5.56,5.67,5.54,5.67,23640
2020-08-17,5.64,5.67,5.64,5.67,3000
2020-08-18,5.62,5.67,5.62,5.67,3100
2020-08-19,5.62,5.67,5.62,5.67,11010
2020-08-20,5.56,5.72,5.56,5.72,5510
2020-08-21,5.78,5.78,5.67,5.67,1850
2020-08-24,5.67,5.72,5.67,5.7,15100
2020-08-25,5.75,5.75,5.72,5.75,4310
2020-08-26,5.75,5.81,5.72,5.81,6100
2020-08-27,5.81,5.81,5.81,5.81,2890
2020-08-28,5.81,5.83,5.64,5.83,11750
2020-08-31,5.64,5.83,5.62,5.83,19110
2020-09-01,5.83,5.83,5.56,5.83,75700
2020-09-03,5.81,5.81,5.78,5.81,1000
2020-09-04,5.81,5.81,5.78,5.81,2000
2020-09-07,5.72,5.75,5.72,5.75,5380
2020-09-08,5.56,5.75,5.56,5.75,510
2020-09-09,5.75,5.75,5.75,5.75,1000
2020-09-10,5.56,5.75,5.56,5.75,3010
2020-09-11,5.62,5.75,5.62,5.75,10600
2020-09-14,5.72,5.75,5.62,5.75,21320
2020-09-15,5.72,5.72,5.72,5.72,1480
2020-09-16,5.62,5.62,5.62,5.62,20
2020-09-17,5.62,5.62,5.62,5.62,22620
2020-09-18,5.59,5.72,5.59,5.67,1560
2020-09-21,5.72,5.72,5.67,5.72,11510
2020-09-22,5.67,5.72,5.67,5.72,2300
2020-09-23,5.75,5.78,5.72,5.78,10000
2020-09-24,5.78,5.78,5.78,5.78,68210
2020-09-25,5.81,5.81,5.78,5.78,20090
2020-09-28,5.78,5.78,5.78,5.78,44620
2020-09-29,5.78,5.78,5.78,5.78,500
2020-09-30,5.78,5.81,5.75,5.78,21010
2020-10-01,5.75,5.83,5.75,5.81,31870
2020-10-02,5.83,5.86,5.78,5.86,55880
2020-10-05,5.86,5.94,5.86,5.94,13220
2020-10-06,5.89,5.94,5.89,5.94,5650
2020-10-07,5.94,5.94,5.78,5.89,51790
2020-10-08,5.89,5.89,5.78,5.89,37400
2020-10-09,5.89,5.89,5.83,5.89,14200
2020-10-12,5.89,5.89,5.89,5.89,113980
2020-10-13,5.89,5.94,5.89,5.91,28290
2020-10-14,5.89,5.94,5.89,5.94,32880
2020-10-15,6.24,6.24,5.89,6.18,16780
2020-10-16,5.95,6.18,5.95,6.18,33550
2020-10-19,6.18,6.24,6.18,6.18,11050
2020-10-20,6.12,6.24,6.07,6.18,80510
2020-10-21,6.18,6.24,6.07,6.21,60170
2020-10-22,6.18,6.18,6.12,6.18,3170
2020-10-23,6.18,6.18,6.18,6.18,14930
2020-10-26,6.07,6.21,5.83,6.12,9570
2020-10-27,5.7,6.12,5.7,6.12,2600
2020-10-28,5.83,6.12,5.83,6.12,1220
2020-10-29,6.12,6.12,6.07,6.12,2500
2020-10-30,6.18,6.18,6.18,6.18,2700
2020-11-02,6.12,6.12,6.12,6.12,500
2020-11-03,6.12,6.12,6.07,6.12,74560
2020-11-04,6.12,6.12,6.12,6.12,2090
2020-11-05,6.12,6.21,6.12,6.21,26030
2020-11-06,6.21,6.21,6.21,6.21,3500
2020-11-09,6.12,6.24,6.12,6.24,26960
2020-11-10,6.3,6.33,6.18,6.33,2750
2020-11-11,6.42,6.42,6.42,6.42,2600
2020-11-12,6.42,6.44,6.24,6.42,22760
2020-11-13,6.77,6.79,6.12,6.71,7210
2020-11-16,6.82,7.12,6.53,7.12,30320
2020-11-17,7.06,7.06,6.65,6.97,7910
2020-11-18,6.59,6.97,6.59,6.97,610
2020-11-19,6.97,6.97,6.5,6.97,900
2020-11-20,6.53,6.53,6.53,6.53,3400
2020-11-23,6.53,6.71,6.53,6.53,2040
2020-11-24,6.53,6.88,6.53,6.59,33010
2020-11-25,6.82,6.88,6.77,6.88,30080
2020-11-26,6.88,6.88,6.82,6.88,42670
2020-11-27,6.88,7.0,6.71,7.0,35050
2020-11-30,7.0,7.0,6.85,7.0,19200
2020-12-01,7.23,7.23,6.88,7.0,37570
2020-12-02,6.94,7.0,6.88,7.0,84770
2020-12-03,6.94,6.94,6.94,6.94,19240
2020-12-04,6.77,6.97,6.77,6.97,150
2020-12-07,7.0,7.0,7.0,7.0,4850
2020-12-08,7.0,7.0,7.0,7.0,4220
2020-12-09,6.94,7.0,6.88,7.0,71290
2020-12-10,6.91,6.91,6.88,6.88,6300
