time,open,high,low,close,volume
2020-01-02,17.92,17.92,17.72,17.72,31400
2020-01-03,17.92,17.92,17.45,17.45,79293
2020-01-06,17.45,17.45,17.32,17.32,135356
2020-01-07,17.32,17.32,17.25,17.25,61150
2020-01-08,17.25,17.32,16.92,16.98,250311
2020-01-09,18.05,18.05,16.85,16.98,89703
2020-01-10,16.85,17.12,15.38,17.12,125029
2020-01-13,17.12,17.12,16.78,17.12,113700
2020-01-14,16.85,17.12,16.85,17.12,96510
2020-01-15,16.85,17.12,16.85,17.12,38480
2020-01-16,16.92,17.12,16.85,17.12,157500
2020-01-17,17.12,17.32,17.05,17.25,26016
2020-01-20,17.25,17.25,17.05,17.25,19530
2020-01-21,17.25,17.25,16.98,17.25,148900
2020-01-22,17.18,17.18,16.98,17.18,92147
2020-01-30,17.18,17.25,16.78,17.25,118390
2020-01-31,17.05,17.18,16.92,16.92,60110
2020-02-03,16.38,16.92,16.25,16.92,58100
2020-02-04,16.72,16.92,16.72,16.92,123100
2020-02-05,16.78,16.92,16.65,16.78,185210
2020-02-06,16.78,16.78,16.72,16.78,90406
2020-02-07,16.72,16.78,16.65,16.78,44289
2020-02-10,16.78,16.78,16.65,16.78,114800
2020-02-11,16.72,16.78,16.65,16.78,148640
2020-02-12,16.78,16.85,16.65,16.78,103554
2020-02-13,16.65,16.78,16.58,16.78,43900
2020-02-14,16.58,16.72,16.58,16.58,53989
2020-02-17,16.78,16.78,16.52,16.58,37830
2020-02-18,16.58,16.58,16.52,16.58,30205
2020-02-19,16.58,16.58,16.52,16.58,9603
2020-02-20,16.52,16.58,16.52,16.58,51910
2020-02-21,16.45,16.58,16.38,16.58,35040
2020-02-24,16.45,16.45,16.05,16.11,116062
2020-02-25,15.38,16.18,15.38,16.18,73700
2020-02-26,16.11,16.25,15.91,16.25,63800
2020-02-27,16.18,16.38,16.05,16.38,75310
2020-02-28,16.05,16.72,16.05,16.72,116020
2020-03-02,16.72,16.98,16.65,16.98,22300
2020-03-03,17.05,17.39,17.05,17.12,148561
2020-03-04,17.12,17.45,16.92,17.05,63800
2020-03-05,16.92,17.12,16.92,17.05,54300
2020-03-06,16.92,17.05,16.72,17.05,83099
2020-03-09,16.98,17.25,16.11,16.78,203100
2020-03-10,16.38,16.85,16.38,16.52,165200
2020-03-11,16.58,16.72,16.38,16.72,92600
2020-03-12,16.05,16.72,16.05,16.72,90302
