time,open,high,low,close,volume
2020-01-02,52.18,53.89,52.18,52.93,248413
2020-01-03,53.0,53.0,49.59,50.33,268809
2020-01-06,50.33,50.33,48.11,48.48,339032
2020-01-07,48.85,49.52,48.19,49.45,222489
2020-01-08,48.85,50.04,47.82,49.82,438660
2020-01-09,49.89,50.85,49.82,49.82,176423
2020-01-10,49.96,50.04,48.78,48.85,197675
2020-01-13,48.78,49.0,48.11,48.11,144544
2020-01-14,48.56,48.63,47.0,47.08,204558
2020-01-15,47.23,49.45,46.41,49.45,485344
2020-01-16,49.45,50.19,49.15,49.89,237238
2020-01-17,49.89,50.48,49.37,49.96,192337
2020-01-20,49.89,49.96,48.78,48.78,158634
2020-01-21,49.15,50.63,48.71,49.96,250586
2020-01-22,50.04,51.07,49.45,51.07,176439
2020-01-30,51.07,51.07,48.48,50.19,249480
2020-01-31,49.3,50.19,48.48,48.48,227875
2020-02-03,48.11,48.34,45.74,47.74,481780
2020-02-04,47.37,48.19,46.34,46.78,159220
2020-02-05,47.08,48.11,47.08,47.97,180810
2020-02-06,47.97,49.96,47.97,49.96,265856
2020-02-07,50.33,54.63,49.37,53.15,547036
2020-02-10,53.07,54.63,51.52,54.48,362442
2020-02-11,54.48,55.15,53.74,53.81,220124
2020-02-12,53.89,55.66,53.67,54.11,245187
2020-02-13,54.48,56.92,53.67,55.96,481918
2020-02-14,55.96,57.0,55.66,56.33,242507
2020-02-17,56.33,56.55,55.0,55.52,195090
2020-02-18,55.37,57.88,55.0,57.0,305944
2020-02-19,57.14,57.44,55.96,56.26,111569
2020-02-20,56.77,57.14,56.11,56.33,178870
2020-02-21,57.02,57.02,55.27,55.42,160490
2020-02-24,54.73,54.73,50.17,50.17,555619
2020-02-25,49.41,52.3,48.42,51.69,270055
2020-02-26,50.17,51.69,49.79,50.93,158130
2020-02-27,50.86,52.38,50.4,52.3,137548
2020-02-28,51.69,51.92,50.55,51.01,289020
2020-03-02,50.93,51.92,50.86,51.24,201237
2020-03-03,52.45,52.45,51.39,51.54,126298
2020-03-04,51.31,51.47,50.63,51.09,166573
2020-03-05,51.69,52.76,51.24,51.69,330171
2020-03-06,51.31,51.47,50.93,51.47,148326
2020-03-09,50.17,50.17,46.37,46.37,529759
2020-03-10,44.17,48.35,41.74,47.82,328497
2020-03-11,48.2,48.42,43.71,45.61,371609
2020-03-12,44.09,45.23,41.05,41.05,844692
