time,open,high,low,close,volume
2020-01-02,4.64,4.72,4.64,4.69,371400
2020-01-03,4.69,4.72,4.64,4.67,391030
2020-01-06,4.67,4.67,4.59,4.59,359794
2020-01-07,4.59,4.64,4.59,4.59,114862
2020-01-08,4.59,4.59,4.51,4.51,516075
2020-01-09,4.51,4.61,4.51,4.53,559354
2020-01-10,4.56,4.59,4.51,4.53,720409
2020-01-13,4.56,4.64,4.53,4.61,527921
2020-01-14,4.59,4.67,4.59,4.67,359137
2020-01-15,4.67,4.67,4.61,4.61,379187
2020-01-16,4.61,4.72,4.61,4.67,690910
2020-01-17,4.67,4.75,4.61,4.64,805973
2020-01-20,4.64,4.75,4.61,4.67,1253362
2020-01-21,4.69,4.77,4.69,4.75,1106015
2020-01-22,4.75,4.77,4.69,4.75,584350
2020-01-30,4.72,4.72,4.59,4.61,848096
2020-01-31,4.61,4.61,4.53,4.56,988717
2020-02-03,4.48,4.56,4.4,4.56,1299169
2020-02-04,4.56,4.59,4.48,4.59,712734
2020-02-05,4.59,4.67,4.59,4.61,742628
2020-02-06,4.64,4.72,4.59,4.72,760378
2020-02-07,4.69,4.69,4.64,4.67,360258
2020-02-10,4.67,4.67,4.53,4.53,743200
2020-02-11,4.59,4.61,4.56,4.61,491576
2020-02-12,4.59,4.72,4.59,4.67,653767
2020-02-13,4.67,4.93,4.64,4.85,3715862
2020-02-14,4.83,4.99,4.8,4.91,1963866
2020-02-17,4.93,4.96,4.85,4.88,973460
2020-02-18,4.88,4.91,4.77,4.77,1518563
2020-02-19,4.8,4.83,4.77,4.83,992359
2020-02-20,4.83,4.91,4.8,4.88,597245
2020-02-21,4.85,5.12,4.85,5.01,4777915
2020-02-24,5.01,5.01,4.72,4.77,2291673
2020-02-25,4.69,4.85,4.64,4.8,1761731
2020-02-26,4.75,4.8,4.61,4.75,1730855
2020-02-27,4.75,4.93,4.72,4.91,1355949
2020-02-28,4.85,4.88,4.77,4.83,1909126
2020-03-02,4.8,4.91,4.75,4.88,1282104
2020-03-03,4.88,4.99,4.88,4.88,1753520
2020-03-04,4.88,4.91,4.85,4.91,717445
2020-03-05,4.91,4.99,4.83,4.85,1430847
2020-03-06,4.91,4.91,4.77,4.85,878862
2020-03-09,4.77,4.77,4.08,4.29,5896152
2020-03-10,4.27,4.59,4.24,4.56,2161508
2020-03-11,4.59,4.59,4.24,4.43,2299550
2020-03-12,4.29,4.35,4.05,4.19,2366087
2020-03-13,4.0,4.24,3.84,4.11,2739933
2020-03-16,4.13,4.16,3.97,4.03,1053796
2020-03-17,4.0,4.05,3.84,4.0,1369993
2020-03-18,3.97,4.08,3.97,4.0,609580
2020-03-19,4.0,4.03,3.87,3.92,764288
2020-03-20,3.92,3.97,3.89,3.92,324349
2020-03-23,3.89,3.92,3.44,3.49,1989844
2020-03-24,3.55,3.63,3.49,3.63,807017
2020-03-25,3.68,3.89,3.65,3.87,1192400
2020-03-26,3.79,3.89,3.65,3.68,648007
2020-03-27,3.63,3.76,3.63,3.65,310649
2020-03-30,3.47,3.63,3.31,3.39,900039
2020-03-31,3.44,3.55,3.33,3.41,925612
2020-04-01,3.44,3.55,3.41,3.52,294770
2020-04-03,3.52,3.63,3.49,3.6,795050
2020-04-06,3.6,3.84,3.6,3.81,1020978
2020-04-07,3.84,3.92,3.73,3.81,650240
2020-04-08,3.81,3.81,3.71,3.76,592808
2020-04-09,3.79,3.84,3.76,3.84,1074312
2020-04-10,3.84,3.84,3.76,3.79,612012
2020-04-13,3.79,3.87,3.73,3.79,551333
2020-04-14,3.81,3.87,3.76,3.79,576043
2020-04-15,3.81,4.0,3.81,3.89,2079760
2020-04-16,3.92,3.95,3.84,3.92,488261
2020-04-17,3.92,4.03,3.92,3.92,1244355
2020-04-20,3.97,4.08,3.92,3.95,1312060
2020-04-21,4.0,4.05,3.79,3.84,1196775
2020-04-22,3.79,3.92,3.71,3.87,928810
2020-04-23,3.87,3.97,3.87,3.87,353550
2020-04-24,3.87,3.89,3.84,3.84,363171
2020-04-27,3.84,3.89,3.79,3.84,466516
2020-04-28,3.84,3.87,3.79,3.87,385960
2020-04-29,3.87,3.89,3.84,3.87,418833
2020-05-04,3.87,3.87,3.81,3.81,350874
2020-05-05,3.81,3.84,3.79,3.81,207333
2020-05-06,3.81,3.89,3.81,3.84,527580
2020-05-07,3.81,3.89,3.81,3.87,339828
2020-05-08,3.87,4.03,3.87,3.95,1165615
2020-05-11,3.95,4.08,3.92,4.08,1287559
2020-05-12,4.08,4.11,4.0,4.11,980524
2020-05-13,4.05,4.13,4.03,4.08,619390
2020-05-14,4.08,4.08,4.03,4.05,822910
2020-05-15,4.05,4.08,3.97,4.0,572365
2020-05-18,4.0,4.03,3.97,4.03,501442
2020-05-19,4.05,4.13,4.05,4.08,1086727
2020-05-20,4.08,4.08,4.03,4.03,783043
2020-05-21,4.05,4.13,4.03,4.11,887025
2020-05-22,4.11,4.27,4.08,4.16,1648500
2020-05-25,4.21,4.32,4.11,4.27,1546574
2020-05-26,4.27,4.4,4.24,4.37,949626
2020-05-27,4.37,4.43,4.29,4.32,2058493
2020-05-28,4.32,4.35,4.27,4.32,912036
2020-05-29,4.32,4.37,4.29,4.35,654976
2020-06-01,4.35,4.56,4.35,4.51,2093625
2020-06-02,4.51,4.59,4.45,4.53,992502
2020-06-03,4.53,4.72,4.53,4.72,2254645
2020-06-04,4.69,4.8,4.69,4.72,1346102
2020-06-05,4.72,4.75,4.64,4.69,1715045
2020-06-08,4.69,4.8,4.67,4.77,1170012
2020-06-09,4.75,4.8,4.69,4.8,1939347
2020-06-10,4.77,4.77,4.67,4.75,1027828
2020-06-11,4.72,4.8,4.48,4.53,2450732
2020-06-12,4.4,4.67,4.4,4.61,1384928
2020-06-15,4.61,4.64,4.45,4.51,894516
2020-06-16,4.53,4.61,4.51,4.59,910998
2020-06-17,4.61,4.61,4.53,4.56,508649
2020-06-18,4.56,4.61,4.53,4.61,216642
2020-06-19,4.56,4.69,4.56,4.67,379358
2020-06-22,4.69,4.69,4.64,4.67,452918
2020-06-23,4.67,4.69,4.61,4.67,497628
2020-06-24,4.67,4.75,4.64,4.69,613284
2020-06-25,4.59,4.75,4.59,4.75,795653
2020-06-26,4.75,4.75,4.67,4.69,444060
2020-06-29,4.69,4.69,4.59,4.64,695034
2020-06-30,4.67,4.72,4.59,4.64,505813
2020-07-01,4.67,4.72,4.64,4.72,504327
2020-07-02,4.72,4.75,4.67,4.72,1319895
2020-07-03,4.75,4.75,4.72,4.72,440727
2020-07-06,4.72,4.75,4.67,4.72,725536
2020-07-07,4.75,4.77,4.72,4.75,700953
2020-07-08,4.75,4.99,4.72,4.91,1859618
2020-07-09,4.91,5.07,4.91,5.01,1546175
2020-07-10,5.01,5.01,4.88,4.93,1130622
2020-07-13,4.93,5.01,4.88,4.91,609791
2020-07-14,4.91,4.93,4.88,4.91,366626
2020-07-15,4.93,5.12,4.91,5.07,2018401
2020-07-16,5.07,5.25,5.07,5.2,1977932
2020-07-17,5.23,5.23,5.15,5.23,960045
2020-07-20,5.23,5.31,5.2,5.28,1786914
2020-07-21,5.25,5.39,5.25,5.39,1561773
2020-07-22,5.44,5.55,5.39,5.47,1767643
2020-07-23,5.47,5.52,5.33,5.41,1273565
2020-07-24,5.41,5.41,5.04,5.15,3268484
2020-07-27,5.07,5.07,4.67,4.72,3379143
