time,open,high,low,close,volume
2020-01-02,1.61,1.65,1.58,1.58,120060
2020-01-03,1.64,1.64,1.56,1.63,591350
2020-01-06,1.61,1.63,1.58,1.58,29100
2020-01-07,1.58,1.6,1.56,1.6,64000
2020-01-08,1.58,1.6,1.56,1.56,109930
2020-01-09,1.58,1.58,1.56,1.56,24230
2020-01-10,1.56,1.57,1.55,1.57,49800
2020-01-13,1.57,1.57,1.53,1.53,45860
2020-01-14,1.5,1.56,1.5,1.56,12800
2020-01-15,1.53,1.57,1.52,1.55,17020
2020-01-16,1.55,1.57,1.5,1.57,30890
2020-01-17,1.55,1.59,1.51,1.56,40150
2020-01-20,1.51,1.62,1.51,1.59,107140
2020-01-21,1.6,1.6,1.54,1.59,21800
2020-01-22,1.59,1.6,1.59,1.6,10290
2020-01-30,1.6,1.6,1.55,1.58,168880
2020-01-31,1.58,1.58,1.51,1.58,58660
2020-02-03,1.52,1.56,1.47,1.56,56310
2020-02-04,1.56,1.66,1.5,1.66,251150
2020-02-05,1.75,1.76,1.7,1.74,229350
2020-02-06,1.74,1.86,1.74,1.82,865950
2020-02-07,1.82,1.82,1.71,1.76,115230
2020-02-10,1.76,1.76,1.65,1.69,134120
2020-02-11,1.69,1.69,1.58,1.59,315730
2020-02-12,1.59,1.67,1.59,1.63,33720
2020-02-13,1.62,1.67,1.6,1.67,141870
2020-02-14,1.67,1.67,1.6,1.61,115160
2020-02-17,1.59,1.64,1.57,1.59,72670
2020-02-18,1.58,1.6,1.56,1.58,160620
2020-02-19,1.61,1.69,1.55,1.69,312800
2020-02-20,1.69,1.7,1.61,1.67,150760
2020-02-21,1.65,1.78,1.62,1.67,317920
2020-02-24,1.64,1.65,1.56,1.57,343270
2020-02-25,1.52,1.62,1.52,1.62,85290
2020-02-26,1.62,1.62,1.55,1.61,75180
2020-02-27,1.61,1.61,1.57,1.57,48090
2020-02-28,1.6,1.6,1.55,1.57,97790
2020-03-02,1.57,1.57,1.53,1.53,310400
2020-03-03,1.53,1.6,1.53,1.56,158700
2020-03-04,1.57,1.58,1.56,1.58,91600
2020-03-05,1.58,1.65,1.57,1.62,498780
2020-03-06,1.62,1.62,1.59,1.6,173950
2020-03-09,1.53,1.55,1.49,1.49,530930
2020-03-10,1.4,1.55,1.4,1.54,41590
2020-03-11,1.55,1.58,1.44,1.46,242150
2020-03-12,1.46,1.46,1.36,1.36,610610
2020-03-13,1.3,1.4,1.27,1.4,321600
2020-03-16,1.33,1.43,1.33,1.42,109760
2020-03-17,1.39,1.39,1.34,1.39,83710
2020-03-18,1.33,1.41,1.33,1.39,211390
2020-03-19,1.36,1.39,1.33,1.33,124080
2020-03-20,1.37,1.42,1.37,1.42,286690
2020-03-23,1.42,1.44,1.33,1.37,199910
2020-03-24,1.37,1.44,1.34,1.37,60570
2020-03-25,1.37,1.45,1.35,1.39,141280
2020-03-26,1.37,1.38,1.34,1.34,86070
2020-03-27,1.34,1.36,1.31,1.33,63390
2020-03-30,1.33,1.33,1.24,1.24,43670
2020-03-31,1.19,1.29,1.19,1.24,107500
2020-04-01,1.22,1.28,1.22,1.28,34060
2020-04-03,1.28,1.36,1.28,1.35,165490
2020-04-06,1.34,1.34,1.31,1.34,335190
2020-04-07,1.34,1.35,1.31,1.35,49620
2020-04-08,1.34,1.34,1.31,1.34,52060
2020-04-09,1.32,1.38,1.32,1.37,214650
2020-04-10,1.35,1.39,1.35,1.37,67750
2020-04-13,1.37,1.37,1.34,1.34,185070
2020-04-14,1.33,1.36,1.31,1.34,56760
2020-04-15,1.32,1.36,1.32,1.36,78680
2020-04-16,1.35,1.36,1.32,1.36,299000
2020-04-17,1.36,1.43,1.35,1.42,119350
2020-04-20,1.4,1.49,1.4,1.49,287840
2020-04-21,1.4,1.45,1.39,1.4,224070
2020-04-22,1.39,1.43,1.35,1.43,109070
2020-04-23,1.43,1.46,1.4,1.46,52210
2020-04-24,1.45,1.45,1.36,1.4,239300
2020-04-27,1.41,1.43,1.34,1.36,80280
2020-04-28,1.35,1.4,1.33,1.4,19720
2020-04-29,1.4,1.41,1.38,1.4,43830
2020-05-04,1.4,1.4,1.35,1.35,80580
2020-05-05,1.35,1.37,1.35,1.37,33570
2020-05-06,1.37,1.37,1.35,1.36,73380
2020-05-07,1.36,1.36,1.34,1.36,99920
2020-05-08,1.37,1.38,1.34,1.36,76770
2020-05-11,1.36,1.36,1.33,1.36,153700
2020-05-12,1.36,1.38,1.35,1.36,51040
2020-05-13,1.36,1.45,1.36,1.43,328210
2020-05-14,1.43,1.43,1.4,1.42,123930
2020-05-15,1.42,1.42,1.37,1.4,99080
2020-05-18,1.39,1.4,1.38,1.39,77100
2020-05-19,1.39,1.39,1.37,1.37,69900
2020-05-20,1.37,1.41,1.36,1.38,179660
2020-05-21,1.39,1.47,1.37,1.47,1011330
2020-05-22,1.47,1.47,1.42,1.44,155930
2020-05-25,1.44,1.44,1.37,1.39,256120
2020-05-26,1.39,1.46,1.37,1.42,419550
2020-05-27,1.42,1.45,1.41,1.42,196420
2020-05-28,1.42,1.43,1.4,1.4,24250
2020-05-29,1.41,1.45,1.38,1.44,349850
2020-06-01,1.44,1.51,1.4,1.48,875630
2020-06-02,1.5,1.51,1.48,1.49,446070
2020-06-03,1.5,1.5,1.46,1.49,182910
2020-06-04,1.49,1.5,1.45,1.48,443580
2020-06-05,1.48,1.57,1.46,1.57,690110
2020-06-08,1.63,1.66,1.58,1.61,831840
2020-06-09,1.65,1.66,1.56,1.56,516720
2020-06-10,1.54,1.66,1.5,1.66,1626860
2020-06-11,1.77,1.77,1.7,1.7,1380270
2020-06-12,1.59,1.7,1.59,1.7,793230
2020-06-15,1.76,1.76,1.62,1.66,682770
2020-06-16,1.66,1.75,1.63,1.74,709300
2020-06-17,1.74,1.76,1.69,1.7,308620
2020-06-18,1.7,1.71,1.66,1.7,227490
2020-06-19,1.64,1.7,1.64,1.68,322440
2020-06-22,1.64,1.7,1.61,1.64,301950
2020-06-23,1.64,1.64,1.6,1.61,237680
2020-06-24,1.61,1.63,1.57,1.57,219450
2020-06-25,1.6,1.6,1.53,1.58,127500
2020-06-26,1.58,1.6,1.55,1.56,63580
2020-06-29,1.56,1.56,1.46,1.47,473860
2020-06-30,1.47,1.53,1.42,1.42,261330
2020-07-01,1.48,1.48,1.41,1.48,127450
2020-07-02,1.47,1.47,1.42,1.43,73430
2020-07-03,1.49,1.5,1.43,1.48,92450
2020-07-06,1.48,1.58,1.47,1.55,151990
2020-07-07,1.52,1.59,1.5,1.5,166990
2020-07-08,1.57,1.57,1.5,1.5,149050
2020-07-09,1.5,1.52,1.46,1.5,322040
2020-07-10,1.53,1.53,1.49,1.5,58120
2020-07-13,1.5,1.52,1.45,1.48,431570
2020-07-14,1.49,1.49,1.46,1.47,85260
2020-07-15,1.51,1.51,1.45,1.47,158400
2020-07-16,1.47,1.5,1.44,1.46,159860
2020-07-17,1.47,1.48,1.45,1.46,51700
2020-07-20,1.46,1.46,1.44,1.45,284120
2020-07-21,1.45,1.48,1.43,1.48,305940
2020-07-22,1.5,1.5,1.44,1.45,56790
2020-07-23,1.45,1.45,1.42,1.45,184040
2020-07-24,1.45,1.47,1.38,1.4,255800
2020-07-27,1.32,1.37,1.31,1.31,420860
2020-07-28,1.31,1.33,1.26,1.31,300630
2020-07-29,1.31,1.31,1.25,1.26,159930
2020-07-30,1.31,1.31,1.24,1.26,68110
2020-07-31,1.27,1.29,1.26,1.29,244290
2020-08-03,1.31,1.33,1.3,1.32,72150
2020-08-04,1.35,1.38,1.33,1.36,41710
2020-08-05,1.37,1.37,1.33,1.36,110090
2020-08-06,1.36,1.39,1.35,1.38,128440
2020-08-07,1.39,1.39,1.36,1.39,27140
2020-08-10,1.4,1.4,1.36,1.39,63130
2020-08-11,1.36,1.4,1.36,1.39,42590
2020-08-12,1.37,1.4,1.37,1.39,237980
2020-08-13,1.39,1.4,1.36,1.39,15440
2020-08-14,1.39,1.41,1.38,1.41,166500
2020-08-17,1.38,1.45,1.38,1.45,271410
2020-08-18,1.47,1.5,1.42,1.42,88560
2020-08-19,1.43,1.44,1.41,1.42,88800
2020-08-20,1.42,1.43,1.4,1.42,40700
2020-08-21,1.41,1.43,1.41,1.41,77200
2020-08-24,1.41,1.45,1.41,1.43,114260
2020-08-25,1.44,1.47,1.39,1.41,160300
2020-08-26,1.41,1.45,1.38,1.41,201560
2020-08-27,1.4,1.49,1.4,1.47,209710
2020-08-28,1.49,1.57,1.49,1.57,633760
2020-08-31,1.6,1.64,1.55,1.6,513700
2020-09-01,1.58,1.58,1.51,1.54,347830
2020-09-03,1.52,1.57,1.49,1.53,293510
2020-09-04,1.46,1.53,1.46,1.48,283560
2020-09-07,1.53,1.53,1.46,1.46,267550
2020-09-08,1.46,1.5,1.44,1.47,115750
2020-09-09,1.47,1.52,1.45,1.52,221980
2020-09-10,1.53,1.55,1.5,1.51,118570
2020-09-11,1.52,1.53,1.5,1.5,98750
2020-09-14,1.51,1.52,1.5,1.5,281320
2020-09-15,1.54,1.54,1.48,1.5,219780
2020-09-16,1.51,1.51,1.47,1.5,125300
2020-09-17,1.5,1.5,1.47,1.48,235040
2020-09-18,1.48,1.51,1.48,1.5,129380
2020-09-21,1.49,1.51,1.49,1.5,133080
2020-09-22,1.5,1.5,1.47,1.47,282680
2020-09-23,1.46,1.5,1.45,1.47,235910
2020-09-24,1.47,1.47,1.44,1.45,382310
2020-09-25,1.45,1.47,1.35,1.38,227860
2020-09-28,1.44,1.47,1.39,1.47,143650
2020-09-29,1.5,1.5,1.47,1.48,295750
2020-09-30,1.46,1.49,1.45,1.49,141580
2020-10-01,1.49,1.51,1.48,1.5,353060
2020-10-02,1.5,1.5,1.45,1.47,243070
2020-10-05,1.46,1.48,1.45,1.47,118820
2020-10-06,1.48,1.51,1.46,1.5,401090
2020-10-07,1.5,1.5,1.48,1.48,88090
2020-10-08,1.5,1.5,1.47,1.49,310410
2020-10-09,1.49,1.49,1.45,1.45,261800
2020-10-12,1.48,1.51,1.46,1.46,253850
2020-10-13,1.46,1.48,1.42,1.45,243530
2020-10-14,1.47,1.47,1.43,1.43,211240
2020-10-15,1.45,1.46,1.42,1.45,138020
2020-10-16,1.44,1.45,1.44,1.45,74350
2020-10-19,1.45,1.45,1.43,1.44,64860
2020-10-20,1.42,1.44,1.42,1.43,68590
2020-10-21,1.43,1.44,1.42,1.43,59270
2020-10-22,1.42,1.43,1.4,1.43,90520
2020-10-23,1.43,1.43,1.39,1.42,300580
2020-10-26,1.42,1.44,1.41,1.42,93030
