time,open,high,low,close,volume
2020-01-02,11.55,11.85,11.48,11.85,2550
2020-01-03,11.62,11.85,11.48,11.48,9720
2020-01-06,11.48,12.14,11.48,12.14,5370
2020-01-07,12.14,12.48,11.48,12.29,3680
2020-01-08,11.7,11.85,11.62,11.62,10240
2020-01-09,12.07,12.07,11.48,11.48,5300
2020-01-10,11.85,11.85,11.11,11.11,52180
2020-01-13,11.48,11.62,10.96,10.96,11790
2020-01-14,11.33,11.48,11.33,11.48,2290
2020-01-15,11.48,11.48,11.11,11.11,7690
2020-01-16,11.11,11.18,11.11,11.11,4890
2020-01-17,11.25,11.25,11.03,11.03,2900
2020-01-20,11.11,11.11,11.11,11.11,1200
2020-01-21,11.11,11.18,10.59,10.88,8700
2020-01-22,11.11,11.11,10.88,10.88,8130
2020-01-30,11.25,11.62,11.25,11.62,1010
2020-01-31,11.99,11.99,10.96,10.96,180
2020-02-03,11.11,11.11,10.22,10.74,480
2020-02-04,10.74,10.81,10.74,10.81,320
2020-02-05,10.81,11.4,10.81,11.4,20
2020-02-06,11.4,11.85,11.4,11.55,3150
2020-02-07,11.85,11.85,11.85,11.85,10
2020-02-10,11.85,11.85,11.85,11.85,20
2020-02-11,11.77,11.77,11.77,11.77,230
2020-02-12,12.14,12.14,11.77,11.77,1010
2020-02-13,11.7,11.7,11.7,11.7,1200
2020-02-14,11.11,11.48,11.11,11.14,1430
2020-02-17,11.18,11.18,11.18,11.18,1110
2020-02-18,11.77,11.77,11.77,11.77,10
2020-02-19,11.7,11.7,11.7,11.7,110
2020-02-20,11.7,11.7,11.7,11.7,0
2020-02-21,11.7,11.7,11.7,11.7,0
2020-02-24,11.25,11.25,11.25,11.25,1000
2020-02-25,11.48,11.48,11.18,11.18,3950
2020-02-26,11.11,11.33,11.11,11.33,12550
2020-02-27,10.96,11.85,10.96,11.48,6210
2020-02-28,11.11,11.25,11.11,11.11,1010
2020-03-02,11.4,11.4,11.4,11.4,50
2020-03-03,11.11,11.11,11.11,11.11,4800
2020-03-04,11.11,11.18,11.11,11.11,3460
2020-03-05,11.14,11.25,11.11,11.25,310
2020-03-06,11.11,11.11,10.88,11.11,1700
2020-03-09,10.48,11.11,10.37,10.37,5310
2020-03-10,10.74,10.96,10.74,10.74,8200
2020-03-11,10.74,10.74,10.74,10.74,10
2020-03-12,10.74,10.74,10.44,10.44,2210
2020-03-13,10.37,10.44,10.29,10.29,3180
2020-03-16,10.66,10.66,10.37,10.37,2010
2020-03-17,10.44,10.44,10.37,10.37,1840
2020-03-18,10.66,10.74,10.37,10.74,670
2020-03-19,10.37,10.37,10.29,10.29,4010
2020-03-20,10.37,10.37,10.29,10.29,5900
2020-03-23,10.0,10.0,9.7,9.7,2610
2020-03-24,9.63,9.85,9.63,9.85,6720
2020-03-25,10.37,10.37,10.0,10.0,1830
2020-03-26,9.77,10.0,9.7,10.0,8910
2020-03-27,10.0,10.0,9.92,9.92,4050
2020-03-30,9.63,9.92,9.63,9.7,1000
2020-03-31,9.4,9.48,9.4,9.48,4960
2020-04-01,9.55,9.77,9.48,9.63,3600
2020-04-03,9.85,9.85,9.63,9.77,8020
2020-04-06,10.22,10.22,10.22,10.22,60
2020-04-07,9.77,10.22,9.77,10.22,2490
2020-04-08,10.22,10.92,10.22,10.92,3010
2020-04-09,11.03,11.03,10.85,10.85,150
2020-04-10,11.07,11.07,10.37,10.37,840
2020-04-13,11.07,11.07,11.07,11.07,10
2020-04-14,11.0,11.0,10.37,10.37,530
2020-04-15,10.37,10.44,10.37,10.44,1320
2020-04-16,10.44,10.96,10.44,10.96,2650
2020-04-17,11.11,11.11,10.44,10.44,1130
2020-04-20,10.44,10.51,10.37,10.51,1040
2020-04-21,10.88,10.88,10.37,10.37,12220
2020-04-22,10.74,10.74,10.74,10.74,180
2020-04-23,10.74,10.88,10.74,10.88,70
2020-04-24,10.74,10.74,10.37,10.74,1800
2020-04-27,10.37,10.88,10.37,10.88,9770
2020-04-28,10.88,11.07,10.88,11.07,1550
2020-04-29,11.07,11.81,11.03,11.07,560
2020-05-04,10.51,11.07,10.51,10.74,3130
2020-05-05,10.66,10.74,10.37,10.74,690
2020-05-06,10.74,10.74,10.48,10.74,710
2020-05-07,10.37,10.48,10.37,10.48,780
2020-05-08,10.51,10.51,10.44,10.44,10330
2020-05-11,10.44,10.51,10.37,10.44,12270
2020-05-12,10.44,10.51,10.44,10.44,17470
2020-05-13,10.44,10.51,10.44,10.51,3180
2020-05-14,10.51,10.51,10.29,10.29,6900
2020-05-15,10.29,10.44,10.22,10.44,6650
2020-05-18,10.44,10.51,10.44,10.51,4300
2020-05-19,10.59,10.59,10.51,10.51,1120
2020-05-20,10.66,10.66,10.4,10.44,10120
2020-05-21,10.48,10.48,10.44,10.44,900
2020-05-22,10.22,10.51,10.22,10.37,5300
2020-05-25,10.22,11.07,10.22,11.07,31120
2020-05-26,11.03,11.81,11.03,11.03,22510
2020-05-27,11.11,11.77,10.29,11.03,10780
2020-05-28,10.66,10.66,10.66,10.66,10
2020-05-29,10.96,11.03,10.96,11.03,2000
2020-06-01,11.11,11.11,10.4,11.03,24900
2020-06-02,10.96,10.96,10.96,10.96,2900
2020-06-03,10.96,10.96,10.88,10.88,14680
2020-06-04,10.88,11.03,10.88,11.03,5810
2020-06-05,10.88,10.96,10.88,10.96,8830
2020-06-08,10.81,10.96,10.81,10.81,3000
2020-06-09,10.81,10.81,10.81,10.81,700
2020-06-10,10.81,10.81,10.74,10.74,14360
2020-06-11,10.74,10.81,10.51,10.81,5240
2020-06-12,10.74,10.81,10.74,10.74,5290
2020-06-15,10.14,10.74,10.14,10.74,14730
