time,open,high,low,close,volume
2020-01-02,11.03,11.03,11.03,11.03,0
2020-01-03,11.03,11.03,11.03,11.03,0
2020-01-06,11.03,11.03,11.03,11.03,0
2020-01-07,11.03,11.03,11.03,11.03,0
2020-01-08,11.03,11.03,11.03,11.03,0
2020-01-09,11.03,11.03,11.03,11.03,500
2020-01-10,10.42,10.42,10.42,10.42,2000
2020-01-13,10.42,10.42,10.42,10.42,100
2020-01-14,9.73,10.35,9.39,10.35,2200
2020-01-15,9.94,9.94,9.94,9.94,1000
2020-01-16,9.94,9.94,9.94,9.94,0
2020-01-17,9.94,9.94,9.94,9.94,100
2020-01-20,9.94,9.94,9.94,9.94,0
2020-01-21,9.94,9.94,9.94,9.94,0
2020-01-22,9.94,9.94,9.94,9.94,0
2020-01-30,9.94,9.94,9.94,9.94,0
2020-01-31,9.94,9.94,9.94,9.94,0
2020-02-03,9.94,9.94,9.94,9.94,0
2020-02-04,9.94,9.94,9.94,9.94,0
2020-02-05,10.28,10.28,10.28,10.28,200
2020-02-06,10.28,10.28,10.28,10.28,0
2020-02-07,10.28,10.28,10.28,10.28,0
2020-02-10,10.28,10.28,10.28,10.28,20
2020-02-11,10.28,10.28,10.28,10.28,0
2020-02-12,10.28,10.28,10.28,10.28,0
2020-02-13,10.28,10.28,10.28,10.28,0
2020-02-14,10.28,10.28,10.28,10.28,0
2020-02-17,10.28,10.28,10.28,10.28,500
2020-02-18,10.28,10.28,10.28,10.28,0
2020-02-19,10.28,10.28,10.28,10.28,0
2020-02-20,10.28,10.28,10.28,10.28,0
2020-02-21,9.8,9.87,9.6,9.87,705
2020-02-24,9.87,9.87,9.87,9.87,0
2020-02-25,9.94,9.94,9.94,9.94,300
2020-02-26,9.94,9.94,9.94,9.94,0
2020-02-27,9.94,9.94,9.94,9.94,0
2020-02-28,9.94,9.94,9.94,9.94,0
2020-03-02,9.94,9.94,9.94,9.94,0
2020-03-03,9.94,9.94,9.94,9.94,0
2020-03-04,9.94,9.94,9.94,9.94,0
2020-03-05,9.94,9.94,9.94,9.94,0
2020-03-06,10.28,10.28,10.28,10.28,100
2020-03-09,10.28,10.28,10.28,10.28,0
2020-03-10,9.6,9.6,9.6,9.6,400
2020-03-11,9.73,9.73,9.73,9.73,310
2020-03-12,8.91,8.91,8.77,8.77,3300
2020-03-13,8.98,8.98,8.98,8.98,100
2020-03-16,8.98,8.98,8.98,8.98,0
2020-03-17,8.98,9.12,8.98,9.12,300
2020-03-18,8.36,9.12,8.36,9.12,1800
2020-03-19,9.12,9.12,9.12,9.12,0
2020-03-20,9.12,9.12,9.12,9.12,10
2020-03-23,9.12,9.12,9.12,9.12,0
2020-03-24,9.05,9.05,9.05,9.05,100
2020-03-25,8.64,8.64,8.64,8.64,100
2020-03-26,9.46,9.46,9.46,9.46,200
2020-03-27,9.6,9.6,9.6,9.6,100
2020-03-30,9.6,9.6,9.6,9.6,0
2020-03-31,9.6,9.6,9.6,9.6,200
2020-04-01,8.64,8.64,8.64,8.64,100
2020-04-03,9.39,9.46,9.39,9.46,210
2020-04-06,9.46,9.46,9.46,9.46,200
2020-04-07,9.46,9.46,9.46,9.46,0
2020-04-08,9.46,9.46,9.46,9.46,0
2020-04-09,9.46,9.46,9.46,9.46,0
2020-04-10,9.46,9.46,9.46,9.46,0
2020-04-13,9.32,9.32,9.32,9.32,200
2020-04-14,8.77,8.77,8.77,8.77,100
2020-04-15,9.53,9.53,9.53,9.53,100
2020-04-16,9.53,9.53,9.53,9.53,500
2020-04-17,9.6,9.6,9.6,9.6,100
2020-04-20,9.6,9.6,9.6,9.6,0
2020-04-21,10.28,10.56,10.28,10.56,200
2020-04-22,9.53,9.53,9.53,9.53,115
2020-04-23,8.77,9.46,8.77,9.46,300
2020-04-24,8.77,8.77,8.77,8.77,200
2020-04-27,8.77,8.77,8.77,8.77,0
2020-04-28,9.53,9.6,9.53,9.6,402
2020-04-29,9.6,9.6,9.6,9.6,0
2020-05-04,10.42,10.49,10.42,10.49,200
2020-05-05,9.73,9.73,9.73,9.73,100
2020-05-06,9.73,9.73,9.73,9.73,0
2020-05-07,10.28,10.28,9.66,9.73,1200
2020-05-08,10.28,10.28,9.66,9.66,1800
2020-05-11,9.66,9.66,9.66,9.66,0
2020-05-12,10.28,10.42,10.28,10.42,1200
2020-05-13,9.66,10.9,9.6,10.9,1100
2020-05-14,10.9,10.9,10.9,10.9,0
2020-05-15,10.9,10.9,10.9,10.9,0
2020-05-18,10.9,11.93,10.9,11.93,2700
2020-05-19,12.41,12.41,11.1,12.27,1100
2020-05-20,12.27,12.27,12.27,12.27,0
2020-05-21,11.65,11.65,11.65,11.65,2002
2020-05-22,11.65,11.65,11.65,11.65,0
2020-05-25,11.65,11.65,11.65,11.65,0
2020-05-26,10.62,10.62,10.49,10.49,200
2020-05-27,9.66,9.66,9.66,9.66,100
2020-05-28,9.66,9.66,9.66,9.66,0
2020-05-29,10.14,10.62,10.14,10.62,200
2020-06-01,10.21,10.21,10.21,10.21,100
2020-06-02,10.28,10.28,10.28,10.28,600
