time,open,high,low,close,volume
2020-01-02,7.11,7.37,7.06,7.22,197200
2020-01-03,7.22,7.37,7.22,7.37,347650
2020-01-06,7.43,7.43,7.24,7.24,55180
2020-01-07,7.35,7.35,7.16,7.16,53900
2020-01-08,7.18,7.18,6.87,7.01,80310
2020-01-09,7.01,7.14,7.01,7.11,43430
2020-01-10,7.16,7.23,7.11,7.11,62780
2020-01-13,7.11,7.23,7.01,7.2,34110
2020-01-14,7.22,7.22,7.01,7.07,11840
2020-01-15,7.11,7.11,6.93,6.97,44510
2020-01-16,6.93,7.06,6.93,6.98,57770
2020-01-17,6.93,7.14,6.93,7.03,68150
2020-01-20,7.03,7.08,7.03,7.03,14250
2020-01-21,6.95,7.1,6.95,7.07,12870
2020-01-22,7.08,7.08,6.95,7.06,22900
2020-01-30,7.06,7.06,6.87,6.95,55180
2020-01-31,6.9,6.93,6.72,6.72,116550
2020-02-03,6.26,6.68,6.26,6.68,158860
2020-02-04,6.66,6.83,6.58,6.69,120870
2020-02-05,6.69,6.79,6.52,6.58,60580
2020-02-06,6.58,6.62,6.52,6.62,30060
2020-02-07,6.64,6.7,6.58,6.66,118060
2020-02-10,6.66,6.79,6.58,6.66,152640
2020-02-11,6.72,6.72,6.62,6.69,17870
2020-02-12,6.69,6.81,6.62,6.69,190620
2020-02-13,6.62,6.72,6.62,6.69,37800
2020-02-14,6.69,6.74,6.66,6.74,48140
2020-02-17,6.74,6.74,6.69,6.69,56950
2020-02-18,6.72,6.79,6.66,6.74,169080
2020-02-19,6.73,6.73,6.66,6.66,95730
2020-02-20,6.79,6.79,6.64,6.64,51250
2020-02-21,6.64,6.72,6.62,6.66,88750
2020-02-24,6.58,6.58,6.43,6.44,236250
2020-02-25,6.32,6.45,6.32,6.39,79510
2020-02-26,6.32,6.43,6.29,6.43,46620
2020-02-27,6.43,6.43,6.31,6.4,16530
2020-02-28,6.4,6.4,6.22,6.27,200730
2020-03-02,6.27,6.32,6.12,6.15,167630
2020-03-03,6.19,6.36,6.19,6.36,99830
2020-03-04,6.36,6.36,6.32,6.32,14510
2020-03-05,6.32,6.53,6.32,6.45,84010
2020-03-06,6.45,6.58,6.45,6.58,116800
2020-03-09,6.12,6.26,6.12,6.12,179560
2020-03-10,6.12,6.22,5.93,6.12,65330
2020-03-11,6.19,6.19,5.93,5.93,117830
2020-03-12,5.85,5.85,5.52,5.56,317590
2020-03-13,5.18,5.4,5.18,5.37,216470
2020-03-16,5.46,5.53,5.37,5.5,152200
2020-03-17,5.37,5.49,5.27,5.45,161090
2020-03-18,5.4,5.58,5.4,5.45,549820
2020-03-19,5.4,5.45,5.37,5.43,126830
2020-03-20,5.4,5.49,5.37,5.49,71450
2020-03-23,5.37,5.37,5.14,5.14,187560
2020-03-24,5.14,5.32,5.14,5.16,85470
2020-03-25,5.16,5.43,5.16,5.4,104600
2020-03-26,5.53,5.53,5.4,5.4,68960
2020-03-27,5.4,5.5,5.37,5.4,138880
2020-03-30,5.37,5.37,5.29,5.35,179170
2020-03-31,5.32,5.4,5.32,5.4,69880
2020-04-01,5.37,5.46,5.37,5.41,48250
2020-04-03,5.41,5.61,5.41,5.53,169680
