time,open,high,low,close,volume
2020-01-02,102.77,102.77,102.77,102.77,1000
2020-01-03,105.52,105.52,105.52,105.52,300
2020-01-06,106.22,106.92,106.22,106.22,310
2020-01-07,106.22,106.22,105.52,105.52,800
2020-01-08,105.52,105.52,105.52,105.52,400
2020-01-09,107.63,107.63,107.63,107.63,900
2020-01-10,108.33,108.33,106.92,107.63,10100
2020-01-13,107.63,107.63,107.63,107.63,1400
2020-01-14,107.63,111.14,107.63,111.14,2700
2020-01-15,111.14,111.14,111.14,111.14,20
2020-01-16,100.03,111.07,100.03,111.07,200
2020-01-17,100.03,116.0,100.03,112.55,300
2020-01-20,112.55,112.55,112.55,112.55,0
2020-01-21,109.74,109.74,108.68,109.74,3800
2020-01-22,110.09,110.09,109.67,109.67,4320
2020-01-30,109.74,109.74,109.67,109.67,1200
2020-01-31,109.74,109.74,109.03,109.03,1510
2020-02-03,109.03,109.03,99.96,107.91,3704
2020-02-04,104.81,104.81,104.11,104.81,5122
2020-02-05,104.81,107.98,104.81,107.98,2000
2020-02-06,107.91,108.33,107.91,108.33,200
2020-02-07,107.91,107.91,107.91,107.91,419
2020-02-10,106.92,108.68,106.92,108.68,3205
2020-02-11,108.33,108.33,108.33,108.33,1600
2020-02-12,108.33,108.33,108.33,108.33,1628
2020-02-13,108.33,108.33,108.33,108.33,0
2020-02-14,109.03,109.74,109.03,109.74,300
2020-02-17,107.98,109.03,107.98,109.03,703
2020-02-18,109.03,109.03,109.03,109.03,303
2020-02-19,109.03,109.03,109.03,109.03,1004
2020-02-20,109.74,111.0,109.03,109.03,800
2020-02-21,109.39,109.39,109.03,109.03,500
2020-02-24,109.03,109.03,108.33,108.33,1800
2020-02-25,108.33,108.68,108.33,108.33,1600
2020-02-26,109.03,109.03,109.03,109.03,1000
2020-02-27,111.14,111.14,111.14,111.14,1500
2020-02-28,111.14,111.14,111.14,111.14,100
2020-03-02,111.14,113.26,111.14,113.26,1500
2020-03-03,114.66,116.42,114.66,116.42,1200
2020-03-04,119.59,122.05,119.59,121.77,3202
2020-03-05,119.59,119.59,119.59,119.59,209
2020-03-06,121.7,121.7,119.66,119.66,1316
2020-03-09,119.73,119.73,118.18,118.18,3306
2020-03-10,106.36,106.36,106.36,106.36,100
2020-03-11,116.98,116.98,116.98,116.98,9605
2020-03-12,117.12,117.48,116.98,116.98,4100
2020-03-13,105.31,116.77,105.31,116.42,510
2020-03-16,104.81,115.72,104.81,115.44,3400
2020-03-17,115.37,116.77,112.9,112.9,2901
2020-03-18,113.96,113.96,113.47,113.68,1500
2020-03-19,113.61,113.61,112.55,113.4,3200
2020-03-20,112.83,113.26,112.83,113.26,800
2020-03-23,113.47,116.07,108.33,108.33,3600
2020-03-24,108.33,116.07,108.33,115.3,1411
2020-03-25,115.37,116.77,112.55,112.55,1104
2020-03-26,115.37,115.37,115.37,115.37,710
2020-03-27,114.66,114.66,113.96,113.96,1200
2020-03-30,113.96,113.96,113.4,113.4,2303
2020-03-31,102.42,102.56,102.42,102.49,3300
2020-04-01,105.52,112.55,105.52,112.55,300
2020-04-03,101.37,105.52,101.37,105.52,417
2020-04-06,106.22,110.44,105.52,110.44,543
2020-04-07,105.52,105.52,105.52,105.52,100
2020-04-08,109.03,109.03,109.03,109.03,1000
2020-04-09,109.03,109.74,109.03,109.39,630
2020-04-10,109.74,109.74,109.74,109.74,1100
2020-04-13,110.09,110.09,110.09,110.09,120
2020-04-14,110.02,110.02,109.95,109.95,200
2020-04-15,110.09,110.09,109.81,109.81,1630
2020-04-16,109.81,109.81,109.74,109.81,1506
2020-04-17,109.81,109.81,109.81,109.81,0
2020-04-20,109.88,109.88,109.81,109.81,444
2020-04-21,110.09,111.85,109.81,109.88,1909
2020-04-22,102.42,109.88,102.42,109.88,300
2020-04-23,102.42,110.44,102.42,110.44,906
2020-04-24,110.44,110.44,110.44,110.44,0
2020-04-27,110.09,113.96,109.95,113.96,4020
2020-04-28,110.44,110.44,110.44,110.44,110
2020-04-29,110.44,110.44,110.44,110.44,0
2020-05-04,110.58,110.58,110.58,110.58,300
2020-05-05,110.65,110.65,110.65,110.65,120
2020-05-06,119.59,119.59,119.59,119.59,300
2020-05-07,107.63,107.63,107.63,107.63,140
2020-05-08,110.02,110.02,110.02,110.02,100
2020-05-11,110.79,116.07,110.79,116.07,1800
2020-05-12,112.55,112.55,112.55,112.55,202
2020-05-13,114.31,114.31,114.31,114.31,107
2020-05-14,114.73,114.73,114.73,114.73,200
2020-05-15,114.73,114.73,114.73,114.73,0
2020-05-18,115.01,115.01,115.01,115.01,113
2020-05-19,118.53,118.53,118.18,118.18,659
2020-05-20,120.99,120.99,120.99,120.99,100
2020-05-21,120.99,120.99,120.99,120.99,50
2020-05-22,117.48,117.48,117.12,117.12,301
2020-05-25,118.18,118.18,118.18,118.18,100
2020-05-26,118.18,119.59,118.18,119.59,815
2020-05-27,119.59,119.59,118.39,118.39,326
2020-05-28,118.39,118.39,118.39,118.39,27
2020-05-29,119.59,119.59,118.53,118.53,1001
2020-06-01,118.53,118.53,116.77,116.77,508
2020-06-02,118.53,118.53,118.53,118.53,402
2020-06-03,118.53,118.53,118.53,118.53,220
2020-06-04,118.53,119.59,116.07,119.59,512
